stock_a,stock_b,corr
STMMI.MI,STMPA.PA,0.9997294990052942
STLAM.MI,STLAP.PA,0.9992680023781827
MTS.MC,MT.AS,0.9984115477606739
IAG.MC,IAG.L,0.9881832501084952
REN.AS,REL.L,0.9859779459792671
SHELL.AS,SHEL.L,0.9762637440629909
ABB.ST,ABBN.SW,0.9580776759388099
AZN.L,AZN.ST,0.9518240526338982
UNA.AS,ULVR.L,0.9318658521089104
SVT.L,UU.L,0.918468276146688
PEO.WA,PKO.WA,0.9074322846384727
ATT.L,PCT.L,0.9013814706943077
NDA-FI.HE,NDA-SE.ST,0.8973527481583564
AIR.F,AIR.PA,0.8942977941998558
JMGI.L,TEM.L,0.8873017395294706
PHI.L,TEM.L,0.8733617946279955
SDP.L,TEM.L,0.8687361834681577
BLND.L,LAND.L,0.8650825285161001
JMGI.L,SDP.L,0.8636884305751878
SDP.L,SOI.L,0.8631079580066294
BRGE.L,FEV.L,0.8575295109300877
JMGI.L,SOI.L,0.8561698601532236
INDU-C.ST,INVE-B.ST,0.8515924308646675
AAL.L,ANTO.L,0.849654950639427
IAD.L,SDP.L,0.8481709782743403
BMPS.MI,MB.MI,0.8431489160373637
JMGI.L,PHI.L,0.8426855506049058
SOI.L,TEM.L,0.8425545971033785
CTY.L,MRCH.L,0.8393083016325751
CTY.L,FSV.L,0.8359638544942172
