stock_a,stock_b,corr
3774.HK,8603.HK,1.0
0660.HK,1013.HK,0.9433832055598766
0670.HK,1055.HK,0.911173989943222
0753.HK,1055.HK,0.8983396262550468
0753.HK,0670.HK,0.8873095438131445
0939.HK,1398.HK,0.8834974372152941
1772.HK,9696.HK,0.8823268516985799
1818.HK,1787.HK,0.8744281219891816
2899.HK,3993.HK,0.8531547266952535
1398.HK,3988.HK,0.8408319786269198
6030.HK,6881.HK,0.8381676133570544
0939.HK,3988.HK,0.836341748320079
1375.HK,1456.HK,0.8347244969254648
1208.HK,3993.HK,0.8333458743697065
2356.HK,0440.HK,0.832454373693723
2628.HK,1336.HK,0.828460452285085
2720.HK,2326.HK,0.8229246969138042
1171.HK,1898.HK,0.822531932740727
1038.HK,0006.HK,0.8223354024571472
1787.HK,6693.HK,0.8174403961458112
6030.HK,6066.HK,0.8123298598269179
0316.HK,1919.HK,0.8117625425155326
2899.HK,1258.HK,0.8107239730363633
6881.HK,6178.HK,0.8105349269027028
1208.HK,1258.HK,0.8082118136317648
1378.HK,2600.HK,0.8080632149928678
6881.HK,6066.HK,0.8068234876010665
1088.HK,1898.HK,0.806076652073932
6066.HK,6178.HK,0.8060051559245235
1109.HK,0688.HK,0.8049456070495201
