symbol,correlation,common_days,nse_last_close,bse_last_close,price_gap_pct,nse_name,bse_name,same_company
ARIHANT,-0.1603,63,816.65,815.2,0.178,Arihant Foundations & Housing Limited,Arihant Foundations & Housing Limited,True
SAYAJIHOTL,-0.1353,63,310.0,314.2,-1.337,Sayaji Hotels Limited,Sayaji Hotels Limited,True
BATLIBOI,-0.0913,62,83.76,83.58,0.215,Batliboi Limited,Batliboi Limited,True
RAJPALAYAM,0.0252,62,822.55,821.75,0.097,Rajapalayam Mills Limited,Rajapalayam Mills Limited,True
GOODYEAR,0.0356,62,786.3,783.3,0.383,Goodyear India Limited,Goodyear India Limited,True
SICAGEN,0.1001,62,52.61,52.38,0.439,Sicagen India Limited,Sicagen India Limited,True
GLOBE,0.1412,237,2.15,36.53,-94.114,Globe Enterprises (India) Limited,Confidence Futuristic Energetech Limited,False
KOVAI,0.1809,63,5995.5,5998.0,-0.042,Kovai Medical Center and Hospital Limited,Kovai Medical Center and Hospital Limited,True
ARENTERP,0.1879,246,36.9,37.0,-0.27,Rajdarshan Industries Limited,Rajdarshan Industries Limited,True
NKIND,0.201,245,66.18,52.42,26.25,N.K Industries Limited,N.K Industries Limited,True
SIGMA,0.2145,246,38.02,37.99,0.079,Sigma Solve Limited,Sigma Solve Limited,True
SILVERTUC,0.256,247,188.08,187.6,0.256,Silver Touch Technologies Limited,Silver Touch Technologies Limited,True
AQYLON,0.2896,247,39.35,39.17,0.46,Aqylon Nexus Limited,Aqylon Nexus Limited,True
TECILCHEM,0.3081,246,9.36,9.77,-4.197,Tecil Chemicals and Hydro Power Ltd.,,
HEXATRADEX,0.3149,246,161.35,161.6,-0.155,Hexa Tradex Limited,Hexa Tradex Limited,True
INFOMEDIA,0.3265,246,5.71,5.52,3.442,Infomedia Press Limited,Infomedia Press Limited,True
ICDSLTD,0.3295,246,40.0,41.98,-4.717,ICDS Limited,ICDS Limited,True
PALASHSECU,0.3408,246,90.36,90.37,-0.011,Palash Securities Limited,,
