symbol,correlation,common_days,nse_last_close,bse_last_close,price_gap_pct
ARIHANT,-0.1603,63,816.65,815.2,0.178
SAYAJIHOTL,-0.1353,63,310.0,314.2,-1.337
BATLIBOI,-0.0913,62,83.76,83.58,0.215
RAJPALAYAM,0.0252,62,822.55,821.75,0.097
GOODYEAR,0.0356,62,786.3,783.3,0.383
SICAGEN,0.1001,62,52.61,52.38,0.439
GLOBE,0.1412,237,2.15,36.53,-94.114
KOVAI,0.1809,63,5995.5,5998.0,-0.042
ARENTERP,0.1879,246,36.9,37.0,-0.27
NKIND,0.201,245,66.18,52.42,26.25
SIGMA,0.2145,246,38.02,37.99,0.079
SILVERTUC,0.256,247,188.08,187.6,0.256
AQYLON,0.2896,247,39.35,39.17,0.46
TECILCHEM,0.3081,246,9.36,9.77,-4.197
HEXATRADEX,0.3149,246,161.35,161.6,-0.155
INFOMEDIA,0.3265,246,5.71,5.52,3.442
ICDSLTD,0.3295,246,40.0,41.98,-4.717
PALASHSECU,0.3408,246,90.36,90.37,-0.011
SRGHFL,0.3535,245,306.3,281.15,8.945
REGENCERAM,0.3691,246,39.29,39.6,-0.783
BIMETAL,0.3695,62,714.85,714.4,0.063
BSLSENETFG,0.3828,245,78.11,78.05,0.077
SKMEGGPROD,0.3835,246,360.9,362.2,-0.359
WORTHPERI,0.397,183,134.63,131.65,2.264
SHIVATEX,0.4016,245,153.2,152.95,0.163
HALDER,0.4238,118,227.74,224.9,1.263
LICNETFSEN,0.4367,245,872.1,878.8,-0.762
GRAUWEIL,0.4527,63,79.89,79.76,0.163
NOVARTIND,0.455,62,1664.8,1668.75,-0.237
LICNFNHGP,0.4588,245,276.47,276.94,-0.17
OBCL,0.4747,246,53.62,52.09,2.937
SALONA,0.4821,246,255.4,246.3,3.695
GANGESSECU,0.497,246,117.26,117.15,0.094
WILLAMAGOR,0.505,245,26.26,26.02,0.922
CURAA,0.5093,246,73.81,72.6,1.667
21STCENMGM,0.5162,246,31.33,31.89,-1.756
KARMAENG,0.5192,246,39.98,39.17,2.068
3PLAND,0.5201,246,32.65,32.0,2.031
MODTHREAD,0.5299,246,47.5,46.2,2.814
MFML,0.5303,246,19.88,20.32,-2.165
SURAJLTD,0.5348,246,221.79,222.5,-0.319
DGCONTENT,0.548,246,26.0,26.01,-0.038
INCREDIBLE,0.5554,246,33.32,34.29,-2.829
HAVISHA,0.5618,246,1.21,1.23,-1.626
LOYALTEX,0.5644,246,210.0,209.0,0.478
ORIENTLTD,0.5706,246,73.74,71.72,2.817
NEXTMEDIA,0.5732,246,3.96,4.0,-1.0
MADHAV,0.5783,246,35.22,36.64,-3.876
ELDEHSG,0.5932,246,788.05,786.75,0.165
SPECTRUM,0.6009,246,2005.5,2008.5,-0.149
RADAAN,0.6036,246,2.94,3.04,-3.289
TOP15IETF,0.6057,243,9.86,9.86,0.0
CREATIVEYE,0.6079,246,6.0,5.82,3.093
SECMARK,0.6159,245,125.83,135.0,-6.793
WEALTH,0.619,189,958.5,966.25,-0.802
HALEOSLABS,0.6289,246,1587.3,1576.6,0.679
SHAHALLOYS,0.6324,246,71.93,72.02,-0.125
HISARMETAL,0.6435,245,152.79,153.7,-0.592
NORBTEAEXP,0.6444,245,71.0,69.0,2.899
MODIS,0.6463,162,348.8,349.45,-0.186
NAHARCAP,0.6565,246,250.65,248.6,0.825
SURYALAXMI,0.6575,246,60.03,58.93,1.867
KEEPLEARN,0.6593,246,1.87,1.84,1.63
SREEL,0.6735,246,211.76,210.45,0.622
PNC,0.6744,246,20.4,20.64,-1.163
APCL,0.6759,246,105.0,103.9,1.059
HPIL,0.6802,247,121.14,120.15,0.824
ISHANCH,0.6893,246,55.36,57.9,-4.387
LICNETFN50,0.6921,245,271.0,272.04,-0.382
DIGJAMLMTD,0.7035,246,44.09,43.1,2.297
TFL,0.7052,246,11.35,11.59,-2.071
AHLEAST,0.7068,246,142.32,146.65,-2.953
KREBSBIO,0.7085,246,54.92,56.0,-1.929
KIRLFER,0.7087,63,472.55,472.7,-0.032
SELMC,0.7089,246,29.02,28.5,1.825
