NSE/BSE dual-listing correlation check -- 1568 dual-listed symbols found out of 2378 checked, period=1y

Correlation distribution (same company, NSE quote vs BSE quote):
  mean:   0.9448
  median: 0.9894
  min:    -0.1603
  max:    0.9999
  p10:    0.8545

Anomalies (correlation < 0.8, 120 found):
    symbol  correlation  common_days  nse_last_close  bse_last_close  price_gap_pct
   ARIHANT      -0.1603           63          816.65          815.20          0.178
SAYAJIHOTL      -0.1353           63          310.00          314.20         -1.337
  BATLIBOI      -0.0913           62           83.76           83.58          0.215
RAJPALAYAM       0.0252           62          822.55          821.75          0.097
  GOODYEAR       0.0356           62          786.30          783.30          0.383
   SICAGEN       0.1001           62           52.61           52.38          0.439
     GLOBE       0.1412          237            2.15           36.53        -94.114
     KOVAI       0.1809           63         5995.50         5998.00         -0.042
  ARENTERP       0.1879          246           36.90           37.00         -0.270
     NKIND       0.2010          245           66.18           52.42         26.250
     SIGMA       0.2145          246           38.02           37.99          0.079
 SILVERTUC       0.2560          247          188.08          187.60          0.256
    AQYLON       0.2896          247           39.35           39.17          0.460
 TECILCHEM       0.3081          246            9.36            9.77         -4.197
HEXATRADEX       0.3149          246          161.35          161.60         -0.155
 INFOMEDIA       0.3265          246            5.71            5.52          3.442
   ICDSLTD       0.3295          246           40.00           41.98         -4.717
PALASHSECU       0.3408          246           90.36           90.37         -0.011
    SRGHFL       0.3535          245          306.30          281.15          8.945
REGENCERAM       0.3691          246           39.29           39.60         -0.783
   BIMETAL       0.3695           62          714.85          714.40          0.063
BSLSENETFG       0.3828          245           78.11           78.05          0.077
SKMEGGPROD       0.3835          246          360.90          362.20         -0.359
 WORTHPERI       0.3970          183          134.63          131.65          2.264
  SHIVATEX       0.4016          245          153.20          152.95          0.163
    HALDER       0.4238          118          227.74          224.90          1.263
LICNETFSEN       0.4367          245          872.10          878.80         -0.762
  GRAUWEIL       0.4527           63           79.89           79.76          0.163
 NOVARTIND       0.4550           62         1664.80         1668.75         -0.237
