stock_a,stock_b,corr
HDFCNIFBAN,BANKIETF,0.9872613298969576
HDFCNIFIT,ITIETF,0.986730635077241
BANKADD,BANKIETF,0.9861232809045812
ITIETF,IT,0.9858536100889964
PSUBNKIETF,BANKPSU,0.985302562791786
BANKADD,HDFCNIFBAN,0.9823801543412596
TECH,ITIETF,0.9822573529180358
TECH,HDFCNIFIT,0.9812893745071584
GROWWDEFNC,MODEFENCE,0.980228158034232
HDFCNIFIT,IT,0.9800437416697234
HDFCPSUBK,BANKPSU,0.9798976824344872
TECH,IT,0.9782903906259004
HDFCPSUBK,PSUBNKIETF,0.9780212936391844
CONS,MIDCAP,0.9763028498886002
HDFCSML250,MOSMALL250,0.9747688676499912
GROWWNET,INTERNET,0.9747103962666424
NEXT50IETF,NEXT50,0.9743629602304368
ITAXIS,HDFCNIFIT,0.9720059266825464
ITAXIS,ITIETF,0.971999759114541
BANKPSU,SBIBPB,0.9708148100019306
GROWWRLTY,MOREALTY,0.9704343108390902
PSUBNKIETF,SBIBPB,0.9695777189717858
EQUAL200,NEXT50,0.9689281130352684
INFRA,NEXT50,0.9683274246517826
HDFCSML250,SMALL250,0.9673114179553146
HDFCSML250,SMALLCAP,0.9668715426041404
ITAXIS,IT,0.9656036798176104
GROWWMETAL,METAL,0.9655778912990768
HDFCPSUBK,SBIBPB,0.9649980017403114
MOM30IETF,MOMOMENTUM,0.9649727151545736
ITADD,HDFCNIFIT,0.9648067479864768
ITADD,ITIETF,0.9644168956487588
MOM30IETF,MOMENTUM50,0.9637575554635164
TECH,ITADD,0.9633729056623436
HDFCNEXT50,NEXT50,0.9632644333663
ITAXIS,TECH,0.9631496619485465
EQUAL200,INFRA,0.9628245584700994
GROWWSC250,HDFCSML250,0.961781573135688
EQUAL200,MULTICAP,0.96067109710124
HDFCMID150,MIDCAPIETF,0.9600041814471456
