stock_a,stock_b,corr
HODO,TBH,0.9999814700617898
NSLR,SSSS,0.9999357241486385
PMA,MSW,0.9999198901007184
GBTC,BITB,0.9998987147049035
ETHE,ETH,0.9998745469725914
GBTC,BTC,0.9998732296366895
BITB,BTC,0.9998682559746942
GLD,IAU,0.9998577718432927
IAU,GLDM,0.9998443559933844
SGOL,GLDM,0.9998389010866051
IAU,SGOL,0.9998367563052915
SLV,SIVR,0.9998328452323448
SGOL,IAUM,0.9998193804282884
IAU,OUNZ,0.9998076794220612
IAU,BAR,0.9998016021276597
GBTC,BRRR,0.9997813344353018
BITB,BRRR,0.9997790823319934
GLD,GLDM,0.9997774322601093
GBTC,IBIT,0.999777227392867
BITB,IBIT,0.9997754272471682
GLDM,IAUM,0.9997629552578801
ETHE,ETHW,0.9997543722856934
SGOL,OUNZ,0.9997484840144917
GLD,BAR,0.9997481960264757
ETHW,ETH,0.9997456210867182
VSOL,SOLC,0.9997390375854365
IAU,IAUM,0.9997367490111501
GLD,SGOL,0.9997310945808214
OUNZ,GLDM,0.9997261490446442
IBIT,BTC,0.9997250339577104
