Filter_Name,Category,Global_Win_Rate,India_Threshold,US_Threshold,Japan_Threshold,Korea_Threshold,Europe_Threshold,Universal_Standard,Pass_Rate,Risk_Level,Recommendation
Interest_Coverage,Financial_Health,49.98%,5.0x,5.0x,4.5x,5.0x,4.0x,5.0x,28%,Low,CORE_FILTER_ALWAYS_USE
ROIC_High,Profitability,50.28%,12%,12%,10%,12%,11%,12%,22%,Low,CORE_FILTER_ALWAYS_USE
Revenue_Growth,Growth,50.26%,10%,10%,8%,10%,8%,10%,26%,Low,CORE_FILTER_ALWAYS_USE
ROE_Excellent,Profitability,49.60%,20%,18%,16%,17%,15%,18%,18%,Medium,REGIONAL_OPTIMIZATION
Earnings_Growth,Growth,50.18%,15%,12%,10%,15%,12%,12%,24%,Low,CORE_FILTER_ALWAYS_USE
Low_Debt,Financial_Health,50.12%,0.7x,0.8x,0.5x,0.7x,0.6x,0.7x,31%,Low,CORE_FILTER_ALWAYS_USE
P_B_Low,Valuation,50.04%,1.5x,1.0x,0.8x,1.2x,0.9x,1.0x,27%,Medium,MARKET_DEPENDENT
Above_MA200,Technical,50.06%,Yes,Yes,Yes,Yes,Yes,Yes,48%,Medium,KOREA_KOREA_FOCUSED
FCF_Growth,Growth,50.06%,8%,8%,8%,8%,8%,8%,20%,Low,SECONDARY_GROWTH
Strong_Liquidity,Financial_Health,49.92%,1.5x,1.5x,1.4x,1.4x,1.3x,1.5x,32%,Low,SECONDARY_STRENGTH
ROE_High,Profitability,49.80%,15%,14%,13%,14%,12%,14%,25%,Low,CORE_FILTER_ALWAYS_USE
PEG_Value,Valuation,49.75%,1.2x,1.0x,1.1x,1.0x,0.9x,1.0x,26%,Medium,MARKET_DEPENDENT
P_CF_Low,Valuation,50.04%,8x,8x,8x,9x,7x,8x,28%,Medium,MARKET_DEPENDENT
Dividend_Yield,Income,49.57%,2%,1.5%,2%,1.5%,2%,1.5%,35%,Low,INCOME_FOCUSED
Sustainable_Payout,Dividend,49.82%,60%,55%,50%,55%,50%,55%,33%,Low,SECONDARY_STABILITY
Above_MA50,Technical,49.94%,Yes,Yes,Yes,Yes,Yes,Yes,51%,Medium,KOREA_FOCUSED
RSI_Neutral,Technical,49.71%,30-70,30-70,30-70,30-70,30-70,30-70,60%,Medium,KOREA_FOCUSED
PE_Low,Valuation,49.68%,15x,16x,17x,14x,16x,16x,29%,Medium,MARKET_DEPENDENT
ROIC_High,Profitability,50.28%,12%,12%,10%,12%,11%,12%,22%,Low,CORE_FILTER_ALWAYS_USE
