Product,Contract,PreviousDaySettlementPrice
FEU3,FEU3 SI 20290319 CS,97.39
FEU3,FEU3 SI 20301216 CS,97.2
FEU3,FEU3 SI 20310317 CS,97.17
FEU3,FEU3 SI 20310915 CS,97.105
FEU3,FEU3 SI 20280619 CS,97.46
FEU3,FEU3 SI 20270913 CS,97.46
FEU3,FEU3 SI 20271213 CS,97.475
FEU3,FEU3 SI 20261116 CS,97.505
FEU3,FEU3 SI 20320614 CS,97.01
FEU3,FEU3 SI 20300916 CS,97.23
FEU3,FEU3 SI 20261214 CS,97.495
FEU3,FEU3 SI 20291217 CS,97.31
FEU3,FEU3 SI 20310616 CS,97.14
FEU3,FEU3 SI 20260817 CS,97.595
FEU3,FEU3 SI 20270315 CS,97.46
FEU3,FEU3 SI 20261019 CS,97.525
FEU3,FEU3 SI 20281218 CS,97.415
FEU3,FEU3 SI 20280313 CS,97.475
FEU3,FEU3 SI 20260713 CS,97.645
FEU3,FEU3 SI 20320315 CS,97.04
FEU3,FEU3 SI 20260914 CS,97.55
FEU3,FEU3 SI 20300318 CS,97.285
FEU3,FEU3 SI 20270614 CS,97.45
FEU3,FEU3 SI 20300617 CS,97.255
FEU3,FEU3 SI 20311215 CS,97.07
FEU3,FEU3 SI 20290917 CS,97.34
FEU3,FEU3 SI 20290618 CS,97.365
FEU3,FEU3 SI 20280918 CS,97.44
