Product,Contract,PreviousDaySettlementPrice
ODAX,ODAX SI 20261218 CS EU C 23500 0,2800.7
ODAX,ODAX SI 20260918 CS EU C 24050 0,1901
ODAX,ODAX SI 20270917 CS EU P 20400 0,499.7
ODAX,ODAX SI 20260710 CS EU P 25200 0,68.8
ODAX,ODAX SI 20270618 CS EU C 23000 0,3975.4
ODAX,ODAX SI 20271217 CS EU C 13800 0,12579.3
ODAX,ODAX SI 20260717 CS EU C 26650 0,15.6
ODAX,ODAX SI 20260724 CS EU P 27600 0,1997.5
ODAX,ODAX SI 20260821 CS EU C 24850 0,1084.7
ODAX,ODAX SI 20271217 CS EU P 29000 0,3352.7
ODAX,ODAX SI 20260717 CS EU C 20950 0,4639.6
ODAX,ODAX SI 20261218 CS EU C 25000 0,1667.2
ODAX,ODAX SI 20270319 CS EU P 20000 0,243.9
ODAX,ODAX SI 20260918 CS EU P 14400 0,4.2
ODAX,ODAX SI 20270319 CS EU C 17600 0,8458.9
ODAX,ODAX SI 20260717 CS EU P 25800 0,379
ODAX,ODAX SI 20260821 CS EU P 25900 0,665.9
ODAX,ODAX SI 20291221 CS EU C 17600 0,10653
ODAX,ODAX SI 20260918 CS EU P 24350 0,302.3
ODAX,ODAX SI 20260717 CS EU P 26400 0,840.7
ODAX,ODAX SI 20260807 CS EU C 24900 0,945.6
ODAX,ODAX SI 20260717 CS EU C 25150 0,565.5
ODAX,ODAX SI 20271217 CS EU C 25600 0,2776.1
ODAX,ODAX SI 20270618 CS EU P 21200 0,454.9
ODAX,ODAX SI 20260807 CS EU P 23200 0,49
ODAX,ODAX SI 20260918 CS EU C 22000 0,3772.3
ODAX,ODAX SI 20260717 CS EU P 20700 0,1.9
ODAX,ODAX SI 20260717 CS EU P 22400 0,5.4
ODAX,ODAX SI 20260821 CS EU C 23950 0,1837.9
ODAX,ODAX SI 20260710 CS EU C 22650 0,2928.9
ODAX,ODAX SI 20260821 CS EU P 20400 0,19.2
ODAX,ODAX SI 20271217 CS EU C 24400 0,3564.9
ODAX,ODAX SI 20260724 CS EU C 27800 0,
ODAX,ODAX SI 20270917 CS EU C 16000 0,10389.3
ODAX,ODAX SI 20260703 CS EU P 25350 0,8.7
ODAX,ODAX SI 20260821 CS EU C 28000 0,
ODAX,ODAX SI 20261218 CS EU C 23300 0,2966.8
ODAX,ODAX SI 20291221 CS EU P 37000 0,8751.8
ODAX,ODAX SI 20270618 CS EU P 29400 0,3498.5
ODAX,ODAX SI 20261218 CS EU P 13600 0,20.7
ODAX,ODAX SI 20260717 CS EU P 23650 0,13.7
ODAX,ODAX SI 20260717 CS EU P 19000 0,0.4
ODAX,ODAX SI 20260918 CS EU C 34000 0,0.1
ODAX,ODAX SI 20301220 CS EU P 19200 0,1085.7
ODAX,ODAX SI 20270319 CS EU C 19800 0,6397.8
ODAX,ODAX SI 20260710 CS EU P 26200 0,643.5
ODAX,ODAX SI 20260710 CS EU C 26350 0,13.6
ODAX,ODAX SI 20270319 CS EU C 22200 0,4255.7
ODAX,ODAX SI 20270917 CS EU C 17000 0,9466.1
ODAX,ODAX SI 20260724 CS EU C 26850 0,22.2
ODAX,ODAX SI 20281215 CS EU P 28800 0,3402
ODAX,ODAX SI 20260918 CS EU C 24850 0,1265.5
ODAX,ODAX SI 20301220 CS EU P 26200 0,2637.3
ODAX,ODAX SI 20270917 CS EU C 24700 0,3055.2
ODAX,ODAX SI 20280317 CS EU P 25000 0,1641.1
ODAX,ODAX SI 20261218 CS EU P 20500 0,162.5
ODAX,ODAX SI 20280317 CS EU P 20000 0,646.8
ODAX,ODAX SI 20260807 CS EU P 25850 0,558.1
ODAX,ODAX SI 20260731 CS EU P 27900 0,
ODAX,ODAX SI 20270917 CS EU C 25400 0,2595.5
ODAX,ODAX SI 20280616 CS EU P 29600 0,
ODAX,ODAX SI 20260807 CS EU P 24800 0,197.5
ODAX,ODAX SI 20291221 CS EU C 29200 0,3043.5
ODAX,ODAX SI 20260821 CS EU C 24000 0,1793.3
ODAX,ODAX SI 20260731 CS EU C 25200 0,652.5
ODAX,ODAX SI 20270917 CS EU C 17800 0,8736
ODAX,ODAX SI 20260710 CS EU P 27050 0,1472.5
ODAX,ODAX SI 20280915 CS EU C 20200 0,7595.9
