Product,Contract,PreviousDaySettlementPrice
OESX,OESX SI 20341215 CS EU P 6200 0,884.6
OESX,OESX SI 20260814 CS EU P 7000 0,631.5
OESX,OESX SI 20260703 CS EU C 6060 0,299.5
OESX,OESX SI 20260918 CS EU C 5475 0,928
OESX,OESX SI 20291221 CS EU C 6300 0,902.5
OESX,OESX SI 20270917 CS EU P 5200 0,156.5
OESX,OESX SI 20301220 CS EU C 6100 0,1137.1
OESX,OESX SI 20270618 CS EU P 1900 0,5.2
OESX,OESX SI 20260821 CS EU P 10000 0,3617.3
OESX,OESX SI 20260703 CS EU P 7200 0,840.6
OESX,OESX SI 20260918 CS EU C 6375 0,179
OESX,OESX SI 20260918 CS EU C 5900 0,535
OESX,OESX SI 20260731 CS EU C 5450 0,916.6
OESX,OESX SI 20280915 CS EU C 7300 0,289
OESX,OESX SI 20260703 CS EU C 6230 0,129.5
OESX,OESX SI 20301220 CS EU P 4300 0,253.3
OESX,OESX SI 20260724 CS EU C 5700 0,665.1
OESX,OESX SI 20281215 CS EU P 1400 0,13.7
OESX,OESX SI 20341215 CS EU C 7400 0,
OESX,OESX SI 20311219 CS EU P 6150 0,760.4
OESX,OESX SI 20260703 CS EU P 6525 0,165.6
OESX,OESX SI 20261120 CS EU C 3000 0,3371.8
OESX,OESX SI 20301220 CS EU P 1450 0,37.2
OESX,OESX SI 20260930 CS EU P 7325 0,939.5
OESX,OESX SI 20260831 CS EU P 7000 0,625.5
OESX,OESX SI 20270521 CS EU P 5500 0,155.6
OESX,OESX SI 20311219 CS EU P 9000 0,2279.5
OESX,OESX SI 20260703 CS EU C 5905 0,454.4
OESX,OESX SI 20260717 CS EU P 5150 0,0.6
OESX,OESX SI 20261218 CS EU C 4800 0,1616.4
OESX,OESX SI 20281215 CS EU P 1100 0,9.5
OESX,OESX SI 20321217 CS EU P 4500 0,375.1
OESX,OESX SI 20261218 CS EU C 5550 0,921.1
OESX,OESX SI 20280317 CS EU C 5400 0,1263.9
