Product,Contract,PreviousDaySettlementPrice
OGBL,OGBL SI 20260710 PS AM P 132.00 0,5.01
OGBL,OGBL SI 20260710 PS AM C 123.50 0,3.49
OGBL,OGBL SI 20260731 PS AM C 118.00 0,9
OGBL,OGBL SI 20261120 PS AM C 125.00 0,2.09
OGBL,OGBL SI 20260710 PS AM C 126.00 0,1.03
OGBL,OGBL SI 20260717 PS AM C 128.50 0,0.03
OGBL,OGBL SI 20260807 PS AM C 117.50 0,9.5
OGBL,OGBL SI 20260717 PS AM C 124.50 0,2.51
OGBL,OGBL SI 20260821 PS AM C 129.00 0,0.16
OGBL,OGBL SI 20260925 PS AM P 134.50 0,8.41
OGBL,OGBL SI 20261120 PS AM C 115.50 0,10.66
OGBL,OGBL SI 20260807 PS AM C 119.00 0,8
OGBL,OGBL SI 20261120 PS AM P 116.00 0,0.05
OGBL,OGBL SI 20260925 PS AM P 136.00 0,9.91
OGBL,OGBL SI 20260925 PS AM C 125.00 0,1.72
OGBL,OGBL SI 20260925 PS AM P 128.50 0,2.67
OGBL,OGBL SI 20260925 PS AM C 127.00 0,0.65
OGBL,OGBL SI 20260710 PS AM P 120.00 0,0.01
OGBL,OGBL SI 20260731 PS AM P 121.00 0,0.01
OGBL,OGBL SI 20260821 PS AM C 137.00 0,0.01
OGBL,OGBL SI 20260710 PS AM P 117.00 0,0.01
OGBL,OGBL SI 20260925 PS AM C 125.50 0,1.39
OGBL,OGBL SI 20260807 PS AM C 121.00 0,6.01
OGBL,OGBL SI 20260710 PS AM C 136.50 0,0.01
OGBL,OGBL SI 20260807 PS AM P 123.00 0,0.04
OGBL,OGBL SI 20260724 PS AM P 128.50 0,1.57
OGBL,OGBL SI 20261120 PS AM C 115.00 0,11.15
OGBL,OGBL SI 20260821 PS AM P 137.50 0,10.52
OGBL,OGBL SI 20260731 PS AM P 132.50 0,5.52
OGBL,OGBL SI 20260731 PS AM C 126.50 0,0.84
OGBL,OGBL SI 20260731 PS AM P 128.00 0,1.2
OGBL,OGBL SI 20260717 PS AM C 117.00 0,9.99
OGBL,OGBL SI 20260807 PS AM C 120.50 0,6.51
OGBL,OGBL SI 20260821 PS AM C 130.00 0,0.08
OGBL,OGBL SI 20260925 PS AM P 126.00 0,0.99
OGBL,OGBL SI 20260821 PS AM P 130.00 0,3.09
OGBL,OGBL SI 20260717 PS AM C 135.00 0,0.01
OGBL,OGBL SI 20260710 PS AM P 119.50 0,0.01
OGBL,OGBL SI 20260710 PS AM P 133.50 0,6.51
OGBL,OGBL SI 20260807 PS AM C 132.50 0,0.01
OGBL,OGBL SI 20261120 PS AM C 116.00 0,10.16
OGBL,OGBL SI 20260731 PS AM P 122.50 0,0.02
OGBL,OGBL SI 20260821 PS AM P 133.00 0,6.03
OGBL,OGBL SI 20260925 PS AM C 117.00 0,9.14
OGBL,OGBL SI 20260807 PS AM P 119.00 0,0.01
OGBL,OGBL SI 20260710 PS AM P 120.50 0,0.01
OGBL,OGBL SI 20260731 PS AM P 132.00 0,5.02
OGBL,OGBL SI 20260717 PS AM P 133.00 0,6.01
OGBL,OGBL SI 20260731 PS AM P 130.50 0,3.53
OGBL,OGBL SI 20260821 PS AM C 117.50 0,9.51
