Product,Holiday,ExchangeHoliday
FEEU,2027-03-29,1
TCGM,2027-03-26,1
L2RC,2027-03-26,1
SOL,2026-12-31,0
TMWO,2026-12-31,0
AEO,2027-05-06,0
UNHF,2026-12-24,0
RAAF,2027-03-29,1
HEI,2028-05-01,1
TSTM,2027-01-01,1
PU4,2026-12-25,1
INTF,2027-01-01,1
WOS,2027-12-24,0
FMGD,2026-12-31,0
TVOD,2027-01-01,1
INV,2026-12-25,1
FSID,2026-12-24,0
FSU1,2028-01-17,0
CON,2027-03-26,1
TFPL,2027-03-26,1
FESI,2028-04-14,1
INRP,2027-12-31,0
SKF,2027-01-06,0
EUQ,2027-12-31,0
KEK,2028-05-01,1
TCSC,2028-01-17,0
TEXP,2027-01-01,1
TPHI,2027-03-29,1
FESH,2026-12-31,0
FEFD,2027-01-01,1
SWOF,2027-12-24,0
PAGF,2027-03-29,1
TEXP,2027-12-31,0
SRAF,2027-03-26,1
BAEE,2027-01-01,1
7AAF,2027-12-24,0
TPEP,2026-09-07,0
IUFS,2028-04-17,1
DHEF,2027-12-24,0
TSGS,2028-05-01,1
ARCF,2027-01-01,1
OUTF,2027-03-26,1
SEJ,2027-03-26,1
BPVJ,2026-12-31,0
MAP,2028-04-17,1
DGEF,2028-05-01,1
CLN,2026-12-24,0
IMTG,2028-05-29,0
MAN,2027-01-01,1
TPGF,2027-06-18,0
VATF,2026-12-31,0
G2IV,2026-12-31,0
I7XD,2027-01-01,1
TTOT,2027-01-01,1
ANE,2027-03-26,1
TJBE,2028-05-25,0
FSTR,2026-12-31,0
CSPF,2027-03-29,1
TIBM,2026-09-07,0
EXR,2026-12-24,0
TNVD,2027-01-01,1
CRT,2027-12-24,0
ANDR,2027-01-01,1
WNLB,2026-12-25,1
FEUD,2027-03-29,1
TWLP,2026-09-07,0
TKRX,2026-12-24,0
HEFP,2027-01-01,1
FRAG,2026-12-25,1
FOAT,2027-01-01,1
I2NT,2026-12-25,1
CGMF,2027-03-26,1
FSMM,2027-12-24,0
TDAI,2026-12-31,0
THUK,2027-03-29,1
BAS,2027-12-31,0
TLI,2027-01-06,0
SEC,2026-12-25,1
DUFN,2027-05-17,0
QSVF,2027-03-26,1
HDD,2027-12-24,0
OEU3,2027-03-29,1
M2UV,2028-04-14,1
FMDK,2028-05-01,1
ELVE,2027-12-31,0
LLOI,2027-03-26,1
IDAF,2027-12-24,0
EEDM,2027-12-31,0
XOMX,2027-03-29,1
EUN2,2026-12-24,0
SYMF,2028-05-01,1
ENT5,2026-12-25,1
IS0E,2026-12-25,1
ADSG,2026-12-24,0
GRB,2027-12-31,0
ISPI,2026-12-31,0
FBEU,2027-03-29,1
VOWG,2026-12-31,0
OSTH,2027-03-26,1
TFPL,2027-05-31,0
FSR3,2026-12-24,0
E2DP,2026-12-24,0
FSTX,2027-03-29,1
TECE,2028-05-25,0
INR,2027-03-26,1
T2SC,2028-04-14,1
