symbol,country,pegu_score,pegu_grade,darvas,piotroski,coffee_can,cc_score,n_product_codes,in_validated_universe,market
SAP SE,Germany,98,A+,OPTIONABLE_FUTURE,9,PASS,4/4,6,1,DE
SANOFI,France,88,A+,OPTIONABLE_FUTURE,9,PASS,4/4,5,0,FR
TOTALENERGIES SE,France,88,A+,OPTIONABLE_FUTURE,9,PASS,4/4,5,0,FR
CREDIT AGRICOLE,France,85,A+,OPTIONABLE_FUTURE,9,PASS,4/4,4,0,FR
DSM-FIRMENICH,Switzerland,85,A+,OPTIONABLE_FUTURE,9,PASS,4/4,4,0,CH
E.ON SE,Germany,85,A+,OPTIONABLE_FUTURE,9,PASS,4/4,4,0,DE
IBERDROLA,Spain,85,A+,OPTIONABLE_FUTURE,9,PASS,4/4,4,0,ES
AIR LIQUIDE,France,83,A+,OPTIONABLE_FUTURE,7,PASS,3/4,6,1,FR
AXA,France,80,A+,OPTIONABLE_FUTURE,7,PASS,3/4,4,1,FR
BNP PARIBAS,Germany,80,A+,OPTIONABLE_FUTURE,7,PASS,3/4,4,1,DE
BMW AG,Germany,75,A,OPTIONABLE_FUTURE,7,PASS,3/4,3,1,DE
HUGO BOSS AG,Germany,75,A,OPTIONABLE_FUTURE,7,PASS,3/4,3,1,DE
OMV,Austria,75,A,OPTIONABLE_FUTURE,7,PASS,3/4,3,1,AT
AIRBUS SE,Netherlands,73,A,OPTIONABLE_FUTURE,7,PASS,3/4,5,0,NL
CARREFOUR,France,73,A,OPTIONABLE_FUTURE,7,PASS,3/4,6,0,FR
INDITEX,Spain,73,A,OPTIONS_ONLY,7,PASS,3/4,5,0,ES
UBS GROUP AG,Germany,73,A,OPTIONABLE_FUTURE,7,PASS,3/4,7,0,DE
BPER BANCA,Italy,70,A,OPTIONABLE_FUTURE,7,PASS,3/4,4,0,IT
ELIA GROUP,Germany,70,A,OPTIONABLE_FUTURE,7,PASS,3/4,4,0,DE
FORTUM OYJ,Finland,70,A,OPTIONABLE_FUTURE,7,PASS,3/4,4,0,FI
MERCEDES-BENZ GROUP,Germany,70,A,OPTIONABLE_FUTURE,7,PASS,3/4,4,0,DE
ORANGE,Germany,70,A,OPTIONABLE_FUTURE,7,PASS,3/4,4,0,DE
REPSOL SA,Spain,70,A,OPTIONABLE_FUTURE,7,PASS,3/4,4,0,ES
SWISS RE AG,Germany,70,A,OPTIONABLE_FUTURE,7,PASS,3/4,4,0,DE
Sandoz Group,Switzerland,70,A,OPTIONABLE_FUTURE,7,PASS,3/4,4,0,CH
UNILEVER PLC,Germany,70,A,OPTIONABLE_FUTURE,7,PASS,3/4,4,0,DE
AEGON,BM,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,BM
AGEAS,Belgium,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,BE
ALLIANZ SE,Germany,65,B+,OPTIONABLE_FUTURE,7,PASS,3/4,3,0,DE
