Product,Name,ProductISIN,ProductLine,ProductType
TCLN,TRF ON CELLNEX TELECOM S.A.,DE000A2X1ZR4,FUTURE,EQUITY TOTAL RETURN FUTURES
TG1A,TRF ON GEA Group AG,DE000A2X1096,FUTURE,EQUITY TOTAL RETURN FUTURES
XCA,OPT ON CREDIT AGRICOLE,FR0000045072,OPTION,SINGLE STOCK OPTIONS
OSTE,OPT ON STOXX E. 600 OIL & GAS,DE000A0AEU61,OPTION,INDEX OPTIONS
I2NN,ING GROEP DIVIDEND FUTURE,DE000A1EZJH1,FUTURE,SINGLE STOCK DIVIDEND FUTURES
TBMW,TRF ON BMW AG,DE000A2X1ZH5,FUTURE,EQUITY TOTAL RETURN FUTURES
BM3F,FUT ON BMW VZ.,DE000A0MEV33,FUTURE,SINGLE STOCK FUTURES
EVD,OPT ON CTS EVENTIM AG,DE0005470306,OPTION,SINGLE STOCK OPTIONS
LOR2,OPT ON LOreal (mini),DE000A4AQEN1,OPTION,SINGLE STOCK OPTIONS
TTNC,TRF ON TELEFONICA SA,DE000A2X14V5,FUTURE,EQUITY TOTAL RETURN FUTURES
MSTF,FUT ON MICROSOFT CORP,DE000A0XWZW5,FUTURE,SINGLE STOCK FUTURES
OMV,OPT ON OMV,AT0000743059,OPTION,SINGLE STOCK OPTIONS
ENNF,FUT ON Entain PLC,DE000A3D5ZA4,FUTURE,SINGLE STOCK FUTURES
MKSH,FUT ON MARKS&SPENCER GROUP PL,DE000A2YY394,FUTURE,SINGLE STOCK FUTURES
I2NT,INTEL CORP DIVIDEND FUTURE,DE000A11Q968,FUTURE,SINGLE STOCK DIVIDEND FUTURES
OSTJ,OPT ON STOXX E600 ENERGY,DE000A2QBER4,OPTION,INDEX OPTIONS
PERH,FUT.ON PERNOD-RICARD,DE000A0Z3DJ4,FUTURE,SINGLE STOCK FUTURES
OSTS,OPT ON STOXX E. 600 BASIC RES.,DE000A0AEU53,OPTION,INDEX OPTIONS
TLX,OPT ON TALANX AG,DE000TLX1005,OPTION,SINGLE STOCK OPTIONS
HONF,FUT ON HONEYWELL INTERNAT,DE000A0YK9N7,FUTURE,SINGLE STOCK FUTURES
SWD,OPT ON Swedbank [SEK],DE000A3DGLF9,OPTION,SINGLE STOCK OPTIONS
FCXT,FUT ON BBG  EX-PETROLEUM,DE000A1XRJL0,FUTURE,COMMODITY INDEX FUTURES
FEDE,FUT ON FTSE EPRA DEVELOPED EUROPE,DE000A3EVDY4,FUTURE,INDEX FUTURES
TEMF,FUT ON TEMENOS AG,DE000A1RRTP2,FUTURE,SINGLE STOCK FUTURES
EEDM,OPT ON iShares MSCI EM ESG Enh,IE00BHZPJ122,OPTION,EXTF-OPTIONS
ENRP,FUT ON PHY Siemens Energy,DE000A3CQV87,FUTURE,SINGLE STOCK FUTURES
CVSF,FUT ON CVS HEALTH CORP.,DE000A0SYEB0,FUTURE,SINGLE STOCK FUTURES
BARE,OPT E ON Barry Callebaut,DE000A30BRA4,OPTION,SINGLE STOCK OPTIONS
DTEE,OPT E ON DEUTSCHE TELEKOM,DE000A1HUFP6,OPTION,SINGLE STOCK OPTIONS
TWPP,TRF ON WPP (GBX),DE000A30BMB3,FUTURE,EQUITY TOTAL RETURN FUTURES
HDDG,FUT ON HEIDELBERGER DRUCKMA.,DE000A1KDYE1,FUTURE,SINGLE STOCK FUTURES
I3NN,ING GROEP DIVIDEND FUTURE,DE000A3DM6T0,FUTURE,SINGLE STOCK DIVIDEND FUTURES
INRP,FUT ON INTL. CONS. AIRLINE GRP,DE000A2G9UH0,FUTURE,SINGLE STOCK FUTURES
ADEE,OPT E ON Adecco,DE000A3C5HT3,OPTION,SINGLE STOCK OPTIONS
KB9F,FUT ON KBC ANC.ACTIONS AU PORT,DE000A11RBF3,FUTURE,SINGLE STOCK FUTURES
CRQF,FUT ON XTRACKER HAR CSI300 ETF,DE000A2BMKV2,FUTURE,EXTF-FUTURES
IOS,OPT ON Ionos Group,DE000A3E00M1,OPTION,SINGLE STOCK OPTIONS
EFCH,FUT ON COLRUYT GROUP,DE000A401D65,FUTURE,SINGLE STOCK FUTURES
KABF,FUTURE ON DORMAKABA HOLDING,DE000A1KQQL4,FUTURE,SINGLE STOCK FUTURES
TVSA,TRF ON VALEO SE,DE000A2X15D0,FUTURE,EQUITY TOTAL RETURN FUTURES
PUIG,OPT ON Puig Brands,ES0105777017,OPTION,SINGLE STOCK OPTIONS
S2EL,SHELL [USD] DIVIDEND FUTURE,DE000A30AYM7,FUTURE,SINGLE STOCK DIVIDEND FUTURES
ORN,OPT ON Orion Oyj,FI0009014377,OPTION,SINGLE STOCK OPTIONS
