Product,StartContinuousTrading,EndOpeningAuction,EndContinuousTrading,EndClosingAuction,StartTES,EndTES,LTDBook,LTDTES
TGRB,09:30:00,09:32:00,17:25:00,,09:30:00,22:00:00,,
MCCF,08:56:00,09:01:00,22:00:00,,09:01:00,22:00:00,15:30:00,15:30:00
AAIG,08:55:00,09:00:00,17:45:10,,09:00:00,19:35:00,17:45:11,17:45:11
TBPV,09:30:00,09:32:00,17:25:00,,09:30:00,22:00:00,,
DTGP,08:55:00,09:00:00,17:45:10,,09:00:00,19:35:00,17:45:11,17:45:11
I5NN,08:55:00,09:00:00,17:45:10,,09:00:00,19:35:00,17:45:11,17:45:11
MMT,08:54:00,09:02:00,17:34:00,,09:00:00,19:00:00,,
PIR,08:50:00,09:02:30,17:35:00,,09:01:00,19:00:00,,
TUNC,09:30:00,09:32:00,17:25:00,,09:30:00,22:00:00,,
TECE,08:52:00,09:02:15,17:20:00,,09:00:00,19:00:00,,
OESF,08:50:00,09:04:01,17:30:00,,09:00:00,19:00:00,12:00:00,12:00:00
TMVF,08:55:00,09:00:00,17:45:10,,09:00:00,19:35:00,17:45:11,17:45:11
SCB,09:00:00,09:03:30,17:30:00,,09:00:30,18:30:00,,
IUFS,09:00:00,09:03:30,17:30:00,,09:00:30,18:30:00,,
BARH,08:56:00,09:01:00,17:45:10,,09:01:00,19:36:00,17:45:11,17:45:11
BC8I,08:55:00,09:00:00,17:45:10,,09:00:00,19:35:00,17:45:11,17:45:11
COPA,09:00:00,09:03:30,17:30:00,,09:00:30,18:30:00,,
NESG,08:53:00,08:58:00,17:45:10,,08:58:00,19:33:00,17:45:11,17:45:11
ACAF,08:55:00,09:00:00,17:45:10,,09:00:00,19:35:00,17:45:11,17:45:11
TCSF,09:30:00,09:32:00,17:25:00,,09:30:00,22:00:00,,
TBXF,08:30:00,08:35:00,17:25:00,17:28:00,08:30:00,22:15:00,,
FUGH,08:55:00,09:00:00,17:45:10,,09:00:00,19:35:00,17:45:11,17:45:11
BSIP,08:55:00,09:00:00,17:45:10,,09:00:00,19:35:00,17:45:11,17:45:11
TPFE,08:30:00,08:35:00,17:25:00,17:28:00,08:30:00,22:15:00,,
TMMM,14:30:00,08:35:00,17:25:00,17:28:00,08:30:00,22:15:00,,
CON,08:51:00,09:00:15,17:31:00,,09:00:00,19:00:00,,
DB1E,08:51:00,09:00:15,17:31:00,,09:00:00,19:00:00,,
FESV,07:50:00,08:05:01,22:00:00,22:03:00,08:05:00,22:00:00,12:00:00,12:00:00
B2LN,08:53:00,08:58:00,17:45:10,,08:58:00,19:33:00,17:45:11,17:45:11
A2SR,08:55:00,09:00:00,17:45:10,,09:00:00,19:35:00,17:45:11,17:45:11
TAIX,09:30:00,09:32:00,17:25:00,,09:30:00,22:00:00,,
P2ER,08:55:00,09:00:00,17:45:10,,09:00:00,19:35:00,17:45:11,17:45:11
TLRC,09:30:00,09:32:00,17:25:00,,09:30:00,22:00:00,,
BACX,08:51:00,09:04:01,17:31:00,,09:00:00,19:00:00,,
TAXP,08:30:00,08:35:00,17:25:00,17:28:00,08:30:00,22:15:00,,
FGBL,02:10:00,02:15:01,22:00:00,22:03:00,02:15:00,22:00:00,12:30:00,12:30:00
FESO,07:50:00,08:05:01,22:00:00,22:03:00,08:05:00,22:00:00,12:00:00,12:00:00
ANAG,08:55:00,09:00:00,17:45:10,,09:00:00,19:35:00,17:45:11,17:45:11
PSNF,08:56:00,09:01:00,17:45:10,,09:01:00,19:36:00,17:45:11,17:45:11
G1AE,08:51:00,09:04:01,17:31:00,,09:00:00,19:00:00,,
TKGX,09:30:00,09:32:00,17:25:00,,09:30:00,22:00:00,,
K2NI,08:53:00,08:58:00,17:45:10,,08:58:00,19:33:00,17:45:11,17:45:11
TMCC,08:30:00,08:35:00,17:25:00,17:28:00,08:30:00,22:15:00,,
BNP,08:54:00,09:00:20,17:34:00,,09:00:00,19:00:00,,
TDEF,14:30:00,08:35:00,17:25:00,17:28:00,08:30:00,22:15:00,,
FMIB,02:10:00,02:15:01,22:00:00,22:03:00,02:15:00,22:00:00,,
A2IR,08:55:00,09:00:00,17:45:10,,09:00:00,19:35:00,17:45:11,17:45:11
M2MM,08:56:00,09:01:00,22:00:00,,09:01:00,22:00:00,15:30:00,15:30:00
