symbol,country,darvas,piotroski,coffee_can,cc_score,has_ssf,has_sso,has_trf,has_div,n_product_codes,in_validated_universe,is_dax40,pegu_score,pegu_grade,market
SAP SE,Germany,OPTIONABLE_FUTURE,9,PASS,4/4,1,1,1,1,6,1,1,98,A+,DE
E.ON SE,Germany,OPTIONABLE_FUTURE,9,PASS,4/4,1,1,1,1,4,0,1,85,A+,DE
BNP PARIBAS,Germany,OPTIONABLE_FUTURE,7,PASS,3/4,1,1,0,1,4,1,0,80,A+,DE
BMW AG,Germany,OPTIONABLE_FUTURE,7,PASS,3/4,1,1,1,0,3,1,1,75,A,DE
HUGO BOSS AG,Germany,OPTIONABLE_FUTURE,7,PASS,3/4,1,1,1,0,3,1,0,75,A,DE
UBS GROUP AG,Germany,OPTIONABLE_FUTURE,7,PASS,3/4,1,1,0,1,7,0,0,73,A,DE
ELIA GROUP,Germany,OPTIONABLE_FUTURE,7,PASS,3/4,1,1,1,0,4,0,0,70,A,DE
MERCEDES-BENZ GROUP,Germany,OPTIONABLE_FUTURE,7,PASS,3/4,1,1,1,0,4,0,1,70,A,DE
ORANGE,Germany,OPTIONABLE_FUTURE,7,PASS,3/4,1,1,0,1,4,0,0,70,A,DE
SWISS RE AG,Germany,OPTIONABLE_FUTURE,7,PASS,3/4,1,1,0,1,4,0,0,70,A,DE
UNILEVER PLC,Germany,OPTIONABLE_FUTURE,7,PASS,3/4,1,1,0,1,4,0,0,70,A,DE
ALLIANZ SE,Germany,OPTIONABLE_FUTURE,7,PASS,3/4,1,1,1,0,3,0,1,65,B+,DE
ANDRITZ,Germany,FUTURES_ONLY,7,PASS,3/4,1,0,1,1,3,0,0,65,B+,DE
ANGLO AMERICAN PLC,Germany,OPTIONABLE_FUTURE,7,PASS,3/4,1,1,0,1,3,0,0,65,B+,DE
BRENNTAG SE,Germany,FUTURES_ONLY,7,PASS,3/4,1,0,1,1,3,0,1,65,B+,DE
CISCO SYSTEMS,Germany,FUTURES_ONLY,7,PASS,3/4,1,0,1,1,3,0,0,65,B+,DE
CONTINENTAL AG,Germany,OPTIONABLE_FUTURE,7,PASS,3/4,1,1,1,0,3,0,1,65,B+,DE
DEUTSCHE POST AG,Germany,OPTIONABLE_FUTURE,7,PASS,3/4,1,1,0,1,3,0,1,65,B+,DE
EVONIK INDUSTRIES AG,Germany,OPTIONABLE_FUTURE,7,PASS,3/4,1,1,0,1,3,0,0,65,B+,DE
FUCHS SE VZ,Germany,OPTIONABLE_FUTURE,7,PASS,3/4,1,1,1,0,3,0,0,65,B+,DE
GSK PLC,Germany,OPTIONABLE_FUTURE,7,PASS,3/4,1,1,0,1,3,0,0,65,B+,DE
