symbol,suffix,ltp,change_pct,darvas,piotroski,coffee_can,cc_score,pegu_score,pegu_grade,market
KOVAI,.NS,6019.0,-1.14,BREAKOUT_BUY,9.0,PASS,5/5,68,B+,IN
PRIVISCL,.NS,3550.5,-1.61,BREAKOUT_BUY,9.0,PASS,5/5,68,B+,IN
CCL,.NS,1163.2,-0.33,BREAKOUT_BUY,8.0,PASS,5/5,66,B+,IN
PRICOLLTD,.NS,586.7,-0.44,BREAKOUT_BUY,7.0,PASS,5/5,64,B+,IN
LUPIN,.NS,2343.5,-1.02,BREAKOUT_BUY,7.0,PASS,5/5,64,B+,IN
APOLLOHOSP,.NS,8592.0,0.22,BREAKOUT_BUY,7.0,PASS,5/5,64,B+,IN
LGBBROSLTD,.NS,1587.4,-0.28,BREAKOUT_BUY,7.0,PASS,5/5,64,B+,IN
KFINTECH,.NS,874.15,-0.94,BREAKOUT_BUY,7.0,PASS,5/5,64,B+,IN
DAMODARIND,.NS,31.36,-0.25,BREAKOUT_BUY,9.0,FAIL,2/5,53,B,IN
IPCALAB,.NS,1618.3,-0.18,BREAKOUT_BUY,9.0,FAIL,4/5,53,B,IN
ASARFI,.BO,228.1,7.34,BREAKOUT_BUY,9.0,FAIL,3/5,53,B,IN
GLAND,.NS,2314.8,-0.49,BREAKOUT_BUY,9.0,FAIL,4/5,53,B,IN
RAMCOCEM,.NS,919.1,0.59,BREAKOUT_BUY,9.0,FAIL,3/5,53,B,IN
PVRINOX,.NS,986.4,-0.32,BREAKOUT_BUY,9.0,FAIL,3/5,53,B,IN
SHREECEM,.NS,25735.0,-1.29,BREAKOUT_BUY,8.0,FAIL,3/5,51,B,IN
BRPL,.BO,123.15,-0.57,BREAKOUT_BUY,8.0,FAIL,4/5,51,B,IN
ASAL,.NS,519.05,-0.2,BREAKOUT_BUY,8.0,FAIL,4/5,51,B,IN
ABCINDQ,.BO,64.53,-1.96,BREAKOUT_BUY,8.0,FAIL,2/5,51,B,IN
BHARTIARTL,.NS,1850.7,-1.42,BREAKOUT_BUY,8.0,FAIL,4/5,51,B,IN
WAAREEINDO,.NS,404.7,1.04,BREAKOUT_BUY,8.0,FAIL,3/5,51,B,IN
HITECHCORP,.BO,318.45,0.08,BREAKOUT_BUY,8.0,FAIL,3/5,51,B,IN
RDGAIL,.BO,106.45,-2.34,BREAKOUT_BUY,8.0,FAIL,4/5,51,B,IN
HEIDELBERG,.NS,154.93,0.31,BREAKOUT_BUY,8.0,FAIL,3/5,51,B,IN
JKCEMENT,.NS,5577.0,1.16,BREAKOUT_BUY,8.0,FAIL,4/5,51,B,IN
RIDDHICORP,.BO,63.99,4.18,BREAKOUT_BUY,8.0,FAIL,3/5,51,B,IN
KOLTEPATIL,.NS,368.35,-1.72,BREAKOUT_BUY,8.0,FAIL,3/5,51,B,IN
TALBROSENG,.BO,710.1,0.55,BREAKOUT_BUY,8.0,FAIL,3/5,51,B,IN
ZEAL,.BO,12.07,0.5,BREAKOUT_BUY,8.0,FAIL,4/5,51,B,IN
HINDPETRO,.NS,409.25,-0.88,BREAKOUT_BUY,8.0,FAIL,2/5,51,B,IN
CONTAINE,.BO,22.06,5.0,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
VINATIORGA,.NS,1367.3,-1.31,BREAKOUT_BUY,7.0,FAIL,4/5,49,C,IN
RITES,.NS,208.88,0.3,BREAKOUT_BUY,7.0,FAIL,4/5,49,C,IN
SABEVENTS,.BO,8.42,0.12,BREAKOUT_BUY,7.0,FAIL,1/5,49,C,IN
PRISMMEDI,.BO,28.7,-1.91,BREAKOUT_BUY,7.0,FAIL,1/5,49,C,IN
GREENPANEL,.NS,195.61,1.29,BREAKOUT_BUY,7.0,FAIL,2/5,49,C,IN
INDOAMIN,.NS,137.95,-1.75,BREAKOUT_BUY,7.0,FAIL,4/5,49,C,IN
KARMAENG,.NS,43.44,0.58,BREAKOUT_BUY,7.0,FAIL,2/5,49,C,IN
SHILPAMED,.NS,571.6,-1.39,BREAKOUT_BUY,7.0,FAIL,2/5,49,C,IN
RTSPOWR,.BO,110.05,2.47,BREAKOUT_BUY,7.0,FAIL,2/5,49,C,IN
SAGCEM,.NS,178.32,2.38,BREAKOUT_BUY,7.0,FAIL,2/5,49,C,IN
BENCHMARK,.BO,38.4,-5.0,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
MSPL,.NS,41.9,-0.5,BREAKOUT_BUY,7.0,FAIL,2/5,49,C,IN
SHETR,.BO,95.55,2.69,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
ATUL,.NS,6670.5,0.88,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
KCP,.NS,170.57,-3.1,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
KASTURI,.BO,55.0,0.0,BREAKOUT_BUY,7.0,FAIL,4/5,49,C,IN
NGIL,.BO,37.74,4.98,BREAKOUT_BUY,7.0,FAIL,1/5,49,C,IN
AMBIKCO,.NS,1724.8,-2.58,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
BBTC,.NS,1556.7,-0.96,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
INDTERRAIN,.NS,33.47,-0.03,BREAKOUT_BUY,7.0,FAIL,1/5,49,C,IN
ELFIN,.BO,75.0,3.23,BREAKOUT_BUY,7.0,FAIL,4/5,49,C,IN
MAHLOG,.NS,368.0,-2.46,BREAKOUT_BUY,7.0,FAIL,3/5,49,C,IN
ROSSELLIND,.NS,57.64,-1.15,BREAKOUT_BUY,7.0,FAIL,2/5,49,C,IN
ACGL,.BO,2255.25,0.87,BREAKOUT_BUY,7.0,FAIL,4/5,49,C,IN
SWITCHTE,.BO,97.19,3.54,BREAKOUT_BUY,7.0,FAIL,0/5,49,C,IN
