symbol,name,exchange,market_cap,sector
A,Agilent Technologies Inc. Common Stock,NYSE,36911030761.00,Industrials
AA,Alcoa Corporation Common Stock ,NYSE,12846159115.00,Industrials
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,NASDAQ,0.00,
AACBR,Artius II Acquisition Inc. Rights,NASDAQ,0.00,
AACG,ATA Creativity Global American Depositary Shares,NASDAQ,44751197.00,Real Estate
AACI,Armada Acquisition Corp. III Class A Ordinary Share,NASDAQ,0.00,Finance
AACIU,Armada Acquisition Corp. III Units,NASDAQ,0.00,Finance
AACIW,Armada Acquisition Corp. III Warrant,NASDAQ,0.00,Finance
AACO,Abony Acquisition Corp. I Class A Ordinary Share,NASDAQ,0.00,
AACOU,Abony Acquisition Corp. I Units,NASDAQ,0.00,
AACOW,Abony Acquisition Corp. I Warrants,NASDAQ,0.00,
AACP,Apogee Acquisition Corp Class A Ordinary Shares,NASDAQ,0.00,Finance
AACPR,Apogee Acquisition Corp Rights,NASDAQ,0.00,Finance
AACPU,Apogee Acquisition Corp Units,NASDAQ,0.00,Finance
AACPW,Apogee Acquisition Corp Warrant,NASDAQ,0.00,Finance
AADX,Applied Aerospace & Defense Inc. Common Stock,NYSE,3937345525.00,Industrials
AAL,American Airlines Group Inc. Common Stock,NASDAQ,11852021655.00,Consumer Discretionary
AAME,Atlantic American Corporation Common Stock,NASDAQ,34879260.00,Finance
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,2604122733.00,Finance
AAOI,Applied Optoelectronics Inc. Common Stock,NASDAQ,9705362669.00,Technology
AAON,AAON Inc. Common Stock,NASDAQ,8815338230.00,Industrials
AAP,Advance Auto Parts Inc.,NYSE,3712056168.00,Consumer Discretionary
AAPG,Ascentage Pharma Group International American Depository Shares,NASDAQ,1726615138.00,Health Care
AAPL,Apple Inc. Common Stock,NASDAQ,4532958682280.00,Technology
AARD,Aardvark Therapeutics Inc. Common Stock,NASDAQ,124739701.00,Health Care
AAT,American Assets Trust Inc. Common Stock,NYSE,1566082777.00,Real Estate
AAUC,Allied Gold Corporation Common Shares,NYSE,3097140000.00,
AB,AllianceBernstein Holding L.P.  Units,NYSE,3391493902.00,Finance
ABAT,American Battery Technology Company Common Stock,NASDAQ,383324489.00,Basic Materials
ABBV,AbbVie Inc. Common Stock,NYSE,461256601778.00,Health Care
ABCB,Ameris Bancorp Common Stock,NYSE,6152890640.00,Finance
ABCL,AbCellera Biologics Inc. Common Shares,NASDAQ,2389737465.00,Health Care
ABEO,Abeona Therapeutics Inc. Common Stock,NASDAQ,364768922.00,Health Care
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,48861080144.00,Consumer Staples
ABG,Asbury Automotive Group Inc Common Stock,NYSE,3824301520.00,Consumer Discretionary
ABLV,Able View Global Inc. Class B Ordinary Shares,NASDAQ,58774007.00,Consumer Discretionary
ABLVW,Able View Global Inc. Warrant,NASDAQ,928531.00,Consumer Discretionary
ABM,ABM Industries Incorporated Common Stock,NYSE,2593377461.00,Consumer Discretionary
ABNB,Airbnb Inc. Class A Common Stock,NASDAQ,89760844182.00,Consumer Discretionary
ABOS,Acumen Pharmaceuticals Inc. Common Stock,NASDAQ,197903569.00,Health Care
ABR,Arbor Realty Trust Common Stock,NYSE,1013743540.00,Real Estate
ABSI,Absci Corporation Common Stock,NASDAQ,1811616751.00,Health Care
ABT,Abbott Laboratories Common Stock,NYSE,166168905727.00,Health Care
ABTC,American Bitcoin Corp. Class A Common Stock,NASDAQ,597094517.00,Technology
ABTS,Abits Group Inc Ordinary Shares,NASDAQ,3464893.00,Technology
ABUS,Arbutus Biopharma Corporation Common Stock,NASDAQ,962008648.00,Health Care
ABVC,ABVC BioPharma Inc. Common Stock,NASDAQ,46800796.00,Health Care
ABVX,Abivax SA American Depositary Shares,NASDAQ,11469470344.00,Health Care
ABX,Abacus Global Management Inc. Class A Common Stock,NYSE,1137639273.00,Finance
ABXL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,NYSE,1902116322.00,Finance
ACA,Arcosa Inc. Common Stock ,NYSE,7117499889.00,Industrials
ACAA,Averin Capital Acquisition Corp. Class A Ordinary Shares,NASDAQ,0.00,Finance
ACAAU,Averin Capital Acquisition Corp. Units,NASDAQ,0.00,Finance
ACAAW,Averin Capital Acquisition Corp. Warrants,NASDAQ,0.00,Finance
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,NASDAQ,4446995544.00,Health Care
ACB,Aurora Cannabis Inc. Common Shares,NASDAQ,175915695.00,Health Care
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,NASDAQ,23908000.00,Consumer Discretionary
ACCO,Acco Brands Corporation Common Stock,NYSE,387482735.00,Consumer Discretionary
ACCS,ACCESS Newswire Inc. Common Stock,AMEX,26747972.00,Consumer Discretionary
ACDC,ProFrac Holding Corp. Class A Common Stock,NASDAQ,931741878.00,Energy
ACEL,Accel Entertainment Inc. ,NYSE,1039387333.00,Consumer Discretionary
ACET,Adicet Bio Inc. Common Stock,NASDAQ,84134124.00,Health Care
ACFN,Acorn Energy Inc. Common Stock,NASDAQ,42364478.00,Consumer Discretionary
ACGC,ACP Holdings Acquisition Corp. Class A Ordinary Shares,NASDAQ,0.00,Finance
ACGCU,ACP Holdings Acquisition Corp. Units,NASDAQ,0.00,Finance
ACGCW,ACP Holdings Acquisition Corp. Warrants,NASDAQ,0.00,Finance
ACGL,Arch Capital Group Ltd. Common Stock,NASDAQ,35707615894.00,Finance
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,NASDAQ,5656617430.00,Finance
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,NASDAQ,6640149120.00,Finance
ACH,Accendra Health Inc. Common Stock,NYSE,274935490.00,Health Care
ACHC,Acadia Healthcare Company Inc. Common Stock,NASDAQ,2934667832.00,Health Care
ACHR,Archer Aviation Inc. Class A Common Stock,NYSE,3782798085.00,Industrials
ACHV,Achieve Life Sciences Inc. Common Shares,NASDAQ,657017965.00,Health Care
ACI,Albertsons Companies Inc. Class A Common Stock,NYSE,6987777317.00,Consumer Staples
ACIC,American Coastal Insurance Corporation Common Stock,NASDAQ,559275102.00,Finance
ACIU,AC Immune SA Common Stock,NASDAQ,255451668.00,Health Care
ACIW,ACI Worldwide Inc. Common Stock,NASDAQ,5579186962.00,Technology
ACLS,Axcelis Technologies Inc. Common Stock,NASDAQ,4441048117.00,Technology
ACM,AECOM Common Stock,NYSE,8706142601.00,Consumer Discretionary
ACMR,ACM Research Inc. Class A Common Stock,NASDAQ,6474805735.00,Technology
ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE,91682527344.00,Consumer Discretionary
ACNB,ACNB Corporation Common Stock,NASDAQ,615275651.00,Finance
ACNT,Ascent Industries Co. Common Stock,NASDAQ,137923161.00,Industrials
ACOG,Alpha Cognition Inc. Common Stock,NASDAQ,171797681.00,
ACON,Aclarion Inc. Common Stock,NASDAQ,7608353.00,Health Care
ACONW,Aclarion Inc. Warrant,NASDAQ,56878.00,Health Care
ACP,abrdn Income Credit Strategies Fund Common Shares,NYSE,0.00,Finance
ACR,ACRES Commercial Realty Corp. Common Stock,NYSE,128359818.00,Real Estate
ACRE,Ares Commercial Real Estate Corporation Common Stock,NYSE,250774631.00,Real Estate
ACRS,Aclaris Therapeutics Inc. Common Stock,NASDAQ,776530061.00,Health Care
ACRV,Acrivon Therapeutics Inc. Common Stock,NASDAQ,73618974.00,Health Care
ACT,Enact Holdings Inc. Common Stock,NASDAQ,6329497778.00,Finance
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,NASDAQ,438514659.00,Miscellaneous
ACTU,Actuate Therapeutics Inc. Common stock,NASDAQ,36367295.00,Health Care
ACU,Acme United Corporation. Common Stock,AMEX,181411192.00,Consumer Discretionary
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,NYSE,290473601.00,Finance
ACVA,ACV Auctions Inc. Class A Common Stock,NYSE,1274469726.00,Consumer Discretionary
ACXP,Acurx Pharmaceuticals Inc. Common Stock,NASDAQ,6876381.00,Health Care
AD,Array Digital Infrastructure Inc. Common Shares,NYSE,3131136000.00,Telecommunications
ADAC,American Drive Acquisition Company Class A Ordinary Shares,NASDAQ,0.00,
ADACW,American Drive Acquisition Company Warrant,NASDAQ,0.00,
ADAG,Adagene Inc. American Depositary Shares,NASDAQ,295250625.00,Health Care
ADAM,Adamas Trust Inc. Common Stock,NASDAQ,821330527.00,Real Estate
ADAMG,Adamas Trust Inc. 9.125% Senior Notes Due 2030,NASDAQ,0.00,Real Estate
ADAMH,Adamas Trust Inc. 9.875% Senior Notes Due 2030,NASDAQ,0.00,Real Estate
ADAMI,Adamas Trust Inc. 9.125% Senior Notes Due 2029,NASDAQ,2268118461.00,Real Estate
ADAML,Adamas Trust Inc. 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock $0.01 par value per share,NASDAQ,2183624924.00,Real Estate
ADAMM,Adamas Trust Inc. 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,NASDAQ,2229292339.00,Real Estate
ADAMN,Adamas Trust Inc. 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,NASDAQ,2144086037.00,Real Estate
ADAMO,Adamas Trust Inc. 9.250% Senior Notes Due 2031,NASDAQ,0.00,Real Estate
ADAMZ,Adamas Trust Inc. 7.000% Series G Cumulative Redeemable Preferred Stock $0.01 par value per share,NASDAQ,1683098553.00,Real Estate
ADBE,Adobe Inc. Common Stock,NASDAQ,87338700000.00,Technology
ADC,Agree Realty Corporation Common Stock,NYSE,9345203459.00,Real Estate
ADCT,ADC Therapeutics SA Common Shares,NYSE,151357478.00,Health Care
ADEA,Adeia Inc. Common Stock,NASDAQ,3219474533.00,Technology
ADGM,Adagio Medical Holdings Inc Common Stock,NASDAQ,14145841.00,Health Care
ADI,Analog Devices Inc. Common Stock,NASDAQ,183709748006.00,Technology
ADIL,Adial Pharmaceuticals Inc Common Stock,NASDAQ,6216501.00,Health Care
ADM,Archer-Daniels-Midland Company Common Stock,NYSE,37009441708.00,Consumer Staples
ADMA,ADMA Biologics Inc Common Stock,NASDAQ,2079302333.00,Health Care
ADNT,Adient plc Ordinary Shares ,NYSE,1471035140.00,Consumer Discretionary
ADP,Automatic Data Processing Inc. Common Stock,NASDAQ,97548650066.00,Industrials
ADPT,Adaptive Biotechnologies Corporation Common Stock,NASDAQ,3391340666.00,Health Care
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,NASDAQ,896425535.00,Consumer Discretionary
ADSEW,ADS-TEC ENERGY PLC Warrant,NASDAQ,47002939.00,Consumer Discretionary
ADSK,Autodesk Inc. Common Stock,NASDAQ,43778280000.00,Technology
ADT,ADT Inc. Common Stock,NYSE,5393612158.00,Consumer Discretionary
ADTN,ADTRAN Holdings Inc. Common Stock,NASDAQ,1029485851.00,Utilities
ADUR,Aduro Clean Technologies Inc. Common Stock,NASDAQ,547253137.00,Industrials
ADUS,Addus HomeCare Corporation Common Stock,NASDAQ,1962974492.00,Health Care
ADV,Advantage Solutions Inc. Class A Common Stock,NASDAQ,516654581.00,Consumer Discretionary
ADVB,Advanced Biomed Inc. Common Stock,NASDAQ,8244144.00,Health Care
ADX,Adams Diversified Equity Fund Inc.,NYSE,0.00,Finance
ADXN,Addex Therapeutics Ltd American Depositary Shares,NASDAQ,9373240.00,Health Care
AEAQ,Activate Energy Acquisition Corp. Class A Ordinary Share,NASDAQ,0.00,
AEAQU,Activate Energy Acquisition Corp. Unit,NASDAQ,0.00,
AEAQW,Activate Energy Acquisition Corp. Warrant,NASDAQ,0.00,
AEBI,Aebi Schmidt Holding AG Common Stock ,NASDAQ,938176553.00,Industrials
AEC,Anfield Energy Inc. Common Shares,NASDAQ,76951599.00,Basic Materials
AEE,Ameren Corporation Common Stock,NYSE,31831970872.00,Utilities
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,AMEX,986661375.00,Finance
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,NYSE,0.00,
AEG,Aegon Ltd. New York Registry Shares,NYSE,16531511417.00,Finance
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,NASDAQ,18152445.00,Industrials
AEHR,Aehr Test Systems Common Stock,NASDAQ,2245999898.00,Industrials
AEI,Alset Inc. Common Stock (TX),NASDAQ,52120412.00,Finance
