effect,coef,se,p,horizon,n,p_fdr
new_highs:below_200dma,-27.13996874649942,1.7581963088743366,9.336464230675159e-54,xret_T+252d,37467,2.6142099845890443e-52
new_highs:low_beta,-6.208306926664628,0.8128038026882256,2.2038702393860883e-14,xret_T+252d,37467,2.468334668112419e-13
darvas:new_highs,5.01218291943992,0.8437467748212016,2.84348880561985e-09,xret_T+252d,37467,2.27479104449588e-08
new_highs,24.23301145428395,5.166520297442619,2.7268058634135457e-06,xret_T+252d,37467,1.3881920759196232e-05
golden_cross:new_highs,-3.394829057388465,0.8867352209276073,0.00012894833084568186,xret_T+252d,37467,0.00045131915795988654
darvas:below_200dma,-4.393429367330643,1.3651604551226868,0.0012897477835833505,xret_T+252d,37467,0.0038013618884561906
new_highs:reversal_monthly,5.930627126092077,1.8578854229582569,0.00141223719508828,xret_T+252d,37467,0.0039542641462471835
below_200dma,17.269686886613165,5.605946951378789,0.002065831406463939,xret_T+252d,37467,0.005508883750570504
golden_cross:low_beta,2.7945061876133526,0.922087083127802,0.002440428673996239,xret_T+252d,37467,0.006212000261081336
low_beta,12.004999553615425,4.014379544776475,0.002785216915638324,xret_T+252d,37467,0.006781397707641137
golden_cross:below_200dma,5.317655142117931,1.9111046211637406,0.0053941296978576025,xret_T+252d,37467,0.01208285052320103
below_200dma:reversal_monthly,-5.2592507012055085,1.9822570651597213,0.007974140069589504,xret_T+252d,37467,0.01586370434860669
darvas:reversal_monthly,3.825887197938663,1.5360537385138326,0.012748280733348554,xret_T+252d,37467,0.023796790702250634
golden_cross:reversal_monthly,4.392302844091881,1.803493437588047,0.014873627572379894,xret_T+252d,37467,0.02686848851784755
new_highs:reversal_weekly,11.544213387624055,4.797525084635708,0.01611568006953508,xret_T+252d,37467,0.02796484530239747
golden_cross:darvas,1.9381246102461687,0.8446446189831563,0.021755849957596107,xret_T+252d,37467,0.035833164636040644
reversal_monthly:low_beta,-3.0338398026922073,1.5242267800571272,0.0465455308900105,xret_T+252d,37467,0.06859341394317336
darvas:low_beta,-1.464951204403217,0.8041989599512118,0.06851147560263102,xret_T+252d,37467,0.09837545214736762
below_200dma:reversal_weekly,-9.636489924588549,5.365146040842429,0.07247413567611491,xret_T+252d,37467,0.10146378994656087
golden_cross,-9.294736321840798,5.285136963459732,0.07863600364461089,xret_T+252d,37467,0.10740527327068805
golden_cross:reversal_weekly,8.638984578658112,5.072372473760988,0.0885409820578227,xret_T+252d,37467,0.1180546427437636
reversal_weekly:low_beta,-6.972671547308093,4.132170979380157,0.09152431375240803,xret_T+252d,37467,0.11919445511941512
below_200dma:low_beta,-1.9210024201461589,1.3683548576235758,0.16035536920257476,xret_T+252d,37467,0.19955334834098193
reversal_weekly,3.094983035874515,4.906123320776096,0.5281445864597696,xret_T+252d,37467,0.6160450570317689
reversal_monthly,-2.633356997193742,4.286996318428292,0.5390394249027979,xret_T+252d,37467,0.6160450570317689
darvas:reversal_weekly,2.079213827102542,3.8849634168777536,0.5925148754673469,xret_T+252d,37467,0.6506045691406163
reversal_weekly:reversal_monthly,-2.2620117655818723,4.675213625453198,0.6285060430120998,xret_T+252d,37467,0.6768526617053382
darvas,1.0639792681556361,4.044723374164054,0.7925092239672715,xret_T+252d,37467,0.8218614174475408
log_liquidity,-1.0852840910917398,0.7912015138804314,0.1701596138146898,xret_T+252d,37467,
volatility_63d,1.34334435348755,23.940803110082477,0.9552533161208532,xret_T+252d,37467,
new_highs:below_200dma,-10.569368792109616,0.5752883263015022,2.1894087808997855e-75,xret_T+63d,41582,1.2260689173038799e-73
golden_cross:below_200dma,7.6363149154371275,0.5153409685291049,1.1209631046082524e-49,xret_T+63d,41582,2.0924644619354046e-48
darvas:new_highs,2.241103101827751,0.25580227257609633,1.9339568334686708e-18,xret_T+63d,41582,2.707539566856139e-17
golden_cross:darvas,-1.5753562941538115,0.25727707808634404,9.172052007211412e-10,xret_T+63d,41582,8.56058187339732e-09
new_highs,10.501571772163853,1.7817691518941274,3.771821937680725e-09,xret_T+63d,41582,2.6402753563765074e-08
reversal_weekly,8.695651717706456,1.5176474652602425,1.0061347183712666e-08,xret_T+63d,41582,5.634354422879093e-08
darvas:below_200dma,-2.6702686910472346,0.46602508409073223,1.005005846665927e-08,xret_T+63d,41582,5.634354422879093e-08
