effect,coef,se,p,horizon,n,p_fdr
golden_cross:new_highs,11.602194907534422,2.2744353899017464,3.376281646923374e-07,xret_T+252d,14406,2.093294621092492e-05
golden_cross:reversal_monthly,22.837382086699805,4.910754062432267,3.311573000625435e-06,xret_T+252d,14406,0.00015398814452908272
darvas:new_highs,10.049388478363294,2.2650595248466456,9.134867093859624e-06,xret_T+252d,14406,0.0003775745065461978
golden_cross:low_beta,-9.945427502915942,2.7019275967474585,0.00023244514367160433,xret_T+252d,14406,0.008478777716598404
reversal_monthly:low_beta,-23.124689365983933,7.072622919696892,0.001076974298086245,xret_T+252d,14406,0.030818033760621782
reversal_weekly:low_beta,72.34268653054198,22.44802879450103,0.0012699985053086082,xret_T+252d,14406,0.033745674569628736
low_beta,-62.28340135998451,22.00306678438625,0.00464507489876903,xret_T+252d,14406,0.10164516837306348
new_highs:reversal_monthly,12.33190028596574,4.60374143655083,0.0073915382165871445,xret_T+252d,14406,0.14471853771423251
new_highs:low_beta,6.251879685044025,2.6238597964367405,0.01718603439138863,xret_T+252d,14406,0.3044383235045986
new_highs:below_200dma,8.740225396248704,3.80314705748329,0.021552909450539757,xret_T+252d,14406,0.3477057933979858
debt_reduction:low_asset_growth,44.82192578488302,19.76820109739465,0.023367324825133453,xret_T+252d,14406,0.3477057933979858
golden_cross:below_200dma,9.09966520311704,4.208100973272856,0.030586119371024692,xret_T+252d,14406,0.4063584430721852
darvas:below_200dma,-7.446373403886634,3.764577694977441,0.047927546264054925,xret_T+252d,14406,0.5751305551686591
below_200dma:low_beta,8.054787225265196,4.32039790770967,0.06227083541782524,xret_T+252d,14406,0.679651126032273
golden_cross:not_distress,-15.84888113537869,9.7644153168676,0.10456236845212091,xret_T+252d,14406,0.9261238348616424
new_highs:net_margin,28.476981860713362,17.418973054947077,0.1020856272050459,xret_T+252d,14406,0.9261238348616424
not_distress:debt_reduction,31.657921503008588,19.437574735547326,0.1033771580737187,xret_T+252d,14406,0.9261238348616424
not_distress:net_debt_ebitda,17.485108646465772,10.496728394443613,0.09575973869930529,xret_T+252d,14406,0.9261238348616424
net_debt_ebitda:quick_ratio,-14.706484703183875,8.974211580835817,0.10126544125327464,xret_T+252d,14406,0.9261238348616424
golden_cross:low_asset_growth,-27.085068379539198,16.973371886860726,0.11054711825747697,xret_T+252d,14406,0.9292281115912977
darvas:net_margin,-29.636364626600752,18.79852160849685,0.1149045514333325,xret_T+252d,14406,0.9292281115912977
net_debt_ebitda:low_asset_growth,16.494128554857056,10.435532841128817,0.11397554757270807,xret_T+252d,14406,0.9292281115912977
golden_cross,-4.662873851443284,41.32275778506018,0.9101571394557181,xret_T+252d,14406,0.998345388071379
darvas,-2.2720539610116317,23.33807562460573,0.9224453096606546,xret_T+252d,14406,0.998345388071379
new_highs,3.7470220415152102,21.242112991451854,0.8599829106046234,xret_T+252d,14406,0.998345388071379
below_200dma,-48.29559658057531,33.17075485649319,0.1454011410987072,xret_T+252d,14406,0.998345388071379
