effect,coef,se,p,horizon,n,p_fdr
golden_cross:new_highs,11.857844878362357,2.2236873627426976,9.686208667659075e-08,xret_T+252d,14403,9.04046142314847e-07
golden_cross:reversal_monthly,22.116458386061957,4.699467278448295,2.5242288416387863e-06,xret_T+252d,14403,1.7669601891471505e-05
darvas:new_highs,10.02258545191218,2.2226602290876865,6.504964710969354e-06,xret_T+252d,14403,4.0475335979364875e-05
golden_cross:low_beta,-10.042937956604645,2.63157286781903,0.00013545393391115867,xret_T+252d,14403,0.0007585420299024885
reversal_monthly:low_beta,-23.063602796864938,6.818715101110638,0.0007185616865136714,xret_T+252d,14403,0.0030953426495973534
reversal_weekly:low_beta,66.41865818191759,20.637405944503072,0.0012892466327023772,xret_T+252d,14403,0.005156986530809509
new_highs:reversal_monthly,12.564396661699176,4.4335574463088685,0.0045979233488615615,xret_T+252d,14403,0.015146100443308672
low_beta,-56.007489113489264,20.285190480283465,0.005762399624311818,xret_T+252d,14403,0.01792746549785899
golden_cross:below_200dma,9.474381069855552,4.12619485974418,0.021667046637914664,xret_T+252d,14403,0.05539910363587911
new_highs:below_200dma,8.349076447400275,3.7586115781206435,0.0263293424237963,xret_T+252d,14403,0.06410622503185186
new_highs:low_beta,5.42047683149832,2.556965151737989,0.03401558762626582,xret_T+252d,14403,0.07326434257964945
below_200dma:low_beta,8.622833816508182,4.215951233905407,0.04082648827719969,xret_T+252d,14403,0.08467716087122898
darvas:below_200dma,-7.454606252778172,3.7256916875554853,0.045406935818117306,xret_T+252d,14403,0.09081387163623461
below_200dma,-47.61713815585545,27.879636053133826,0.08764486326439014,xret_T+252d,14403,0.16924525320020165
darvas:low_beta,-3.471115382911318,2.685638181246088,0.19619332005452195,xret_T+252d,14403,0.35441373945332993
below_200dma:reversal_monthly,-6.104030810890553,4.9664969967430395,0.21905625489002178,xret_T+252d,14403,0.38334844605753815
golden_cross:darvas,-2.564330806684674,2.2296158299213573,0.25009351753352216,xret_T+252d,14403,0.4119187347610953
darvas:reversal_weekly,16.948384965912297,23.285510834479744,0.4667047322230069,xret_T+252d,14403,0.7063639190402267
darvas:reversal_monthly,3.1549662355039385,4.641192266486261,0.496646971012877,xret_T+252d,14403,0.7319007993873977
reversal_monthly,-7.829375902944978,15.190088799568581,0.6062549449516186,xret_T+252d,14403,0.7758574045683314
new_highs:reversal_weekly,-11.27377652854022,19.359300631162434,0.5603348558594854,xret_T+252d,14403,0.7758574045683314
reversal_weekly:reversal_monthly,-6.7732047246368605,15.111814289072719,0.6540045859482895,xret_T+252d,14403,0.7961794959370481
below_200dma:reversal_weekly,10.165034062910312,26.894448913708768,0.7054600838646008,xret_T+252d,14403,0.823036764508701
new_highs,3.9141060688137075,19.439277705085626,0.8404246069145653,xret_T+252d,14403,0.9412755597443132
reversal_weekly,-3.293344007428013,20.8241905366783,0.8743386673353777,xret_T+252d,14403,0.9600581445251207
golden_cross,-1.7175040126161532,36.62220981382022,0.9625946175029275,xret_T+252d,14403,0.9947746205241825
darvas,-0.15269357166196834,23.315239213970404,0.9947746205241825,xret_T+252d,14403,0.9947746205241825
golden_cross:reversal_weekly,-0.6738570160323173,35.36151364542592,0.9847962512158649,xret_T+252d,14403,0.9947746205241825
log_liquidity,-3.368926917792842,0.2845112459005456,2.3928559805022233e-32,xret_T+252d,14403,
volatility_63d,-0.33283641684476584,6.860735159191748,0.9613072215274631,xret_T+252d,14403,
darvas:new_highs,5.084132362393777,0.5667148484633779,2.932068346465453e-19,xret_T+63d,15834,1.6419582740206536e-17
golden_cross:reversal_monthly,9.860047731974783,1.214456159067234,4.704291335542909e-16,xret_T+63d,15834,1.3172015739520144e-14
golden_cross:new_highs,3.7038622392611864,0.5758393068969597,1.258439275544413e-10,xret_T+63d,15834,2.3490866476829045e-09
golden_cross:below_200dma,5.687938632685055,0.9283112354240328,8.944505437645328e-10,xret_T+63d,15834,1.252230761270346e-08
new_highs:reversal_monthly,6.643174561245544,1.2131390429574536,4.349967244573701e-08,xret_T+63d,15834,4.871963313922545e-07
below_200dma:reversal_monthly,-6.212798514441617,1.1850085159530035,1.5813199383940132e-07,xret_T+63d,15834,1.2650559507152105e-06
darvas:below_200dma,-3.4747221272365865,0.9792225116551796,0.0003875055532845536,xret_T+63d,15834,0.0018083592486612503
darvas:reversal_monthly,4.519046134411875,1.2712761399392942,0.00037836436083159476,xret_T+63d,15834,0.0018083592486612503
new_highs:below_200dma,-3.0477275671651847,0.9651923085264366,0.0015905312852500326,xret_T+63d,15834,0.005937983464933455
golden_cross:darvas,-1.8085404792675177,0.5793799990354328,0.0017992611762197668,xret_T+63d,15834,0.006297414116769184
darvas:low_beta,-1.5778465169285423,0.6578991062307045,0.016470884078265503,xret_T+63d,15834,0.048545763599098325
reversal_weekly:reversal_monthly,-7.720876977068555,3.2755165902719154,0.01841591161131013,xret_T+63d,15834,0.05156455251166837
new_highs,-8.047907250035642,3.5075345304980794,0.021763933571238223,xret_T+63d,15834,0.05539910363587911
golden_cross:reversal_weekly,-9.232206026455826,4.271096937791759,0.03065258201500348,xret_T+63d,15834,0.06888485575699096
new_highs:reversal_weekly,7.755290994842692,3.5899722103789693,0.030752167748656675,xret_T+63d,15834,0.06888485575699096
below_200dma:low_beta,1.4583145262488753,0.9069622560593883,0.10785468728659597,xret_T+63d,15834,0.20132874960164582
reversal_weekly:low_beta,4.459948822872033,3.8664470209326107,0.2487049858281477,xret_T+63d,15834,0.4119187347610953
reversal_monthly:low_beta,-1.2195787961284847,1.2560390405331923,0.3315621994324276,xret_T+63d,15834,0.5304995190918842
below_200dma:reversal_weekly,-2.4753835647006754,3.340142729913531,0.4586321221236539,xret_T+63d,15834,0.7063639190402267
golden_cross,-2.293143884322475,4.308269992907351,0.5945420586390029,xret_T+63d,15834,0.7758574045683314
reversal_weekly,-1.914080849798923,3.3910021737625624,0.572441965347753,xret_T+63d,15834,0.7758574045683314
reversal_monthly,-1.6117835170492305,3.282942160226274,0.6234568429566949,xret_T+63d,15834,0.7758574045683314
golden_cross:low_beta,-0.35817457327874147,0.6011350684465491,0.5512885051438923,xret_T+63d,15834,0.7758574045683314
darvas:reversal_weekly,2.062863364830158,4.107790604935819,0.6155386706753254,xret_T+63d,15834,0.7758574045683314
low_beta,1.535190531516626,3.792219409095377,0.6856051217333494,xret_T+63d,15834,0.816891208873778
below_200dma,0.9746242906496616,3.3061503622318407,0.7681533296434444,xret_T+63d,15834,0.8778895195925078
new_highs:low_beta,0.06267876272872701,0.6276484389791018,0.9204532092461347,xret_T+63d,15834,0.9912573022650681
darvas,-0.11637730706179987,4.027207738093016,0.9769461273107473,xret_T+63d,15834,0.9947746205241825
log_liquidity,0.18664628495123323,0.0605516009739752,0.002053155804548431,xret_T+63d,15834,
volatility_63d,0.007250502634526955,1.2696672886899287,0.9954436625093761,xret_T+63d,15834,
