effect,coef,se,p,horizon,n,p_fdr
new_highs:low_beta,6.150304357993651,0.8642936159241326,1.1111269657501463e-12,xret_T+252d,28927,8.88901572600117e-12
golden_cross:below_200dma,9.468115895664798,1.4126279003976105,2.0490602276388686e-11,xret_T+252d,28927,1.2749708083086293e-10
below_200dma:reversal_monthly,-9.113528165693781,1.4621305961082232,4.5744996793769447e-10,xret_T+252d,28927,2.328836200410081e-09
new_highs:reversal_monthly,7.4120873062712365,1.3234078561002505,2.1341634927639732e-08,xret_T+252d,28927,9.959429632898543e-08
below_200dma:low_beta,6.530088707316071,1.2316682435436046,1.146511159254547e-07,xret_T+252d,28927,4.0127890573909146e-07
golden_cross:reversal_monthly,6.0325158485931,1.1617573412333762,2.0740170489477258e-07,xret_T+252d,28927,6.832056161239567e-07
new_highs:below_200dma,7.238588808154751,1.427734982473416,3.978560420553248e-07,xret_T+252d,28927,1.2377743530610104e-06
golden_cross:new_highs,4.298625440632134,0.8576704796335337,5.387340851149277e-07,xret_T+252d,28927,1.5084554383217973e-06
darvas:below_200dma,-6.634936608774421,1.4526873151277795,4.939204633577486e-06,xret_T+252d,28927,1.317121235620663e-05
low_beta,-22.49588468647508,5.075717932524715,9.333718260040683e-06,xret_T+252d,28927,2.375855557101265e-05
darvas:new_highs,3.642999227467845,0.8780592675931108,3.3404490472883696e-05,xret_T+252d,28927,7.79438111033953e-05
golden_cross:darvas,-3.563738432185227,0.8796517645338435,5.093255567465955e-05,xret_T+252d,28927,0.0001099180654677584
darvas:low_beta,3.660549462312319,0.9036512245965224,5.103338753860212e-05,xret_T+252d,28927,0.0001099180654677584
new_highs,-13.240333867032145,3.8865714254058066,0.0006575639401702795,xret_T+252d,28927,0.0011878574403076016
darvas:reversal_monthly,4.810562252791211,1.4250472377470433,0.0007362246784925219,xret_T+252d,28927,0.0012883931873619134
reversal_weekly,15.516974739018695,5.027011633683585,0.002023784815104063,xret_T+252d,28927,0.0034343015044190164
golden_cross:low_beta,2.379981871002996,0.8298052217822184,0.004129174433402267,xret_T+252d,28927,0.006800993184427263
darvas,12.483118226196627,4.596237959478729,0.0066087385655961214,xret_T+252d,28927,0.010573981704953795
golden_cross,-8.497358633684515,4.360011843002945,0.05130376421690846,xret_T+252d,28927,0.07074998227134016
below_200dma,-8.736437447972252,5.105215932488255,0.0870300319531142,xret_T+252d,28927,0.11334143696219526
reversal_weekly:low_beta,8.596749131214507,5.080098680126957,0.09060011234778778,xret_T+252d,28927,0.11530923389718445
darvas:reversal_weekly,-6.266710313536249,4.587726839855367,0.17194748469429533,xret_T+252d,28927,0.21397909206401197
reversal_monthly,-6.282996379479727,4.708782948698389,0.18210087611434234,xret_T+252d,28927,0.21697125664687597
reversal_weekly:reversal_monthly,-5.045528935141051,4.584363824627466,0.27107286465833635,xret_T+252d,28927,0.31625167543472577
below_200dma:reversal_weekly,-5.109327360124638,5.164053657024255,0.32246627443270826,xret_T+252d,28927,0.36116222736463327
golden_cross:reversal_weekly,-3.8387824711209833,4.244379820801446,0.36576268730700945,xret_T+252d,28927,0.3998045241734578
new_highs:reversal_weekly,1.0722364672876394,3.8598611899274182,0.7811724488093442,xret_T+252d,28927,0.8101047617282088
reversal_monthly:low_beta,-0.008376999224898748,1.2292433456576113,0.9945626497494704,xret_T+252d,28927,0.9945626497494704
log_liquidity,-0.008439762456410236,0.08699438751012993,0.9227144645430783,xret_T+252d,28927,
volatility_63d,15.078456895538192,2.561808956378301,3.959819100919228e-09,xret_T+252d,28927,
new_highs:below_200dma,7.168802695433574,0.44569235843482763,3.269287981035453e-58,xret_T+63d,31867,1.8308012693798536e-56
golden_cross:darvas,-3.670419804856795,0.2795999653161679,2.2940666468433756e-39,xret_T+63d,31867,6.423386611161452e-38
new_highs:low_beta,2.7604449169783303,0.25572495221467917,3.6510538134647335e-27,xret_T+63d,31867,6.815300451800836e-26
darvas:below_200dma,-4.178061249172873,0.4435669956146041,4.543915022080938e-21,xret_T+63d,31867,6.361481030913313e-20
darvas,7.499164898611239,0.8949562421619172,5.321406962144563e-17,xret_T+63d,31867,5.959975797601911e-16
reversal_weekly,8.40052312395945,1.073480168341951,5.056279664003704e-15,xret_T+63d,31867,4.7191943530701235e-14
new_highs:reversal_monthly,3.525749265646914,0.5066748189741418,3.436617539935063e-12,xret_T+63d,31867,2.405632277954544e-11
new_highs,-6.249853730535645,0.9695081493187357,1.1452535357995784e-10,xret_T+63d,31867,6.413419800477639e-10
golden_cross:low_beta,-1.3368691701898274,0.2407587615243161,2.812371414038409e-08,xret_T+63d,31867,1.2114830706626992e-07
golden_cross:below_200dma,2.394851846701204,0.4334130354564726,3.28427180386598e-08,xret_T+63d,31867,1.313708721546392e-07
below_200dma:reversal_monthly,-2.8946586765135884,0.5334447619365374,5.7517701185079405e-08,xret_T+63d,31867,2.1473275109096312e-07
golden_cross:new_highs,1.3677139426175884,0.27233089654810505,5.106955343014191e-07,xret_T+63d,31867,1.5052078905726036e-06
below_200dma,-4.418646655058555,1.0335409431591758,1.9092232162567582e-05,xret_T+63d,31867,4.6485434830599336e-05
golden_cross,4.697193992519618,1.19075831116831,7.989723309493658e-05,xret_T+63d,31867,0.00016571277975246105
darvas:new_highs,1.0679893751913068,0.27677988783538177,0.00011402745016653215,xret_T+63d,31867,0.0002280549003330643
reversal_monthly:low_beta,-1.6609752675086558,0.4423431311950468,0.00017337776478153495,xret_T+63d,31867,0.00033479844233675715
below_200dma:low_beta,-1.4345646988620553,0.4009980228326539,0.00034691517066044703,xret_T+63d,31867,0.0006475749852328345
darvas:reversal_monthly,1.1965962838907231,0.5030683448358515,0.017378717499510796,xret_T+63d,31867,0.027033560554794573
new_highs:reversal_weekly,-2.434836720154627,1.0329050584099384,0.018409826360803128,xret_T+63d,31867,0.027863520978512843
reversal_weekly:low_beta,3.982136494143944,1.739143373753011,0.022038049288266696,xret_T+63d,31867,0.032477125266919336
reversal_weekly:reversal_monthly,-2.814081780191459,1.3390972834921762,0.03559913861568207,xret_T+63d,31867,0.05111671185841528
golden_cross:reversal_weekly,-2.3640372455132543,1.2155685158808724,0.05179909416294547,xret_T+63d,31867,0.07074998227134016
darvas:low_beta,0.48372792968897893,0.2765147635187984,0.08022627230888071,xret_T+63d,31867,0.10696836307850761
golden_cross:reversal_monthly,0.6135327354671833,0.4573923455877685,0.17980009393279694,xret_T+63d,31867,0.21697125664687597
reversal_monthly,1.4041632728419624,1.325260379219797,0.28935499032195455,xret_T+63d,31867,0.33069141751080516
low_beta,-1.5328733291814518,1.7143551880922003,0.37124705816106796,xret_T+63d,31867,0.3998045241734578
below_200dma:reversal_weekly,0.7193529473588869,1.1062394705813667,0.5155186451902999,xret_T+63d,31867,0.544698945861449
darvas:reversal_weekly,0.20769544452846556,0.9679056588238952,0.8300929772554126,xret_T+63d,31867,0.8451855768418746
log_liquidity,0.04584520302617932,0.03439393049577684,0.18254999346270206,xret_T+63d,31867,
volatility_63d,5.495940845655285,1.5793731999839415,0.0005017431811128486,xret_T+63d,31867,
