effect,coef,se,p,horizon,n,p_fdr
new_highs:reversal_monthly,11.409129970276744,1.5900197344928615,7.206215804833947e-13,xret_T+126d,19591,2.0177404253535054e-11
golden_cross,-21.388328420394764,3.7831882967371917,1.571953619620131e-08,xret_T+126d,19591,1.571953619620131e-07
new_highs:below_200dma,-11.161034805935035,2.0231813497252578,3.456669460070064e-08,xret_T+126d,19591,3.0245857775613064e-07
darvas:below_200dma,-8.67607839124347,1.6568830932461338,1.6375186340335447e-07,xret_T+126d,19591,1.2065926777089276e-06
below_200dma:reversal_monthly,-7.553816477423805,1.7355459389042995,1.3464597512436286e-05,xret_T+126d,19591,6.981643154596592e-05
golden_cross:reversal_monthly,5.748689643403678,1.3888284494192809,3.484633269183699e-05,xret_T+126d,19591,0.0001650652593327793
darvas:new_highs,3.4560052980784333,0.9248891483347238,0.00018647358175741057,xret_T+126d,19591,0.0007000440617370299
golden_cross:below_200dma,7.696522976214977,2.1367049247368044,0.0003157147750173981,xret_T+126d,19591,0.0011050017125608933
golden_cross:new_highs,3.1715675508254586,0.900701119182319,0.0004295647036705029,xret_T+126d,19591,0.001431882345568343
new_highs:low_beta,2.6020024473896597,0.8845697040490914,0.003265783665517884,xret_T+126d,19591,0.010160215848277861
below_200dma,14.287705496326232,5.201341844010392,0.00601565523710706,xret_T+126d,19591,0.017187586391734455
golden_cross:reversal_weekly,8.51599967088882,3.189762796600962,0.007589849732199956,xret_T+126d,19591,0.021251579250159875
below_200dma:low_beta,2.824437552617753,1.3191062704251384,0.03225991705314706,xret_T+126d,19591,0.07313281888857548
reversal_weekly,10.293564564615641,5.468210613600366,0.059776642136215676,xret_T+126d,19591,0.11786943519817175
below_200dma:reversal_weekly,-9.899520258878336,5.252907393624559,0.05948666639687992,xret_T+126d,19591,0.11786943519817175
darvas:low_beta,1.4810347034392728,0.8662230205188078,0.08730999945533865,xret_T+126d,19591,0.15671025543265912
darvas,6.163932584905853,3.654187905742952,0.0916392664711789,xret_T+126d,19591,0.16077695289537586
reversal_weekly:low_beta,-5.371223735542301,3.269685853576296,0.10043800530076377,xret_T+126d,19591,0.17147952124520643
new_highs,5.718169880849947,4.089347064377393,0.1620203641662531,xret_T+126d,19591,0.23876685245553086
reversal_weekly:reversal_monthly,-5.54041434023572,4.513003132701077,0.21957621626134693,xret_T+126d,19591,0.3169141265627688
darvas:reversal_monthly,1.478997983163957,1.378480007494863,0.2833072677031402,xret_T+126d,19591,0.38885311253372185
darvas:reversal_weekly,3.3208072467329295,3.5781326716991484,0.3533640616682122,xret_T+126d,19591,0.4580645243847195
golden_cross:low_beta,-0.6856869610803866,0.8346393281269209,0.4113405454208564,xret_T+126d,19591,0.5141756817760705
reversal_monthly:low_beta,0.45525756759968894,1.309753307138222,0.7281478790650252,xret_T+126d,19591,0.8287862038138498
new_highs:reversal_weekly,1.0595092319888226,3.828454903501674,0.78197521783355,xret_T+126d,19591,0.875812243973576
