effect,coef,se,p,horizon,n,p_fdr
golden_cross:reversal_monthly,9.766388971687409,0.5292109267005332,4.786797918627367e-76,xret_T+126d,48095,8.688038222308672e-73
low_beta,-15.202529273807599,0.9653167819575798,7.005623444064581e-56,xret_T+126d,48095,5.086082620390886e-53
new_highs:reversal_monthly,8.333258038777677,0.6871725691243172,7.609536123349913e-34,xret_T+126d,48095,2.7622616127760187e-31
below_200dma:low_beta,7.52707699747838,0.7364790112917949,1.6075097050344582e-24,xret_T+126d,48095,3.241811238486157e-22
reversal_monthly,-14.263439786378367,1.4021218547459116,2.6238493470787066e-24,xret_T+126d,48095,5.0129332262608975e-22
new_highs:low_beta,6.268308731451297,0.6263968567014813,1.4209532518841987e-23,xret_T+126d,48095,2.5790301521698208e-21
darvas:reversal_monthly,6.129300095635521,0.6463537409003667,2.473410337100343e-21,xret_T+126d,48095,3.903686749423585e-19
darvas:below_200dma,-8.545469536415949,0.9152719989292746,9.953781737620209e-21,xret_T+126d,48095,1.338230655835606e-18
darvas,8.635694965640404,0.9522313394015299,1.2021973244669494e-19,xret_T+126d,48095,1.5048194095913884e-17
below_200dma:reversal_monthly,-6.400082513213445,0.7531559004481422,1.9340708098887313e-17,xret_T+126d,48095,2.0059077256845982e-15
below_200dma,7.890110967413254,0.9449515838736826,6.840669830802535e-17,xret_T+126d,48095,6.711251752922487e-15
new_highs:below_200dma,-7.8589421176013525,0.9696245651062224,5.268514227474814e-16,xret_T+126d,48095,5.0328175383509404e-14
below_200dma:reversal_weekly,-5.7925327312418915,0.8118720387222208,9.693831210006191e-13,xret_T+126d,48095,7.997410748255108e-11
golden_cross:low_beta,3.123814220310626,0.538386512583939,6.545913220469088e-09,xret_T+126d,48095,3.83252661133916e-07
below_200dma:peg_value,7.227012607769621,1.319177978046678,4.291376109454339e-08,xret_T+126d,48095,2.3602568601998865e-06
golden_cross:short_interest_decline,-3.7371077629584257,0.698879209447063,8.928234813527092e-08,xret_T+126d,48095,4.837237667627365e-06
below_200dma:pead_positive_surprise,-6.722109388493126,1.286302880075442,1.7329605415126235e-07,xret_T+126d,48095,9.116879370566411e-06
pead_positive_surprise,10.573504099226968,2.143484526108815,8.1035202683122e-07,xret_T+126d,48095,3.922103809863105e-05
short_interest_decline,8.850377573099145,1.8229291154244924,1.2036784300642234e-06,xret_T+126d,48095,5.7491482909646464e-05
darvas:low_beta,2.882774721118275,0.5976010454042504,1.4076970176524387e-06,xret_T+126d,48095,6.636285940361498e-05
golden_cross:peg_value,-3.9753400953349676,0.929671803804914,1.9022291760849145e-05,xret_T+126d,48095,0.0007846695351350272
new_highs:reversal_weekly,4.486440461004074,1.0525013232258615,2.0202050209153967e-05,xret_T+126d,48095,0.0008148160251025434
new_highs:peg_value,-4.10239611402195,1.0302471343870616,6.835117344369706e-05,xret_T+126d,48095,0.0023629977104820984
new_highs:sloan_quality,3.307646029435998,0.8412165385294991,8.424931626644936e-05,xret_T+126d,48095,0.002858177738758983
