screener,n_years,hit_rate_years_63d,hit_rate_years_252d,avg_excess_63d,avg_excess_252d,worst_year_252d,best_year_252d
net_debt_ebitda,18,66.66666666666666,61.111111111111114,1.2360401975006388,0.7962457589283897,-13.634481668300753,20.578461222935157
debt_reduction,17,70.58823529411765,58.82352941176471,1.644112516463542,3.506821743783258,-15.825943883065198,30.967124867915143
bull_cartel,17,58.82352941176471,58.82352941176471,2.2360590539065397,2.554494033672167,-19.315207087032334,35.12457996813903
eps_growth,17,52.94117647058824,58.82352941176471,0.5754122249779019,0.0035827466388334006,-19.43818086228089,33.18154580971715
capacity_expansion,17,58.82352941176471,58.82352941176471,1.1311806077248947,0.4329011192568081,-24.55568056009904,35.72295859645918
short_interest_decline,9,44.44444444444444,55.55555555555556,-0.24001824124644766,1.0124112088410828,-3.674774252462283,7.550482389793721
sloan_quality,17,52.94117647058824,52.94117647058824,0.19245606874079255,-1.2101522018854873,-18.957338291897447,28.45214584813898
fcf_margin,17,58.82352941176471,52.94117647058824,1.1584308284585685,0.4687893962543753,-13.947894720498834,14.207461443688253
roic_value,17,58.82352941176471,52.94117647058824,0.3370146803186447,-1.2621000995992615,-17.48885605924005,27.155951472254554
piotroski,16,62.5,50.0,0.8846118205612471,0.8748710995551806,-13.327380551181847,18.00870164780396
buyback_yield,17,47.05882352941176,47.05882352941176,-0.5494414300300123,-1.9023749849187808,-19.35811948550514,31.590799581503582
low_asset_growth,17,52.94117647058824,47.05882352941176,0.16287303498249592,-0.46591611640659925,-19.479044644882794,27.1052484969861
pead_positive_surprise,17,52.94117647058824,47.05882352941176,0.28206241775274055,-0.18358093951194,-16.82863822095338,26.3604601202123
net_margin,17,47.05882352941176,47.05882352941176,0.5267670673269729,-0.7860914995233428,-17.365092312832353,9.759672953544976
ps_value,11,45.45454545454545,45.45454545454545,-0.9066063436706412,0.17134876571715446,-14.311700718493721,36.37708398108696
ev_ebitda_value,11,36.36363636363637,45.45454545454545,-0.9588497618126707,-0.5028975816066386,-15.350135722838383,33.566190343423635
magic_formula,10,40.0,40.0,-1.806064996895639,3.4166578732763755,-22.204862638980206,38.2826479615411
small_cap_growth,10,30.0,40.0,2.084129187687911,4.762360708837287,-23.015027079118006,70.28937520362017
new_highs,10,60.0,40.0,1.3282376929359248,1.1581372749036065,-7.86866992136317,18.43174474223356
coffee_can,10,50.0,40.0,-0.02990674698369953,0.7491897892167243,-10.230855664908908,14.054592379784646
roce_plus,16,56.25,37.5,0.061261422635018076,-0.9380789882381857,-7.238604134087504,7.021670992167077
ev_sales,11,36.36363636363637,36.36363636363637,-0.8977640890151317,-0.46770261041230804,-13.685000186433493,34.30176045347676
pb_value,11,27.27272727272727,36.36363636363637,-1.4495403629977783,-1.5529484100717932,-16.581294199558524,29.224109601411907
graham_10y,11,27.27272727272727,36.36363636363637,-1.2493588785076726,-1.4945826832934936,-17.820094088893445,22.727511457443722
insider_buying,9,0.0,33.33333333333333,-1.8357125616489556,-0.994504408282268,-11.974085186756753,17.88510442906131
growth_stocks,10,50.0,30.0,0.8461631793873678,12.949415711297682,-13.683142001419501,68.10889190613503
peg_value,11,36.36363636363637,27.27272727272727,-1.0361944532363685,-2.0717892548141217,-14.817823765393117,20.18498743992185
not_distress,11,27.27272727272727,27.27272727272727,-1.5414668647277814,-4.324743494291285,-21.886493981513325,31.236659440320665
darvas,11,63.63636363636363,27.27272727272727,1.1532138495455986,-0.49880495147945025,-13.033990480326363,15.212924099760576
operating_margin,17,52.94117647058824,23.52941176470588,-0.03991966971146182,-2.8656561787108528,-17.020945009384015,4.567761325033676
golden_cross,10,50.0,20.0,-0.3855501885968483,-3.5654746810960094,-15.529285647144478,14.857406493861616
fcf_yield,11,36.36363636363637,18.181818181818183,-1.095943729887976,-2.1616802279899714,-16.183199838062368,23.18510538778171
low_beta,10,10.0,10.0,-3.9088946887778193,-10.682968752388014,-26.07200668836486,14.767219042141868
below_200dma,10,20.0,10.0,-2.822648304493447,-9.155537786533001,-20.056598991511436,9.736160084942025
reversal_monthly,11,18.181818181818183,9.090909090909092,-3.1321221588306916,-9.957055020082118,-25.44749238309548,13.413315070694644
reversal_weekly,11,18.181818181818183,9.090909090909092,-2.370459267134813,-8.058649995843709,-22.274341697771955,12.119371303555964
