yf_ticker,name,index,exchange
ADMIE.AT,ADMIE Holding,FTSEATHEX,Athens Stock Exchange
ALPHA.AT,Alpha Bank,FTSEATHEX,Athens Stock Exchange
BELA.AT,Jumbo,FTSEATHEX,Athens Stock Exchange
ELLAKTOR.AT,Ellaktor,FTSEATHEX,Athens Stock Exchange
ELPE.AT,Hellenic Petroleum,FTSEATHEX,Athens Stock Exchange
ETE.AT,National Bank of Greece,FTSEATHEX,Athens Stock Exchange
EUPIC.AT,European Reliance,FTSEATHEX,Athens Stock Exchange
EUROB.AT,Eurobank Ergasias,FTSEATHEX,Athens Stock Exchange
EYDAP.AT,Athens Water Supply,FTSEATHEX,Athens Stock Exchange
FLEXO.AT,Flexopack,FTSEATHEX,Athens Stock Exchange
GEBKA.AT,Gebka,FTSEATHEX,Athens Stock Exchange
GEK.AT,GEK Terna,FTSEATHEX,Athens Stock Exchange
GEKTERNA.AT,GEK Terna,FTSEATHEX,Athens Stock Exchange
HTO.AT,Hellenic Telecommunications,FTSEATHEX,Athens Stock Exchange
INLOT.AT,Intralot,FTSEATHEX,Athens Stock Exchange
LAMDA.AT,Lamda Development,FTSEATHEX,Athens Stock Exchange
MOH.AT,Motor Oil Hellas,FTSEATHEX,Athens Stock Exchange
MYTIL.AT,Mytilineos,FTSEATHEX,Athens Stock Exchange
NKAS.AT,Nikos Kazantzakis Airport,FTSEATHEX,Athens Stock Exchange
OPAP.AT,OPAP,FTSEATHEX,Athens Stock Exchange
OTOEL.AT,Autohellas,FTSEATHEX,Athens Stock Exchange
PLATH.AT,Athens Medical Group,FTSEATHEX,Athens Stock Exchange
PPC.AT,Public Power,FTSEATHEX,Athens Stock Exchange
TITC.AT,Titan Cement,FTSEATHEX,Athens Stock Exchange
TPEIR.AT,Piraeus Financial Holdings,FTSEATHEX,Athens Stock Exchange
ACS.MC,ACS,IBEX35,BME Madrid
ACX.MC,Acerinox,IBEX35,BME Madrid
AENA.MC,AENA,IBEX35,BME Madrid
AMS.MC,Amadeus IT Group,IBEX35,BME Madrid
ANA.MC,Acciona,IBEX35,BME Madrid
ANE.MC,Acciona Energía,IBEX35,BME Madrid
BBVA.MC,BBVA,IBEX35,BME Madrid
BKT.MC,Bankinter,IBEX35,BME Madrid
CABK.MC,CaixaBank,IBEX35,BME Madrid
CLNX.MC,Cellnex Telecom,IBEX35,BME Madrid
COL.MC,Inmobiliaria Colonial,IBEX35,BME Madrid
ELE.MC,Endesa,IBEX35,BME Madrid
ENG.MC,Enagás,IBEX35,BME Madrid
FDR.MC,Fluidra,IBEX35,BME Madrid
FER.MC,Ferrovial,IBEX35,BME Madrid
GRF.MC,Grifols,IBEX35,BME Madrid
IAG.MC,International Airlines Group,IBEX35,BME Madrid
IBE.MC,Iberdrola,IBEX35,BME Madrid
IDR.MC,Indra,IBEX35,BME Madrid
ITX.MC,Inditex,IBEX35,BME Madrid
LOG.MC,Logista,IBEX35,BME Madrid
MAP.MC,Mapfre,IBEX35,BME Madrid
MRL.MC,Merlin Properties,IBEX35,BME Madrid
MTS.MC,ArcelorMittal,IBEX35,BME Madrid
NTGY.MC,Naturgy,IBEX35,BME Madrid
PUIG.MC,Puig,IBEX35,BME Madrid
RED.MC,Redeia Corporación,IBEX35,BME Madrid
REP.MC,Repsol,IBEX35,BME Madrid
ROVI.MC,Laboratorios Rovi [es],IBEX35,BME Madrid
SAB.MC,Banco Sabadell,IBEX35,BME Madrid
SAN.MC,Santander,IBEX35,BME Madrid
SCYR.MC,Sacyr,IBEX35,BME Madrid
SLR.MC,Solaria,IBEX35,BME Madrid
TEF.MC,Telefónica,IBEX35,BME Madrid
UNI.MC,Unicaja,IBEX35,BME Madrid
A2A.MI,A2A,FTSEMIB,Borsa Italiana
AMP.MI,Amplifon,FTSEMIB,Borsa Italiana
AVIO.MI,Avio,FTSEMIB,Borsa Italiana
AZM.MI,Azimut,FTSEMIB,Borsa Italiana
BAMI.MI,Banco BPM,FTSEMIB,Borsa Italiana
BC.MI,Brunello Cucinelli,FTSEMIB,Borsa Italiana
BMED.MI,Banca Mediolanum,FTSEMIB,Borsa Italiana
BMPS.MI,Banca Monte dei Paschi di Siena,FTSEMIB,Borsa Italiana
BPE.MI,BPER Banca,FTSEMIB,Borsa Italiana
BZU.MI,Buzzi,FTSEMIB,Borsa Italiana
CPR.MI,Campari,FTSEMIB,Borsa Italiana
DIA.MI,Diasorin,FTSEMIB,Borsa Italiana
ENEL.MI,Enel,FTSEMIB,Borsa Italiana
ENI.MI,Eni,FTSEMIB,Borsa Italiana
FBK.MI,FinecoBank,FTSEMIB,Borsa Italiana
FCT.MI,Fincantieri,FTSEMIB,Borsa Italiana
G.MI,Generali,FTSEMIB,Borsa Italiana
HER.MI,Hera,FTSEMIB,Borsa Italiana
IG.MI,Italgas,FTSEMIB,Borsa Italiana
INW.MI,INWIT,FTSEMIB,Borsa Italiana
ISP.MI,Intesa Sanpaolo,FTSEMIB,Borsa Italiana
IVG.MI,Iveco,FTSEMIB,Borsa Italiana
LDO.MI,Leonardo,FTSEMIB,Borsa Italiana
LTMC.MI,Lottomatica Group,FTSEMIB,Borsa Italiana
MB.MI,Mediobanca,FTSEMIB,Borsa Italiana
MONC.MI,Moncler,FTSEMIB,Borsa Italiana
NEXI.MI,Nexi,FTSEMIB,Borsa Italiana
PRY.MI,Prysmian,FTSEMIB,Borsa Italiana
PST.MI,Poste italiane,FTSEMIB,Borsa Italiana
RACE.MI,Ferrari,FTSEMIB,Borsa Italiana
REC.MI,Recordati,FTSEMIB,Borsa Italiana
SPM.MI,Saipem,FTSEMIB,Borsa Italiana
SRG.MI,Snam,FTSEMIB,Borsa Italiana
STLAM.MI,Stellantis,FTSEMIB,Borsa Italiana
STMMI.MI,STMicroelectronics,FTSEMIB,Borsa Italiana
TEN.MI,Tenaris,FTSEMIB,Borsa Italiana
TIT.MI,Telecom Italia,FTSEMIB,Borsa Italiana
TRN.MI,Terna,FTSEMIB,Borsa Italiana
UCG.MI,UniCredit,FTSEMIB,Borsa Italiana
UNI.MI,Unipol,FTSEMIB,Borsa Italiana
1SXP.F,Schott Pharma AG & CO KGaA,SDAX70,Deutsche Boerse Frankfurt
1U1.F,1&1 AG,SDAX70,Deutsche Boerse Frankfurt
8OT.F,Douglas Elliman Inc.,SDAX70,Deutsche Boerse Frankfurt
8TRA.F,Traton,MDAX50,Deutsche Boerse Frankfurt
AAD.F,Amadeus FiRe AG,SDAX70,Deutsche Boerse Frankfurt
ACT.F,AlzChem Group AG,SDAX70,Deutsche Boerse Frankfurt
ADN1.F,adesso SE,SDAX70,Deutsche Boerse Frankfurt
ADS.F,Adidas,DAX40,Deutsche Boerse Frankfurt
ADV.F,Adtran Networks SE,SDAX70,Deutsche Boerse Frankfurt
AFX.F,Carl Zeiss Meditec,MDAX50,Deutsche Boerse Frankfurt
AIR.F,Airbus,DAX40,Deutsche Boerse Frankfurt
AIXA.F,Aixtron,MDAX50,Deutsche Boerse Frankfurt
ALV.F,Allianz,DAX40,Deutsche Boerse Frankfurt
AOF.F,ATOSS Software AG,SDAX70,Deutsche Boerse Frankfurt
AT1.F,Aroundtown,MDAX50,Deutsche Boerse Frankfurt
BAS.F,BASF,DAX40,Deutsche Boerse Frankfurt
BAYN.F,Bayer,DAX40,Deutsche Boerse Frankfurt
BC8.F,Bechtle,MDAX50,Deutsche Boerse Frankfurt
BEI.F,Beiersdorf,DAX40,Deutsche Boerse Frankfurt
BFSA.F,Befesa,MDAX50,Deutsche Boerse Frankfurt
BMW.F,BMW,DAX40,Deutsche Boerse Frankfurt
BNR.F,Brenntag,DAX40,Deutsche Boerse Frankfurt
BOSS.F,Hugo Boss,MDAX50,Deutsche Boerse Frankfurt
BVB.F,Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,SDAX70,Deutsche Boerse Frankfurt
CBK.F,Commerzbank,DAX40,Deutsche Boerse Frankfurt
COK.F,Cancom SE,SDAX70,Deutsche Boerse Frankfurt
CON.F,Continental,DAX40,Deutsche Boerse Frankfurt
CWC.F,CEWE Stiftung & Co. KGaA,SDAX70,Deutsche Boerse Frankfurt
DB1.F,Deutsche Börse,DAX40,Deutsche Boerse Frankfurt
DBAN.F,Deutsche Beteiligungs AG,SDAX70,Deutsche Boerse Frankfurt
DBK.F,Deutsche Bank,DAX40,Deutsche Boerse Frankfurt
DEQ.F,Deutsche EuroShop AG,SDAX70,Deutsche Boerse Frankfurt
DEZ.F,DEUTZ Aktiengesellschaft,SDAX70,Deutsche Boerse Frankfurt
DHER.F,Delivery Hero,MDAX50,Deutsche Boerse Frankfurt
DHL.F,Deutsche Post,DAX40,Deutsche Boerse Frankfurt
DMP.F,Dermapharm Holding SE,SDAX70,Deutsche Boerse Frankfurt
DTE.F,Deutsche Telekom,DAX40,Deutsche Boerse Frankfurt
DTG.F,Daimler Truck,DAX40,Deutsche Boerse Frankfurt
ECV.F,Encavis,MDAX50,Deutsche Boerse Frankfurt
EKT.F,Energiekontor AG,SDAX70,Deutsche Boerse Frankfurt
ELG.F,Elmos Semiconductor SE,SDAX70,Deutsche Boerse Frankfurt
ENR.F,Siemens Energy,DAX40,Deutsche Boerse Frankfurt
EOAN.F,E.ON,DAX40,Deutsche Boerse Frankfurt
EUZ.F,Eckert & Ziegler Strahlen- und Medizintechnik AG,SDAX70,Deutsche Boerse Frankfurt
EVD.F,CTS Eventim,MDAX50,Deutsche Boerse Frankfurt
EVK.F,Evonik,MDAX50,Deutsche Boerse Frankfurt
EVT.F,Evotec,MDAX50,Deutsche Boerse Frankfurt
F3C.F,SFC Energy AG,SDAX70,Deutsche Boerse Frankfurt
FME.F,Fresenius Medical Care,DAX40,Deutsche Boerse Frankfurt
