market,ticker,fy_end,close,eps,pe,pb,roe,mcap_local,earnings_yield
IN,20MICRONS,2026-03-31 00:00:00,201.63,1.7068849726164412e-06,,,0.13940193491644678,7114817398.26,8.465431595578243e-09
IN,21STCENMGM,2026-03-31 00:00:00,38.6,-2.1000000000000002e-06,,,,405300000.0,
IN,360ONE,2026-03-31 00:00:00,1128.3,1.0054596878273328e-06,,,0.05316870523534572,443505325373.7,8.911279693586217e-10
IN,3BBLACKBIO,2026-03-31 00:00:00,1298.8,5.7464635131025664e-06,,,0.1545984577769419,11147171796.0,4.424440647599759e-09
IN,3IINFOLTD,2026-03-31 00:00:00,21.97,1.2273971889491665e-07,,,,3726710506.74,5.586696353887877e-09
IN,3MINDIA,2026-03-31 00:00:00,35090.0,4.636633416392442e-05,,,0.2954048016288211,395291306300.0,1.3213546356205305e-09
IN,3PLAND,2026-03-31 00:00:00,32.28,1.2111111111111112e-07,,,,581040000.0,3.7518931570976184e-09
IN,5PAISA,2026-03-31 00:00:00,353.0,1.4124575038213506e-06,,,0.0678811003754077,11026427314.0,4.00129604481969e-09
IN,63MOONS,2026-03-31 00:00:00,755.65,3.790484927939444e-06,,,0.05742863343131646,34819246484.049995,5.016191263070792e-09
IN,A1L,2026-03-31 00:00:00,5.71,0.09481956521739131,60.21963913153128,,,2626600000.0,0.01660587832178482
IN,A2ZINFRA,2026-03-31 00:00:00,12.06,-1.5841484496313868e-08,,,,2124005487.48,
IN,AAATECH,2026-03-31 00:00:00,90.47,1.606012411513394e-07,,,,1160440596.0,1.775187809786e-09
IN,AADHARHFC,2026-03-31 00:00:00,497.85,1.896138255080107e-06,,,0.16835544679386685,196528761814.5,3.808653721161207e-09
IN,AAKASH,2026-03-31 00:00:00,8.94,3.45679012345679e-08,,,,905175000.0,3.866655619079183e-09
IN,AAREYDRUGS,2026-03-31 00:00:00,77.52,1.3952195560720641e-07,,,,2205777568.56,1.7998188287823325e-09
IN,AARNAV,2026-03-31 00:00:00,31.3,2.2136135671831008e-07,,,0.04756333299420083,1322069056.4,7.0722478184763594e-09
IN,AARON,2026-03-31 00:00:00,141.84,6.492738301875857e-07,,,0.13986013986013984,1485524219.76,4.577508673065325e-09
IN,AARTECH,2026-03-31 00:00:00,46.0,1.1016552369935828e-07,,,0.09850830284266816,1461437250.0,2.3949026891164845e-09
IN,AARTIDRUGS,2026-03-31 00:00:00,408.3,1.8540593842445492e-06,,,0.12045928572953965,37265541000.0,4.540924281764754e-09
IN,AARTIIND,2026-03-31 00:00:00,476.75,1.1640739952738045e-06,,,0.07066309444072337,172831367092.5,2.441686408544949e-09
IN,AARTIPHARM,2026-03-31 00:00:00,675.65,1.8949306472817384e-06,,,0.1193746611241641,61231462305.2,2.804603932926424e-09
IN,AARTISURF,2026-03-31 00:00:00,379.65,2.627180548057939e-06,,,0.10157354618015964,3218204971.2,6.920006711597364e-09
IN,AARVI,2026-03-31 00:00:00,150.67,7.697137880046183e-07,,,0.09853068280034573,2231528169.0,5.108606809614511e-09
IN,AAVAS,2026-03-31 00:00:00,1376.1,8.272723686266454e-06,,,0.1296576411052419,108933937863.29999,6.01171694372971e-09
IN,ABANSENT,2026-03-31 00:00:00,27.02,-2.2652693491279e-08,,,-0.07110711071107112,1884614737.6,
IN,ABB,2025-12-31 00:00:00,7243.5,20.426280933917784,354.6166834498094,,,1534958314312.5,0.0028199462875568146
IN,ABBOTINDIA,2026-03-31 00:00:00,27905.0,185.85551657179138,150.14351209328237,,,592961772310.0,0.006660294448012592
IN,ABCAPITAL,2026-03-31 00:00:00,391.35,1.1869418104964908e-06,,,0.10833444827240192,1025182844886.9,3.032941894714426e-09
IN,ABCOTS,2026-03-31 00:00:00,200.23,6.037256153584883e-07,,,0.08653657899889056,4397775632.599999,3.0151606420540794e-09
IN,ABDL,2026-03-31 00:00:00,620.3,7.154906580419386e-07,,,0.12714093311648708,173504206665.3,1.1534590650361738e-09
IN,ABFRL,2026-03-31 00:00:00,56.7,-2.880449473960302e-07,,,-0.04409980515235881,69188795638.2,
IN,ABINFRA,2026-03-31 00:00:00,10.08,3.027602087799334e-08,,,0.11424183354007916,6438996748.8,3.0035734998009267e-09
IN,ABLBL,2026-03-31 00:00:00,93.87,,,,,,
IN,ABMINTLLTD,2026-03-31 00:00:00,43.99,-2.2746598639455783e-07,,,-0.2808398950131234,413857920.0,
IN,ABMKNO,2026-03-31 00:00:00,193.62,6.06280193236715e-07,,,0.05105153968189399,4007934000.0,3.1312890880937657e-09
IN,ABREL,2026-03-31 00:00:00,1391.7,3.150435182452893e-06,,,0.07498380525391658,155446877856.0,2.26373153873169e-09
IN,ABSLAMC,2026-03-31 00:00:00,999.2,3.412980781710858e-06,,,0.24540468407280802,288575152042.4,3.4157133523927715e-09
IN,ACC,2026-03-31 00:00:00,1341.8,12.687228952263924,105.75989485557187,,,251972949493.4,0.009455380050874889
IN,ACCURACY,2026-03-31 00:00:00,5.02,2.0988310308182785e-08,,,0.025678530797984725,755811199.9999999,4.180938308402945e-09
IN,ACE,2026-03-31 00:00:00,1077.6,3.5724603830753754e-06,,,0.21258351280987814,128324052009.59999,3.315200800923697e-09
IN,ACEINTEG,2026-03-31 00:00:00,19.2,-9.313725490196077e-08,,,-0.05692031156381067,195840000.0,
IN,ACI,2026-03-31 00:00:00,556.45,1.4982052405391522e-06,,,0.09835385474563199,68681333648.90001,2.6924346132431523e-09
IN,ACL,2026-03-31 00:00:00,48.35,-7.286366574541938e-07,,,-0.831805796383453,4456522969.0,
IN,ACMESOLAR,2026-03-31 00:00:00,355.5,1.3922615611088694e-06,,,0.06287429033471555,37128982401.0,3.916347569926496e-09
IN,ACSTECH,2026-03-31 00:00:00,40.32,1.2149758516141102e-07,,,0.05546786922209695,2449115343.36,3.0133329653127734e-09
IN,ACUTAAS,2026-03-31 00:00:00,3297.7,4.472637370258766e-06,,,0.21947506278508022,269979144079.4,1.3562899506500792e-09
IN,ADANIENSOL,2026-03-31 00:00:00,1649.5,4.7542516642806864e-07,,,0.027304211136247595,1981515717979.0,2.8822380504884425e-10
IN,ADANIENT,2026-03-31 00:00:00,3002.3,8.80189894994286e-06,,,0.18123993393331111,3881020417556.8003,2.9317186656706057e-09
IN,ADANIGREEN,2026-03-31 00:00:00,1377.8,3.666881639626455e-07,,,0.04056413700470114,2269479306359.0,2.6614034254800806e-10
IN,ADANIPORTS,2026-03-31 00:00:00,1774.7,7.781388139903514e-07,,,0.029069305517946988,4088836211220.6,4.384621705022547e-10
IN,ADANIPOWER,2026-03-31 00:00:00,208.25,5.697611586846223e-07,,,0.20725770840560126,4016037672316.25,2.735947940862532e-09
IN,ADFFOODS,2026-03-31 00:00:00,299.65,8.845514294339268e-07,,,0.16340462738767825,32920626241.749996,2.951948704935514e-09
IN,ADL,2026-03-31 00:00:00,70.21,5.389624971929036e-09,,,,390806412.49999994,7.676434940790538e-11
IN,ADOR,2026-03-31 00:00:00,1456.0,4.7578509568710575e-06,,,0.14684235728093353,25338498640.0,3.267754778070781e-09
IN,ADROITINFO,2026-03-31 00:00:00,9.46,-1.3658882334266075e-08,,,,512516312.00000006,
IN,ADSL,2026-03-31 00:00:00,113.57,-1.4354625857044268e-08,,,-0.0017100874044673397,6408505586.71,
IN,ADVAIT,2026-03-31 00:00:00,2277.5,4.230659508947058e-06,,,0.1769952153110048,24892478295.0,1.8575892465190155e-09
IN,ADVANCE,2026-03-31 00:00:00,118.17,1.9977777777777778e-06,,,0.2518207282913165,531765000.0,1.690596410068357e-08
IN,ADVANIHOTR,2026-03-31 00:00:00,51.33,2.5811755924209067e-07,,,,4744868205.0,5.028590672941568e-09
IN,ADVENTHTL,2026-03-31 00:00:00,152.48,0.5320627351665476,286.5827465858332,,,8225211409.759999,0.0034893935936945674
IN,ADVENZYMES,2026-03-31 00:00:00,310.85,1.1776446749125321e-06,,,0.18574468384932993,34792445780.0,3.7884660605196465e-09
IN,AEGISLOG,2026-03-31 00:00:00,1270.4,2.6878320443248017e-06,,,0.2727480329072503,445967568000.00006,2.115736810709069e-09
IN,AEGISVOPAK,2026-03-31 00:00:00,292.46,4.69e-05,,,0.0490437001328049,292460000.0,1.6036381043561514e-07
IN,AEPL,2026-03-31 00:00:00,14.5,3.5293616197459416e-08,,,,3640035050.0,2.4340424963765113e-09
IN,AEQUS,2026-03-31 00:00:00,228.28,,,,,,
IN,AEROENTER,2026-03-31 00:00:00,121.01,9.753725074059336e-08,,,0.03028389434956894,13684415850.0,8.060263675778312e-10
IN,AEROFLEX,2026-03-31 00:00:00,446.3,4.013288857741437e-07,,,0.15178989237248477,57715681131.0,8.992356840110771e-10
IN,AERONEU,2026-03-31 00:00:00,85.43,4.535586912699643e-08,,,0.011605991469100286,2203752280.0,5.309126668265999e-10
IN,AETHER,2026-03-31 00:00:00,1464.7,1.3093723843521788e-06,,,0.07205767602477049,194204925992.7,8.939526076003133e-10
IN,AFCOM,2026-03-31 00:00:00,1349.65,17.13235980103802,78.77782253430301,,,35182805766.4,0.012693927908004311
IN,AFCONS,2026-03-31 00:00:00,280.25,7.882330460948489e-07,,,0.05795612207770399,103071642837.75,2.8126067657264902e-09
IN,AFFLE,2026-03-31 00:00:00,1631.8,9.54165785792289e-07,,,0.06521389788415183,229027973182.4,5.847320663024201e-10
IN,AFFORDABLE,2026-03-31 00:00:00,181.6,6.18872077185441e-07,,,0.05884839773399848,2042321905.6,3.4078858875850276e-09
IN,AFIL,2026-03-31 00:00:00,9.28,7.786761128225999e-07,,,0.08694173360194657,396023962.88,8.390906388174568e-08
IN,AFSL,2026-03-31 00:00:00,201.0,-1.3400882823039548e-07,,,-0.05566139319141886,10079335950.0,
IN,AGARIND,2026-03-31 00:00:00,517.85,2.302479330334182e-06,,,0.08155339805825243,7745891033.650001,4.446228310001317e-09
IN,AGARWALEYE,2026-03-31 00:00:00,493.1,2.5543203064069595e-06,,,0.019418029514101088,4600273885.2,5.180126356534089e-09
IN,AGI,2026-03-31 00:00:00,698.15,5.443960706848396e-06,,,0.14627450817527524,45168476545.15,7.797694917780414e-09
IN,AGIIL,2026-03-31 00:00:00,307.75,7.763949734462277e-07,,,0.20403992599922555,37596955800.0,2.5228106367058577e-09
IN,AGRITECH,2026-03-31 00:00:00,115.15,-1.5824915824915823e-07,,,-0.009468170829975826,683991000.0,
IN,AGROPHOS,2026-03-31 00:00:00,29.44,4.034701391404754e-07,,,0.11594613749114104,596869945.6,1.370482809580419e-08
IN,AHCL,2026-03-31 00:00:00,15.63,-9.166666666666666e-09,,,-0.07096774193548384,187560000.0,
IN,AHLADA,2026-03-31 00:00:00,37.22,1.3930810308799628e-08,,,0.0013114754098360656,480919620.0,3.7428292070928613e-10
IN,AHLEAST,2026-03-31 00:00:00,142.05,1.6013466810890037e-06,,,0.12979281897440706,2456285416.8,1.1273119895029944e-08
IN,AHLUCONT,2026-03-31 00:00:00,832.75,3.9458072513762255e-06,,,0.1283131711295365,55783890590.0,4.738285501502522e-09
IN,AHLWEST,2026-03-31 00:00:00,509.9,-7.338293619289327e-07,,,-0.0851000298596596,5940951979.0,
IN,AIAENG,2026-03-31 00:00:00,4603.0,1.3684043473038095e-05,,,0.16282408623428818,429553663110.0,2.972853242024352e-09
IN,AIIL,2026-03-31 00:00:00,557.7,2.260259495269513e-06,,,0.13190873793079752,473613061350.00006,4.052823193956451e-09
IN,AIRAN,2026-03-31 00:00:00,14.97,8.782594784834427e-08,,,0.07741116751269035,1871549400.0,5.866796783456531e-09
