HSN_Code,HSN_Chapter,Chapter_Name,Commodity,Import_FY24_25_USDmillions,Import_FY25_26_USDmillions,YoY_Growth_Percent,Base_Score,Chapter_Priority,Tier,Substitution_Potential,FY30_Savings_USDmillions,Confidence_Level,Quick_Win,Priority_Chemical
28011000,28,Inorganic Chemicals,CHLORINE,0.02,0.02,18.5,4.5,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28012000,28,Inorganic Chemicals,IODINE,317.64,335.58,5.7,3.96,High,Tier 2.5 (Quick-win),60-75%,201.3,0.8,Yes,No
28013010,28,Inorganic Chemicals,FLUORINE,0.1,0.15,47.4,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28013020,28,Inorganic Chemicals,BROMINE,25.69,29.94,16.6,4.5,High,Tier 3 (Specialty),15-30%,4.5,0.5,No,No
28020010,28,Inorganic Chemicals,SUBLIMED SULPHUR,0.6,0.63,4.5,3.3,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
28020020,28,Inorganic Chemicals,PRECIPITATED SULPHUR,0.07,2.25,3152.8,5.4,High,Tier 3 (Specialty),15-30%,0.3,0.5,No,No
28020030,28,Inorganic Chemicals,COLLOIDAL SULPHUR,0.11,0.07,-39.0,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28030010,28,Inorganic Chemicals,CARBON BLACKS,196.8,164.85,-16.2,3.6,High,Tier 2.5 (Quick-win),60-75%,98.9,0.8,Yes,No
28030020,28,Inorganic Chemicals,ACETYLENE BLACK CARBON,5.02,3.79,-24.4,3.0,High,Tier 3 (Specialty),15-30%,0.6,0.5,No,No
28030090,28,Inorganic Chemicals,OTHER CARBON,6.5,6.26,-3.7,3.0,High,Tier 3 (Specialty),15-30%,0.9,0.5,No,No
28041000,28,Inorganic Chemicals,HYDROGEN,0.53,0.1,-81.8,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28042100,28,Inorganic Chemicals,ARGON  (RARE GASES),6.31,1.02,-83.9,3.0,High,Tier 3 (Specialty),15-30%,0.2,0.5,No,No
28042910,28,Inorganic Chemicals,HELLIUM,52.99,42.82,-19.2,3.0,High,Tier 3 (Specialty),15-30%,6.4,0.5,No,No
28042990,28,Inorganic Chemicals,OTHR RARE GASES OTHER THAN ARGON AND HELLIUM,1.8,1.99,10.8,4.5,High,Tier 3 (Specialty),15-30%,0.3,0.5,No,No
28043000,28,Inorganic Chemicals,NITROGEN,0.84,1.19,42.5,5.4,High,Tier 3 (Specialty),15-30%,0.2,0.5,No,No
28044010,28,Inorganic Chemicals,"OXYGEN,MEDICINAL GRAPE",0.57,0.24,-57.7,3.0,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28044090,28,Inorganic Chemicals,OTHER OXYGEN,0.33,0.42,25.8,5.4,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
28045010,28,Inorganic Chemicals,BORON,0.04,0.17,337.6,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
28045020,28,Inorganic Chemicals,TELLURIUM,0.54,0.52,-2.6,3.0,High,Tier 3 (Specialty),15-30%,0.1,0.5,No,No
28046100,28,Inorganic Chemicals,SILICON CONTNG MORE THAN99.99% BY WT OF   SILICON,0.03,0.04,74.2,5.4,High,Tier 3 (Specialty),15-30%,0.0,0.5,No,No
