Industry,ROIC,WACC,value_spread
Tobacco,0.6307780350577148,0.0693639802170545,0.5614140548406603
Insurance (General),0.4450609958826383,0.06339397763978913,0.3816670182428492
Computers/Peripherals,0.4476035274383902,0.09707073132665844,0.35053279611173177
Household Products,0.34419837512001855,0.07031359655279625,0.2738847785672223
Retail (Building Supply),0.3494656524485739,0.09507487396524136,0.2543907784833326
Healthcare Support Services,0.3119296654846798,0.06826462981764432,0.2436650356670355
Environmental & Waste Services,0.31754796538384716,0.07425419573500486,0.2432937696488423
Beverage (Soft),0.2902563541349132,0.06325671579570011,0.22699963833921308
Business & Consumer Services,0.28297691435712685,0.0723350904186299,0.21064182393849695
Software (System & Application),0.2931842949283384,0.09344048072400105,0.19974381420433737
Advertising,0.2772269074749548,0.07806123736168302,0.1991656701132718
Metals & Mining,0.2704361776786952,0.08197386647097057,0.18846231120772464
Software (Entertainment),0.2701916640773067,0.08444745892589496,0.18574420515141177
Computer Services,0.26348563236851774,0.07832070198141003,0.1851649303871077
Semiconductor Equip,0.28404463068412095,0.09893581330056925,0.1851088173835517
Precious Metals,0.25451637862422194,0.0746615642309349,0.17985481439328704
Telecom. Equipment,0.2547374909112715,0.07721433392584677,0.17752315698542476
Machinery,0.24408325788322105,0.07699565637316959,0.16708760151005148
Semiconductor,0.27226966835133587,0.10550619089928288,0.166763477452053
Engineering/Construction,0.2531760347582192,0.08685545161468271,0.16632058314353648
Hospitals/Healthcare Facilities,0.22163970318779982,0.06187135479202336,0.15976834839577647
Information Services,0.2217430042193927,0.06995815698857832,0.15178484723081437
Retail (Special Lines),0.21539093465658196,0.0801006485684676,0.13529028608811436
Shoe,0.20929696659653424,0.0800507842361955,0.12924618236033875
Insurance (Prop/Cas.),0.18488979223477825,0.057783745996990626,0.12710604623778762
Building Materials,0.20164568716545334,0.07853655745549157,0.12310912970996177
Publishing & Newspapers,0.17632773244458913,0.059470957360467105,0.11685677508412202
Food Wholesalers,0.17837019301943033,0.06532155653709673,0.1130486364823336
Restaurant/Dining,0.18360436293768279,0.07157604548474453,0.11202831745293826
Office Equipment & Services,0.18260160203320722,0.07919785997210449,0.10340374206110273
Food Processing,0.15949707214923414,0.05789381991348973,0.10160325223574442
Electronics (General),0.17911725405258233,0.07854831500880348,0.10056893904377885
Broadcasting,0.14567294791803095,0.05088211935972416,0.0947908285583068
Healthcare Products,0.16980778635574598,0.07544927539941833,0.09435851095632765
Beverage (Alcoholic),0.15744765776572892,0.06483618264591316,0.09261147511981575
Education,0.15944153901851482,0.06753811810806143,0.09190342091045339
Drugs (Pharmaceutical),0.16949548287090127,0.07848751166460263,0.09100797120629864
Retail (Distributors),0.1611399066695283,0.07215667392072084,0.08898323274880746
Apparel,0.15768515602445898,0.07133569923061227,0.08634945679384672
Construction Supplies,0.16706062867511484,0.08289517926725504,0.0841654494078598
Aerospace/Defense,0.16012360749257398,0.07601499077840683,0.08410861671416715
Investments & Asset Management,0.14253207300518655,0.06130173831332419,0.08123033469186236
Packaging & Container,0.14816927195835602,0.06745596737321397,0.08071330458514206
Homebuilding,0.1490812879349228,0.07270658292621202,0.0763747050087108
Diversified,0.14821356557111473,0.07296118587169716,0.07525237969941757
Oil/Gas (Production and Exploration),0.13731095270967508,0.06247619033696484,0.07483476237271025
Total Market (without financials),0.150709519195417,0.07722231810255238,0.07348720109286462
Hotel/Gaming,0.14575119045322596,0.07355342501803572,0.07219776543519024
Transportation (Railroads),0.14236959522310544,0.0726587934475234,0.06971080177558203
Cable TV,0.12062120565621212,0.05198848097183416,0.06863272468437796
Telecom. Services,0.12036566743047672,0.05389249919761376,0.06647316823286295
Electrical Equipment,0.15595603913111394,0.08992520361989993,0.06603083551121401
Oil/Gas Distribution,0.12351055159122301,0.057775581011015355,0.06573497058020766
Retail (General),0.13590825384807578,0.0726607085888313,0.06324754525924449
Transportation,0.1300079849084052,0.06720784508008498,0.06280013982832022
Heathcare Information and Technology,0.13716783348113318,0.08223388617482975,0.054933947306303424
Retail (Automotive),0.12190476293616061,0.06775334495577662,0.05415141798038399
Shipbuilding & Marine,0.11992332943837858,0.06693565788096567,0.05298767155741291
Entertainment,0.12420599801084616,0.07127529087570077,0.05293070713514539
Insurance (Life),0.1076576568830416,0.056021405832597446,0.05163625105044416
Oilfield Svcs/Equip.,0.11937951003115008,0.07043638484807473,0.04894312518307535
Telecom (Wireless),0.10372019614469251,0.0547841167007108,0.048936079443981706
Reinsurance,0.10144338115914428,0.05635389895782815,0.04508948220131613
Furn/Home Furnishings,0.1058742891265975,0.06534852566141613,0.04052576346518137
Chemical (Specialty),0.10949443918503624,0.07245679943533023,0.037037639749706
Paper/Forest Products,0.1041420566237548,0.0692912835074329,0.0348507731163219
Oil/Gas (Integrated),0.0844906040235468,0.05073966589573278,0.03375093812781402
Utility (Water),0.07250660955174709,0.04929215662737624,0.023214452924370854
Total Market,0.08955910414193033,0.06964333829337646,0.019915765848553868
Power,0.06921872420290816,0.050143407587657896,0.019075316615250262
Trucking,0.0929945748076969,0.07521676753085833,0.017777807276838573
Utility (General),0.05994651585116697,0.0435789877327735,0.016367528118393468
Recreation,0.08024512691065157,0.0675772489837691,0.012667877926882468
Real Estate (Development),0.07043355884782262,0.058234228427467324,0.0121993304203553
Air Transport,0.07929312533704834,0.06724495139171459,0.012048173945333751
Auto Parts,0.08975948273328078,0.08178348625932404,0.007975996473956748
Farming/Agriculture,0.07277942934792668,0.07272847417372198,5.095517420469764e-05
Retail (REITs),0.051639531083079775,0.055748965465593825,-0.00410943438251405
Retail (Grocery and Food),0.06763219560214334,0.07238731195941303,-0.00475511635726969
Steel,0.06720259161412713,0.07759414206880617,-0.010391550454679044
Real Estate (General/Diversified),0.05194923071492735,0.06250344665390667,-0.010554215938979317
Chemical (Diversified),0.040542644509719825,0.05228720198169101,-0.011744557471971187
Rubber& Tires,0.03168147259457092,0.04479472762848332,-0.013113255033912398
Real Estate (Operations & Services),0.059426974075348735,0.07408434049119778,-0.01465736641584904
R.E.I.T.,0.03203080280639824,0.05317666020925715,-0.02114585740285891
Green & Renewable Energy,0.036367416094179386,0.06041822528094039,-0.024050809186761002
Chemical (Basic),0.037245953068641535,0.062238337279932075,-0.02499238421129054
Drugs (Biotechnology),0.03525374326558564,0.08494335246520258,-0.049689609199616944
Auto & Truck,0.022474128513756082,0.0938009413632943,-0.07132681284953821
Software (Internet),0.034347801967415575,0.10658673852546652,-0.07223893655805094
Coal & Related Energy,-0.04759627013362316,0.0840941403647961,-0.13169041049841926
Electronics (Consumer & Office),-0.0834551474050309,0.07631357052138382,-0.15976871792641473
