combo,n,n_years,mean,edge,t,years_positive,testable
ALL (baseline),56468,17.0,-6.135385007768447,0.0,-3.857979662311334,4.0,True
piotroski,1314,16.0,-0.5764097920816607,5.558975215686786,-0.15071785173381808,7.0,True
roce_plus,607,16.0,-2.349045246027459,3.7863397617409875,-0.805269898539264,6.0,True
piotroski + roce_plus,186,13.0,0.6529682157918258,6.788353223560272,0.1371748924268577,7.0,True
debt_reduction,1219,16.0,0.6063675184294195,6.741752526197866,0.15775648278531096,7.0,True
piotroski + debt_reduction,228,15.0,7.297640494330959,13.433025502099404,1.100153533311683,9.0,True
roce_plus + debt_reduction,59,13.0,7.0915923484805825,13.22697735624903,1.5186964641880545,7.0,True
piotroski + roce_plus + debt_reduction,27,,,,,,False
not_distress (control),6428,10.0,-8.23678382363263,-2.101398815864183,-2.4173861166103703,2.0,True
low_asset_growth (control),11649,17.0,-4.807589125450766,1.3277958823176803,-2.2364043420644344,6.0,True
