market,symbol,trades,hit,revenue_gross_gains,gross_trading_profit,txn_costs,income_tax,net_income,capital_deployed,operating_income_ebit,geography
US,VEEE,2,1.0,45464.64351670891,45464.64351670891,20.0,5020.641269469385,40424.00224723952,20000.0,45444.64351670891,United States
US,WTO,4,1.0,41885.064626688065,41885.064626688065,40.0,4622.966363706186,37222.09826298189,40000.0,41845.064626688065,United States
US,DD,2,1.0,19837.634111585106,19837.634111585106,20.0,2189.4160451998196,17628.218066385285,20000.0,19817.634111585106,United States
US,CCXIU,4,1.0,19828.896087438574,19828.896087438574,40.0,2186.241120745191,17602.654966693386,40000.0,19788.896087438574,United States
US,CCXI,4,1.0,19449.462420379175,19449.46242037917,40.0,2144.321981756586,17265.140438622588,40000.0,19409.46242037917,United States
US,BLZE,4,1.0,16918.17864406919,16918.17864406919,40.0,1864.6703702876225,15013.508273781566,40000.0,16878.17864406919,United States
US,RGNX,4,1.0,16225.128314307454,16225.128314307452,40.0,1788.1034348215803,14397.024879485873,40000.0,16185.128314307452,United States
US,ARL,5,1.0,15425.564892021848,15425.564892021848,50.0,1698.6643455549752,13676.900546466873,50000.0,15375.564892021848,United States
US,FCEL,4,1.0,14724.29644993411,14724.296449934109,40.0,1622.2942697868277,13062.002180147283,40000.0,14684.296449934109,United States
US,NVCT,5,0.6,19463.93347251509,14405.632970473333,50.0,2147.0254989316245,12208.607471541707,50000.0,14355.632970473333,United States
US,DAVE,5,1.0,13699.296416246361,13699.296416246361,50.0,1507.949355162856,12141.347061083505,50000.0,13649.296416246361,United States
US,MBX,5,1.0,13486.238247817062,13486.238247817062,50.0,1484.4110775918064,11951.827170225255,50000.0,13436.238247817062,United States
US,SLS,3,1.0,13283.412189183804,13283.412189183806,30.0,1464.2127883309154,11789.19940085289,30000.0,13253.412189183806,United States
US,RTB,4,1.0,13042.335657589972,13042.335657589972,40.0,1436.4743113891445,11565.861346200829,40000.0,13002.335657589972,United States
US,INNV,5,1.0,12724.63186421866,12724.631864218658,50.0,1400.2701944274445,11274.361669791213,50000.0,12674.631864218658,United States
US,MLKN,5,1.0,12597.164216064333,12597.164216064335,50.0,1386.1878013152507,11160.976414749082,50000.0,12547.164216064335,United States
US,STFS,3,1.0,12365.169340195538,12365.169340195538,30.0,1362.7669943655476,10972.40234582999,30000.0,12335.169340195538,United States
US,SLN,4,1.0,11826.525944683872,11826.52594468387,40.0,1302.1538734217138,10484.372071262156,40000.0,11786.52594468387,United States
US,SNSE,1,1.0,11492.122830451915,11492.122830451915,10.0,1268.523972962575,10213.59885748934,10000.0,11482.122830451915,United States
US,BWIN,5,1.0,11481.181633154267,11481.181633154267,50.0,1262.8960824637813,10168.285550690485,50000.0,11431.181633154267,United States
US,TRAX,1,1.0,11386.681931297007,11386.681931297007,10.0,1256.8750548762787,10119.80687642073,10000.0,11376.681931297007,United States
US,ABVX,2,1.0,11338.04345181464,11338.04345181464,20.0,1250.3967826909138,10067.646669123726,20000.0,11318.04345181464,United States
US,PTRN,4,1.0,11220.156224878363,11220.156224878361,40.0,1235.163253532864,9944.992971345499,40000.0,11180.156224878361,United States
US,COAG,3,1.0,10808.949738293602,10808.949738293602,30.0,1190.8386931831797,9588.111045110423,30000.0,10778.949738293602,United States
US,MKDW,5,1.0,10436.400959842236,10436.400959842236,50.0,1147.4706206258916,9238.930339216344,50000.0,10386.400959842236,United States
US,TECH,5,1.0,10178.6370608213,10178.6370608213,50.0,1118.9933355366593,9009.64372528464,50000.0,10128.6370608213,United States
US,EML,5,1.0,10117.956689336417,10117.956689336417,50.0,1112.2894788497492,8955.667210486668,50000.0,10067.956689336417,United States
US,BDSX,4,1.0,9991.556126192092,9991.556126192092,40.0,1099.4297570896476,8852.126369102443,40000.0,9951.556126192092,United States
US,BSET,4,1.0,9841.59895811639,9841.59895811639,40.0,1082.8627628647548,8718.736195251635,40000.0,9801.59895811639,United States
US,ERAS,4,1.0,9816.751772306445,9816.751772306447,40.0,1080.117691127935,8696.634081178512,40000.0,9776.751772306447,United States
US,MAX,4,1.0,9658.13422750583,9658.13422750583,40.0,1062.5939142895254,8555.540313216305,40000.0,9618.13422750583,United States
US,LFST,5,1.0,9563.33245028727,9563.33245028727,50.0,1051.0156052282214,8462.316845059047,50000.0,9513.33245028727,United States
US,SLDB,5,1.0,9329.301187658679,9329.30118765868,50.0,1025.1602584904456,8254.140929168236,50000.0,9279.30118765868,United States
US,VOR,3,1.0,9301.768450680482,9301.768450680482,30.0,1024.3280554579605,8247.44039522252,30000.0,9271.768450680482,United States
US,PESI,4,1.0,9282.346589944418,9282.346589944418,40.0,1021.0775819850694,8221.269007959349,40000.0,9242.346589944418,United States
US,KYMR,5,0.8,8711.811261240591,8565.838578450834,50.0,958.0458802196562,7557.792698231177,50000.0,8515.838578450834,United States
US,FOA,3,1.0,8474.651993670344,8474.651993670344,30.0,932.9497389530558,7511.702254717287,30000.0,8444.651993670344,United States
US,BRBR,4,1.0,8369.77651171368,8369.77651171368,40.0,920.2585053789657,7409.518006334714,40000.0,8329.77651171368,United States
US,COMP,4,1.0,8367.525858459128,8367.525858459128,40.0,920.0098573153294,7407.516001143798,40000.0,8327.525858459128,United States
US,DMRA,3,1.0,8212.434578008064,8212.434578008064,30.0,903.9804374739142,7278.45414053415,30000.0,8182.434578008064,United States
US,EIKN,3,1.0,8201.270437171135,8201.270437171135,30.0,902.7470435712106,7268.523393599925,30000.0,8171.270437171135,United States
US,PANW,4,1.0,8080.576371387153,8080.576371387153,40.0,888.3082017281988,7152.268169658954,40000.0,8040.576371387153,United States
US,ABSI,3,1.0,8024.94745709331,8024.94745709331,30.0,883.2672025596055,7111.680254533704,30000.0,7994.94745709331,United States
US,MEI,4,0.75,9683.647282693884,8194.758224262894,40.0,1066.5173318077314,7088.240892455162,40000.0,8154.758224262894,United States
US,AVAV,3,1.0,7974.388068281577,7974.388068281577,30.0,877.681493565453,7066.706574716124,30000.0,7944.388068281577,United States
US,PBF,4,1.0,7933.307688033521,7933.307688033522,40.0,872.0382263883371,7021.2694616451845,40000.0,7893.307688033522,United States
US,PRCH,4,1.0,7856.232833573023,7856.232833573023,40.0,863.5231371457413,6952.709696427281,40000.0,7816.232833573023,United States
US,RARE,5,1.0,7768.757944055044,7768.757944055045,50.0,852.7542892644506,6866.003654790595,50000.0,7718.757944055045,United States
US,MNPR,4,1.0,7628.792824692674,7628.792824692674,40.0,838.3959800916143,6750.39684460106,40000.0,7588.792824692674,United States
US,FORR,3,1.0,7573.640317120448,7573.640317120449,30.0,833.4076134680804,6710.232703652368,30000.0,7543.640317120449,United States
US,HNI,5,1.0,7569.270049132913,7569.270049132912,50.0,830.7152307418023,6688.55481839111,50000.0,7519.270049132912,United States
US,WAY,3,1.0,7474.2877533925475,7474.2877533925475,30.0,822.4313235672369,6621.856429825311,30000.0,7444.2877533925475,United States
US,HNGE,4,1.0,7348.365636107663,7348.365636107663,40.0,807.4148961367248,6500.950739970938,40000.0,7308.365636107663,United States
US,SEZL,4,1.0,7333.3366593311075,7333.336659331107,40.0,805.7545222135686,6487.582137117538,40000.0,7293.336659331107,United States
US,FBIN,4,1.0,7304.298502644881,7304.298502644881,40.0,802.546439663761,6461.752062981121,40000.0,7264.298502644881,United States
US,NP,5,1.0,7218.990585740461,7218.990585740461,50.0,792.0169949616245,6376.973590778836,50000.0,7168.990585740461,United States
US,CVLT,5,1.0,7207.861788264581,7207.861788264582,50.0,790.7875057289403,6367.074282535642,50000.0,7157.861788264582,United States
US,AXON,2,1.0,7044.70131077201,7044.70131077201,20.0,776.076179222096,6248.625131549914,20000.0,7024.70131077201,United States
US,RIGL,5,1.0,6992.096834188981,6992.096834188981,50.0,766.9501874201537,6175.146646768828,50000.0,6942.096834188981,United States
US,ENVA,5,1.0,6926.767457457834,6926.767457457834,50.0,759.7327171190715,6117.034740338762,50000.0,6876.767457457834,United States
