market,sector,n,R2_pb_roe,spearman,median_pe,median_roe,regime
CN,Utilities,24,0.9,-0.14,21.3,5.5,🟢 FUNDAMENTALS
CN,Communication Services,27,0.84,0.0,70.7,-0.5,🟢 FUNDAMENTALS
CN,Energy,15,0.81,-0.09,27.1,3.2,🟢 FUNDAMENTALS
CN,Consumer Defensive,61,0.4,0.03,29.7,2.5,🟢 FUNDAMENTALS
CN,Basic Materials,169,0.38,0.13,43.2,3.3,🟢 FUNDAMENTALS
US,Utilities,66,0.32,0.21,22.4,8.6,🟢 FUNDAMENTALS
EU,Energy,12,0.29,-0.64,78.0,5.3,🟡 mixed
JP,Communication Services,24,0.23,0.45,12.9,8.8,🟡 mixed
US,Consumer Cyclical,300,0.19,0.49,20.9,8.5,🟡 mixed
JP,Industrials,307,0.17,0.7,13.0,8.7,🟡 mixed
CN,Technology,131,0.15,0.2,82.8,2.8,🟡 mixed
CN,Consumer Cyclical,133,0.15,-0.11,28.8,4.2,🟡 mixed
US,Consumer Defensive,124,0.14,0.55,20.6,8.8,🟡 mixed
JP,Financial Services,103,0.12,0.51,16.2,5.7,🟡 mixed
JP,Consumer Defensive,103,0.12,0.29,14.3,7.9,🟡 mixed
CN,Financial Services,13,0.1,-0.13,15.5,6.1,🟡 mixed
US,Financial Services,592,0.09,0.51,13.7,9.4,🔴 SPECULATION
EU,Utilities,17,0.08,0.31,18.1,11.2,🔴 SPECULATION
US,Energy,124,0.08,0.48,17.0,8.0,🔴 SPECULATION
JP,Technology,205,0.08,0.46,16.0,7.3,🔴 SPECULATION
KR,Technology,321,0.07,-0.11,15.7,1.1,🔴 SPECULATION
EU,Technology,19,0.05,0.14,23.9,13.6,🔴 SPECULATION
EU,Basic Materials,25,0.05,0.27,28.0,6.1,🔴 SPECULATION
KR,Consumer Cyclical,129,0.05,0.04,8.8,1.9,🔴 SPECULATION
US,Technology,440,0.04,0.31,32.4,1.9,🔴 SPECULATION
EU,Healthcare,24,0.04,0.73,21.7,9.5,🔴 SPECULATION
KR,Healthcare,198,0.03,-0.23,15.6,-10.3,🔴 SPECULATION
EU,Consumer Cyclical,34,0.03,-0.16,23.8,9.2,🔴 SPECULATION
EU,Real Estate,21,0.03,0.04,13.6,7.2,🔴 SPECULATION
EU,Consumer Defensive,18,0.02,0.49,19.5,10.6,🔴 SPECULATION
US,Communication Services,125,0.02,0.23,27.9,-3.9,🔴 SPECULATION
EU,Industrials,53,0.02,0.37,27.0,14.5,🔴 SPECULATION
JP,Basic Materials,36,0.02,0.4,10.1,6.7,🔴 SPECULATION
KR,Industrials,200,0.01,0.1,14.1,3.1,🔴 SPECULATION
KR,Communication Services,74,0.01,-0.12,11.1,0.7,🔴 SPECULATION
US,Industrials,411,0.01,0.48,28.3,7.4,🔴 SPECULATION
CN,Industrials,216,0.01,-0.11,33.0,5.1,🔴 SPECULATION
JP,Healthcare,36,0.01,0.38,15.5,6.9,🔴 SPECULATION
US,Healthcare,636,0.0,0.14,24.6,-34.4,🔴 SPECULATION
US,Real Estate,211,0.0,0.37,25.3,4.8,🔴 SPECULATION
EU,Financial Services,58,0.0,0.11,13.7,10.7,🔴 SPECULATION
KR,Consumer Defensive,69,0.0,0.14,11.0,4.3,🔴 SPECULATION
CN,Real Estate,19,0.0,-0.06,90.2,0.2,🔴 SPECULATION
US,Basic Materials,127,0.0,0.35,26.2,2.0,🔴 SPECULATION
KR,Real Estate,26,0.0,-0.01,52.2,1.4,🔴 SPECULATION
KR,Financial Services,75,0.0,-0.13,55.3,1.8,🔴 SPECULATION
KR,Basic Materials,85,0.0,0.24,14.0,2.4,🔴 SPECULATION
JP,Consumer Cyclical,259,0.0,0.47,14.1,6.7,🔴 SPECULATION
CN,Healthcare,58,0.0,0.38,24.2,5.4,🔴 SPECULATION
