market,symbol,status,stock_state,kalman_drift_ann_pct,markov_e21d_pct,verdict
US,JCI,held,bear,-3.2,0.99,"WEAK (stock bear-state, drift<0)"
US,TXN,held,bear,-16.7,2.76,"WEAK (stock bear-state, drift<0)"
US,TSM,held,bear,-19.2,1.5,"WEAK (stock bear-state, drift<0)"
US,GLNG,held,bear,-20.8,4.41,"WEAK (stock bear-state, drift<0)"
US,EMR,held,bear,-28.0,0.44,"WEAK (stock bear-state, drift<0)"
US,GOOG,held,bear,-28.8,2.71,"WEAK (stock bear-state, drift<0)"
US,FDX,held,bear,-29.2,0.55,"WEAK (stock bear-state, drift<0)"
US,TSLA,held,bear,-33.6,0.68,"WEAK (stock bear-state, drift<0)"
US,DIS,held,bear,-34.8,-0.66,"WEAK (stock bear-state, drift<0)"
US,COST,held,bear,-51.5,1.38,"WEAK (stock bear-state, drift<0)"
US,MLAB,held,bear,-54.3,1.37,"WEAK (stock bear-state, drift<0)"
US,WMT,held,bear,-54.5,2.56,"WEAK (stock bear-state, drift<0)"
US,CME,held,bear,-59.0,1.71,"WEAK (stock bear-state, drift<0)"
US,SAP,held,bear,-61.0,0.13,"WEAK (stock bear-state, drift<0)"
US,KR,held,bear,-64.0,0.66,"WEAK (stock bear-state, drift<0)"
US,IBM,held,bear,-76.6,1.29,"WEAK (stock bear-state, drift<0)"
US,FLS,held,bear,-79.2,0.55,"WEAK (stock bear-state, drift<0)"
US,TTE,held,bear,-81.9,1.42,"WEAK (stock bear-state, drift<0)"
US,VZ,held,bear,-86.5,1.28,"WEAK (stock bear-state, drift<0)"
US,BKR,held,bear,-91.3,-0.98,"WEAK (stock bear-state, drift<0)"
US,NTGR,held,bear,-93.0,-0.3,"WEAK (stock bear-state, drift<0)"
US,T,held,bear,-94.4,0.42,"WEAK (stock bear-state, drift<0)"
US,GLW,held,bear,-98.1,1.03,"WEAK (stock bear-state, drift<0)"
US,LYB,held,bear,-117.9,0.69,"WEAK (stock bear-state, drift<0)"
US,RIO,held,bear,-124.7,1.84,"WEAK (stock bear-state, drift<0)"
US,GFI,held,bear,-141.9,3.51,"WEAK (stock bear-state, drift<0)"
US,MARA,held,bear,-151.3,-8.87,"WEAK (stock bear-state, drift<0)"
US,INTC,held,bear,-151.7,2.33,"WEAK (stock bear-state, drift<0)"
US,WIT,held,bear,-157.3,-1.67,"WEAK (stock bear-state, drift<0)"
US,FSLR,held,bear,-174.5,-0.6,"WEAK (stock bear-state, drift<0)"
US,RKLB,held,bear,-395.5,-3.61,"WEAK (stock bear-state, drift<0)"
