market,symbol,evict_date,rsi_at_evict,drift_at_evict,outcome,days,exit_ret_pct
IN,ICICIBANK,2016-05-26,,0.0,PEAD_Q5,63,2.41
IN,TATAPOWER,2016-05-26,,0.0,PEAD_Q5,63,2.72
IN,OMAXE,2016-05-26,,0.0,PEAD_Q5,63,3.59
IN,MANAPPURAM,2016-05-26,,0.0,PEAD_Q5,63,56.05
IN,ASHOKA,2016-05-26,,0.0,PEAD_Q5,63,10.55
IN,FEDERALBNK,2016-05-26,,0.0,PEAD_Q5,63,26.64
IN,UCOBANK,2016-05-26,,0.0,PEAD_Q5,63,19.94
IN,TECHM,2016-05-27,,0.0,PEAD_Q5,63,-14.17
IN,KEC,2016-05-27,,0.0,PEAD_Q5,63,-2.14
IN,ASHOKLEY,2016-05-27,,0.0,PEAD_Q5,63,-17.88
IN,SRF,2016-05-27,,0.0,PEAD_Q5,63,32.85
IN,JAICORPLTD,2016-05-27,,0.0,PEAD_Q5,63,3.75
IN,KSL,2016-05-30,,0.0,PEAD_Q5,63,109.29
IN,INDIACEM,2016-05-30,,0.0,PEAD_Q5,63,55.2
IN,BYKE,2016-05-30,,0.0,PEAD_Q5,63,-8.5
IN,KRBL,2016-05-30,,0.0,PEAD_Q5,63,-3.37
IN,BLISSGVS,2016-05-30,,0.0,PEAD_Q5,63,59.44
IN,EQUITAS,2016-05-30,,0.0,PEAD_Q5,63,11.22
IN,BAJAJHLDNG,2016-05-30,,0.0,PEAD_Q5,63,18.06
IN,BAJAJ-AUTO,2016-05-30,,0.0,PEAD_Q5,63,10.77
IN,BANKINDIA,2016-05-30,,0.0,PEAD_Q5,63,28.95
IN,GLAXO,2016-05-30,,0.0,PEAD_Q5,63,-16.6
IN,PRICOL,2016-05-31,,0.0,PEAD_Q5,63,106.48
IN,TNPL,2016-05-31,,0.0,PEAD_Q5,63,13.51
IN,EROSMEDIA,2016-05-31,,0.0,PEAD_Q5,63,9.32
IN,BPCL,2016-05-31,,0.0,PEAD_Q5,63,24.07
IN,JSWENERGY,2016-05-31,,0.0,PEAD_Q5,63,9.56
IN,NATCOPHARM,2016-05-31,,0.0,PEAD_Q5,63,42.1
IN,CONCOR,2016-05-31,,0.0,PEAD_Q5,63,-4.59
IN,NTPC,2016-06-01,,0.0,PEAD_Q5,63,10.13
IN,TANLA,2016-06-01,,0.0,PEAD_Q5,63,-6.44
IN,CANBK,2016-06-01,,0.0,PEAD_Q5,63,42.05
IN,HINDALCO,2016-06-01,,0.0,PEAD_Q5,63,54.46
IN,MUTHOOTFIN,2016-06-01,,0.0,PEAD_Q5,63,53.74
IN,BAJAJHIND,2016-06-01,,0.0,PEAD_Q5,63,-8.83
IN,BATAINDIA,2016-06-01,,0.0,PEAD_Q5,63,-6.23
IN,SBIN,2016-06-01,,0.0,PEAD_Q5,63,27.36
IN,FIEMIND,2016-06-01,,0.0,PEAD_Q5,63,30.47
IN,RECLTD,2016-06-01,,0.0,PEAD_Q5,63,44.45
IN,FINCABLES,2016-06-01,,0.0,PEAD_Q5,63,27.61
IN,COALINDIA,2016-06-01,,0.0,PEAD_Q5,63,12.21
IN,MPHASIS,2016-06-01,,0.0,PEAD_Q5,63,5.67
IN,MERCATOR,2016-06-01,,0.0,PEAD_Q5,63,84.03
IN,NATIONALUM,2016-06-01,,0.0,PEAD_Q5,63,12.28
IN,KOPRAN,2016-06-02,,0.0,PEAD_Q5,63,-9.12
IN,AUROPHARMA,2016-06-02,,0.0,PEAD_Q5,63,-1.96
IN,MONSANTO,2016-06-03,,0.0,PEAD_Q5,63,-5.24
IN,ANANTRAJ,2016-06-06,,0.0,PEAD_Q5,63,16.43
IN,ABGSHIP,2016-06-06,,0.0,PEAD_Q5,63,-1.56
