f_score,f_tested,plus_score,plus_tested,total,roce,roce_ex_cash,roce_cv,years,1_roa_positive,2_cfo_positive,3_roa_improving,4_accruals_cfo_gt_roa,5_leverage_falling,6_current_ratio_rising,7_no_dilution,8_gross_margin_rising,9_asset_turnover_rising,10_roce_level,11_roce_stable,12_roce_not_deteriorating,Symbol,verdict,fs
6,9,1,3,7,0.08993784539668614,0.10827448344235456,0.033643955293053134,4,True,True,True,True,False,False,True,True,False,False,True,False,RELIANCE,MIXED,6.0
7,8,2,3,9,0.3710574381009578,5.668375453995157,0.4227299120760043,4,True,True,True,True,,False,True,True,True,True,False,True,BSE,GOOD,7.875
6,8,3,3,9,0.41655992680695336,0.6342992477013095,0.0548983982272455,4,True,True,True,True,,False,True,False,True,True,True,True,INFY,QUALITY_NOT_IMPROVING,6.75
8,9,3,3,11,0.16686345595172622,0.19244386202743216,0.27895293201455035,4,True,True,False,True,True,True,True,True,True,True,True,True,BHARTIARTL,STRONG,8.0
7,8,2,3,9,0.390379344661259,5.465298205915629,0.7069490362747881,4,True,True,True,True,,False,True,True,True,True,False,True,MCX,GOOD,7.875
5,8,2,3,7,0.5492762930395693,0.833039895111444,0.053274023991277814,4,True,True,False,True,,False,True,True,False,True,True,False,TCS,MIXED,5.625
6,9,3,3,9,0.1455308512591897,0.23736581187107003,0.08615314860209604,4,True,True,False,True,True,True,True,False,False,True,True,True,LT,QUALITY_NOT_IMPROVING,6.0
6,9,3,3,9,0.17137685718606813,0.229957433537882,0.07049606874858291,4,True,True,True,False,True,False,True,False,True,True,True,True,M&M,QUALITY_NOT_IMPROVING,6.0
5,9,3,3,8,0.15296689114349402,0.20045400697897156,0.26988198653317774,4,True,True,True,True,False,False,True,False,False,True,True,True,MTARTECH,QUALITY_NOT_IMPROVING,5.0
4,9,1,3,5,0.15131661540457284,0.15434339953571488,0.3133399378437717,4,True,True,False,True,False,False,True,False,False,True,False,False,ADANIPOWER,MIXED,4.0
4,8,1,2,5,0.02871891398585444,0.040420663910408224,,4,True,True,False,True,,False,False,False,True,False,,True,ETERNAL,MIXED,4.5
3,9,3,3,6,0.20975548826807727,0.22245866487580757,0.16287821146713277,4,True,True,False,False,False,False,False,True,False,True,True,True,HSCL,MIXED,3.0
8,9,3,3,11,0.2129190231640989,0.2577953850795608,0.2589182962938169,4,True,True,True,True,True,True,True,False,True,True,True,True,VEDL,STRONG,8.0
6,9,2,3,8,0.36882769876734955,0.3892415613279622,2.6087289230208355,4,True,True,True,False,True,False,False,True,True,True,False,True,IDEA,MIXED,6.0
5,9,3,3,8,0.13527718701945113,0.15106084742982212,0.20133096120045862,4,True,False,True,False,True,True,False,True,False,True,True,True,APOLLO,QUALITY_NOT_IMPROVING,5.0
4,9,2,3,6,0.3926729482111706,2.111462041197409,0.3601469829305607,4,True,True,False,False,True,False,True,False,False,True,False,True,NETWEB,MIXED,4.0
7,9,3,3,10,0.3416231520805774,0.5549264129320224,0.23753542080577877,4,True,True,True,True,False,True,True,False,True,True,True,True,DIXON,STRONG,7.0
6,9,3,3,9,0.12175342087227471,0.15616132364290927,0.1981064062202704,4,True,False,True,False,True,True,False,True,True,True,True,True,HFCL,QUALITY_NOT_IMPROVING,6.0
6,8,2,3,8,0.1722158561149031,0.20364210194098153,0.1365148450639988,4,True,True,False,True,,True,True,False,True,True,True,False,MARUTI,MIXED,6.75
4,9,2,3,6,0.09826709116124725,0.10337291653118509,0.18565044864542898,4,True,True,False,False,True,True,False,False,False,False,True,True,ADANIENT,MIXED,4.0
7,9,1,3,8,0.11322379211111946,0.12033303317365213,0.3925118083199062,4,True,True,True,True,True,False,True,True,False,False,False,True,TATASTEEL,IMPROVING_WEAK_BUSINESS,7.0
3,9,1,3,4,0.09422965505910431,0.10450802967310671,0.11831362349450755,4,True,True,False,False,False,False,True,False,False,False,True,False,HINDALCO,AVOID,3.0
7,8,1,3,8,0.06595519083171028,0.08761692109621502,0.33251676935655355,4,True,True,True,True,,True,True,False,True,False,False,True,BHEL,IMPROVING_WEAK_BUSINESS,7.875
7,9,3,3,10,0.318844977227026,0.4871168944196982,0.0888057521681441,4,True,True,True,False,False,True,True,True,True,True,True,True,BEL,STRONG,7.0
7,9,1,3,8,0.26997598753036667,0.3206184524014671,0.8695100901162467,4,True,True,True,False,True,True,True,False,True,True,False,False,SUZLON,IMPROVING_WEAK_BUSINESS,7.0
6,8,3,3,9,0.24923614550143428,2.806666806961426,0.27304005474293586,4,True,True,True,True,,False,True,True,False,True,True,True,POWERINDIA,QUALITY_NOT_IMPROVING,6.75
4,9,3,3,7,0.36467829434391574,0.524459687464212,0.030962138967467422,4,True,True,False,False,False,False,True,True,False,True,True,True,ITC,QUALITY_NOT_IMPROVING,4.0
5,9,1,3,6,0.06346425543938966,0.0656220782689996,0.15768013107309287,4,True,True,False,True,False,True,False,True,False,False,True,False,ADANIGREEN,MIXED,5.0
4,8,0,3,4,0.040215448306629105,0.09099327905022307,0.5887961167310702,4,False,True,False,True,,True,True,False,False,False,False,False,INDIGO,MIXED,4.5
5,9,3,3,8,0.17940134057262047,0.2950989390955471,0.07106537608339038,4,True,True,False,True,False,False,True,True,False,True,True,True,SUNPHARMA,QUALITY_NOT_IMPROVING,5.0
6,9,2,3,8,0.08432426257910722,0.09015315871898393,0.13012247098627405,4,True,True,True,True,True,False,True,False,False,False,True,True,ADANIENSOL,MIXED,6.0
7,9,2,3,9,0.187424188369604,0.20803880803880803,0.22726646615899554,4,True,True,True,True,False,False,True,True,True,True,True,False,COFORGE,GOOD,7.0
5,9,3,3,8,0.17847012391366396,0.3838464876536023,0.028915117465550304,4,True,True,False,True,True,False,True,False,False,True,True,True,WIPRO,QUALITY_NOT_IMPROVING,5.0
7,9,3,3,10,0.2035297800735697,0.2665031842471269,0.16512721744908315,4,True,True,True,False,False,True,True,True,True,True,True,True,DATAPATTNS,STRONG,7.0
5,9,1,3,6,0.10969888662878187,0.11464125319386495,0.19487103482535326,4,True,True,False,True,False,True,False,True,False,False,True,False,ADANIPORTS,MIXED,5.0
