market,symbol,name,filter,direction,pe,roe,valuation_z,mom12m,entry_price,entry_date
IN,JAYBARMARU,JAY BHARAT MARUTI LTD,trend+value/quality,LONG,21.9,,-0.61,1.022,152.95,2026-07-31
IN,UNIPARTS,UNIPARTS INDIA LIMITED,trend+value/quality,LONG,60.8,,-0.53,0.924,738.2,2026-07-31
IN,IMFA,INDIAN METALS & FERRO,trend+value/quality,LONG,70.3,,-0.71,0.815,1382.7,2026-07-31
IN,SEAMECLTD,SEAMEC LIMITED,trend+value/quality,LONG,35.4,,-0.66,0.636,1427.6,2026-07-31
IN,SANGHVIMOV,SANGHVI MOVERS LTD,trend+value/quality,LONG,54.9,,-0.55,0.628,433.95,2026-07-31
IN,AVL,ADITYA VISION LIMITED,trend+value/quality,LONG,,0.17,2.92,0.624,625.35,2026-07-31
IN,SATIN,SATIN CREDIT NET LTD,trend+value/quality,LONG,17.6,,-0.93,0.615,257.42,2026-07-31
IN,GAEL,GUJARAT AMBUJA EXPORTS LT,trend+value/quality,LONG,53.0,,-0.45,0.569,172.59,2026-07-31
IN,SPORTKING,SPORTKING INDIA LIMITED,trend+value/quality,LONG,83.4,,-0.34,0.519,196.36,2026-07-31
IN,INDNIPPON,INDIA NIPPON ELECT  LTD,trend+value/quality,LONG,66.1,,-0.41,0.489,1160.6,2026-07-31
IN,CONFIPET,CONFIDENCE PETRO IND LTD.,trend+value/quality,LONG,82.1,,-0.32,0.444,78.27,2026-07-31
IN,TALBROAUTO,TALBROS AUTO. COMP. LTD,trend+value/quality,LONG,77.0,,-0.45,0.384,399.05,2026-07-31
US,CHTR,Chatterbox Technologies Limite,cheap-vs-market,LONG,3.3,0.311,-1.48,,,2026-07-31
US,NXTT,Next Technology Holding Inc.,cheap-vs-market,LONG,0.0,0.314,-1.41,,,2026-07-31
US,AFGC,AMERICAN FINANCIAL GROUP INC,cheap-vs-market,LONG,1.7,0.175,-1.19,,,2026-07-31
US,AFGB,AMERICAN FINANCIAL GROUP INC,cheap-vs-market,LONG,2.0,0.175,-1.17,,,2026-07-31
US,ENR,"ENERGIZER HOLDINGS, INC.",cheap-vs-market,LONG,5.5,1.407,-1.16,,,2026-07-31
US,SOJE,SOUTHERN CO,cheap-vs-market,LONG,4.2,0.121,-1.07,,,2026-07-31
US,LULU,lululemon athletica inc.,cheap-vs-market,LONG,8.1,0.318,-1.05,,,2026-07-31
US,AOS,SMITH A O CORP,cheap-vs-market,LONG,15.7,0.294,-1.04,,,2026-07-31
US,SHOE,SHOE STATION GROUP INC,cheap-vs-market,LONG,7.8,0.076,-1.0,,,2026-07-31
US,ANF,ABERCROMBIE & FITCH CO /DE/,cheap-vs-market,LONG,8.8,0.361,-1.0,,,2026-07-31
US,ACCO,ACCO BRANDS Corp,cheap-vs-market,LONG,8.7,0.062,-0.95,,,2026-07-31
US,CMSC,CMS ENERGY CORP,cheap-vs-market,LONG,6.2,0.117,-0.95,,,2026-07-31
KR,071320.KS,지역난방공사,cheap∩hi-ROE,LONG,2.2,0.147,-1.07,-0.235,64400.0,2026-07-31
KR,100220.KS,비상교육,cheap∩hi-ROE,LONG,2.7,0.107,-1.03,-0.288,4705.0,2026-07-31
KR,298000.KS,효성화학,cheap∩hi-ROE,LONG,0.6,1.064,-0.99,0.578,61400.0,2026-07-31
KR,088130.KQ,동아엘텍,cheap∩hi-ROE,LONG,1.8,0.289,-0.98,0.627,5040.0,2026-07-31
KR,088910.KQ,동우팜투테이블,cheap∩hi-ROE,LONG,2.0,0.118,-0.98,-0.003,2170.0,2026-07-31
KR,284740.KS,쿠쿠홈시스,cheap∩hi-ROE,LONG,4.0,0.11,-0.93,-0.199,21100.0,2026-07-31
KR,136490.KS,선진,cheap∩hi-ROE,LONG,1.9,0.211,-0.9,-0.257,9650.0,2026-07-31
KR,069730.KS,DSR제강,cheap∩hi-ROE,LONG,3.4,0.131,-0.89,0.725,5800.0,2026-07-31
KR,096760.KS,JW홀딩스,cheap∩hi-ROE,LONG,4.5,0.219,-0.83,0.077,3827.0,2026-07-31
KR,472850.KQ,폰드그룹,cheap∩hi-ROE,LONG,6.4,0.147,-0.81,-0.413,3820.0,2026-07-31
KR,314930.KQ,바이오다인,expensive∩lo-ROE,SHORT,291.1,0.019,25.11,-0.434,8410.0,2026-07-31
KR,089030.KQ,테크윙,expensive∩lo-ROE,SHORT,187.2,0.044,16.51,0.644,49250.0,2026-07-31
KR,163730.KQ,핑거,expensive∩lo-ROE,SHORT,251.3,0.006,14.45,-0.431,8040.0,2026-07-31
KR,448730.KS,삼성FN리츠,expensive∩lo-ROE,SHORT,116.4,0.011,11.76,0.259,5520.0,2026-07-31
KR,417310.KS,코람코더원리츠,expensive∩lo-ROE,SHORT,143.5,0.015,10.64,1.09,10730.0,2026-07-31
KR,098460.KQ,고영,expensive∩lo-ROE,SHORT,121.2,0.044,10.54,0.802,27100.0,2026-07-31
KR,066980.KQ,한성크린텍,expensive∩lo-ROE,SHORT,779.2,0.002,9.8,0.118,1587.0,2026-07-31
KR,416180.KQ,신성에스티,expensive∩lo-ROE,SHORT,289.9,0.005,9.73,-0.518,18070.0,2026-07-31
KR,071670.KQ,에이테크솔루션,expensive∩lo-ROE,SHORT,110.5,0.005,8.78,-0.209,5100.0,2026-07-31
KR,093370.KS,후성,expensive∩lo-ROE,SHORT,226.0,0.016,8.38,1.284,11190.0,2026-07-31
KR,123750.KQ,알톤,expensive∩lo-ROE,SHORT,124.7,0.01,8.09,0.35,2075.0,2026-07-31
KR,130660.KS,한전산업,expensive∩lo-ROE,SHORT,86.6,0.039,8.08,-0.154,10780.0,2026-07-31
JP,7212.T,7212.T,value-reversion,LONG,2.7,0.081,-1.19,0.055,682.0,2026-07-31
JP,8338.T,8338.T,value-reversion,LONG,8.3,0.063,-1.07,1.815,670.0,2026-07-31
JP,8387.T,8387.T,value-reversion,LONG,7.9,0.091,-0.96,1.913,3290.0,2026-07-31
JP,7280.T,7280.T,value-reversion,LONG,4.6,0.099,-0.91,0.441,1172.0,2026-07-31
JP,7102.T,7102.T,value-reversion,LONG,4.6,0.142,-0.89,0.816,3695.0,2026-07-31
JP,7815.T,7815.T,value-reversion,LONG,3.2,0.19,-0.87,-0.405,365.0,2026-07-31
