quarter,holds,trading_revenue,other_income,total_income,fees_commission,operating_expense,total_expense,pbt,tax,pat,pat_margin_%,eps,qoq_pat_%,yoy_pat_%
2016Q3,12,83046.87549373128,10000.0,93046.87549373129,39500.0,10000.0,49500.0,43546.87549373129,20668.90007035456,22877.97542337673,24.6,0.002,,
2016Q4,17,190703.68864193704,17800.0,208503.68864193704,48500.0,25000.0,73500.0,135003.68864193704,33645.10196265638,101358.58667928065,48.6,0.01,343.0,
2017Q1,33,87620.51652267654,17800.0,105420.51652267654,76000.0,25000.0,101000.0,4420.516522676538,30318.422047709246,-25897.905525032707,-24.6,-0.003,-125.6,
2017Q2,32,433179.7965223585,17800.0,450979.7965223585,73500.0,25000.0,98500.0,352479.7965223585,66268.17554266605,286211.62097969244,63.5,0.029,-1205.2,
2017Q3,33,211803.75172598287,17800.0,229603.75172598287,76000.0,25000.0,101000.0,128603.75172598287,52875.712141464624,75728.03958451825,33.0,0.008,-73.5,231.0
2017Q4,32,605681.228649958,17800.0,623481.228649958,73500.0,25000.0,98500.0,524981.228649958,89614.04163588803,435367.18701407005,69.8,0.044,474.9,329.5
2018Q1,32,-189513.60068061185,17800.0,-171713.60068061185,73000.0,25000.0,98000.0,-269713.60068061185,0.0,-269713.60068061185,,-0.027,-162.0,941.4
2018Q2,33,-49275.122613929045,17800.0,-31475.122613929045,76500.0,25000.0,101500.0,-132975.12261392904,26668.066762978156,-159643.18937690722,,-0.016,-40.8,-155.8
2018Q3,32,-210843.58876131458,17800.0,-193043.58876131458,73000.0,25000.0,98000.0,-291043.5887613146,4366.539965358215,-295410.1287266728,,-0.03,85.0,-490.1
2018Q4,33,-338497.0772343907,17800.0,-320697.0772343907,76500.0,25000.0,101500.0,-422197.0772343907,8027.215332629558,-430224.2925670203,,-0.043,45.6,-198.8
2019Q1,32,409174.10375960555,17800.0,426974.10375960555,73000.0,25000.0,98000.0,328974.1037596055,62951.09294106455,266023.01081854093,62.3,0.027,-161.8,-198.6
2019Q2,33,-187386.81153265864,17800.0,-169586.81153265864,76500.0,25000.0,101500.0,-271086.81153265864,5334.961195351373,-276421.77272801,,-0.028,-203.9,73.1
2019Q3,31,-199468.44171729762,17800.0,-181668.44171729762,71500.0,25000.0,96500.0,-278168.4417172976,109.6964779921015,-278278.1381952897,,-0.028,0.7,-5.8
2019Q4,34,426921.5370488906,17800.0,444721.5370488906,78000.0,25000.0,103000.0,341721.5370488906,67692.52553216784,274029.0115167228,61.6,0.027,-198.5,-163.7
2020Q1,31,-1347638.9114241905,17800.0,-1329838.9114241905,71500.0,25000.0,96500.0,-1426338.9114241905,0.0,-1426338.9114241905,,-0.143,-620.5,-636.2
2020Q2,34,1671890.2316616233,17800.0,1689690.2316616233,78000.0,25000.0,103000.0,1586690.2316616233,286759.8888849933,1299930.34277663,76.9,0.13,-191.1,-570.3
2020Q3,31,527069.3754482104,17800.0,544869.3754482104,71500.0,25000.0,96500.0,448369.3754482104,82470.88106392336,365898.49438428704,67.2,0.037,-71.9,-231.5
2020Q4,34,998556.4271124008,17800.0,1016356.4271124008,78000.0,25000.0,103000.0,913356.4271124008,164019.66381636076,749336.76329604,73.7,0.075,104.8,173.5
2021Q1,31,417817.8889250597,17800.0,435617.8889250597,71500.0,25000.0,96500.0,339117.8889250597,69015.586302175,270102.30262288474,62.0,0.027,-64.0,-118.9
2021Q2,34,413406.0546814087,17800.0,431206.0546814087,78000.0,25000.0,103000.0,328206.0546814087,61101.31425951233,267104.74042189633,61.9,0.027,-1.1,-79.5
2021Q3,31,95076.9964913943,17800.0,112876.9964913943,71500.0,25000.0,96500.0,16376.996491394286,21001.639293673936,-4624.64280227965,-4.1,-0.0,-101.7,-101.3
2021Q4,35,152714.2884196498,17800.0,170514.2884196498,80500.0,25000.0,105500.0,65014.2884196498,24089.362274322728,40924.926145327074,24.0,0.004,-984.9,-94.5
2022Q1,30,-129261.10316915161,17800.0,-111461.1031691516,69000.0,25000.0,94000.0,-205461.10316915158,1840.9116809772513,-207302.01485012885,,-0.021,-606.5,-176.7
2022Q2,34,-568283.5508956022,17800.0,-550483.5508956022,78000.0,25000.0,103000.0,-653483.5508956022,0.0,-653483.5508956022,,-0.065,215.2,-344.7
2022Q3,35,-96055.20511134654,17800.0,-78255.20511134654,80500.0,25000.0,105500.0,-183755.20511134656,22794.2054473869,-206549.41055873345,,-0.021,-68.4,4366.3
2022Q4,31,443453.3258053574,17800.0,461253.3258053574,71500.0,25000.0,96500.0,364753.3258053574,81114.43842618639,283638.88737917104,61.5,0.028,-237.3,593.1
2023Q1,34,277767.8320182968,17800.0,295567.8320182968,78000.0,25000.0,103000.0,192567.83201829682,22686.43768663904,169881.39433165774,57.5,0.017,-40.1,-181.9
2023Q2,31,326315.39320159174,17800.0,344115.39320159174,71500.0,25000.0,96500.0,247615.39320159174,57645.0491923435,189970.34400924822,55.2,0.019,11.8,-129.1
2023Q3,34,-35943.74008547129,17800.0,-18143.74008547129,78000.0,25000.0,103000.0,-121143.74008547129,29098.68982635006,-150242.42991182135,,-0.015,-179.1,-27.3
2023Q4,31,467850.67080202466,17800.0,485650.67080202466,71500.0,25000.0,96500.0,389150.67080202466,79010.180228471,310140.4905735537,63.9,0.031,-306.4,9.3
2024Q1,34,299111.4941625244,17800.0,316911.4941625244,78000.0,25000.0,103000.0,213911.4941625244,46554.49131696303,167357.00284556136,52.8,0.017,-46.0,-1.5
2024Q2,31,239014.72562572022,17800.0,256814.72562572022,71500.0,25000.0,96500.0,160314.72562572022,36103.6828721796,124211.04275354062,48.4,0.012,-25.8,-34.6
2024Q3,34,-34376.03778796198,17800.0,-16576.037787961974,78000.0,25000.0,103000.0,-119576.03778796199,16809.246158995433,-136385.2839469574,,-0.014,-209.8,-9.2
2024Q4,31,74571.1398773476,17800.0,92371.1398773476,71500.0,25000.0,96500.0,-4128.860122652397,19759.606480632498,-23888.46660328489,-25.9,-0.002,-82.5,-107.7
2025Q1,34,-537916.7440627367,17800.0,-520116.7440627367,78000.0,25000.0,103000.0,-623116.7440627367,0.0,-623116.7440627367,,-0.062,2508.4,-472.3
2025Q2,31,876152.953955332,17800.0,893952.953955332,71500.0,25000.0,96500.0,797452.953955332,145314.791105889,652138.162849443,72.9,0.065,-204.7,425.0
2025Q3,34,349247.7992646324,17800.0,367047.7992646324,78000.0,25000.0,103000.0,264047.7992646324,45966.22643505168,218081.57282958072,59.4,0.022,-66.6,-259.9
2025Q4,31,152470.27386340825,17800.0,170270.27386340825,71500.0,25000.0,96500.0,73770.27386340825,30949.2840430046,42820.989820403636,25.1,0.004,-80.4,-279.3
2026Q1,34,332746.8009715587,17800.0,350546.8009715587,78000.0,25000.0,103000.0,247546.8009715587,39540.02950510119,208006.77146645752,59.3,0.021,385.8,-133.4
2026Q2,31,50156.887010506725,17800.0,67956.88701050673,71500.0,25000.0,96500.0,-28543.112989493246,51499.489317375694,-80042.60230686897,-117.8,-0.008,-138.5,-112.3
2026Q3,5,-131284.24806221307,17800.0,-113484.24806221307,11500.0,25000.0,36500.0,-149984.24806221307,201.0869998860587,-150185.33506209913,,-0.015,87.6,-168.9
