symbol,name,market,appearances,move_pct,entry_price,price,first_signal,last_signal,filters,best_detail,tier
THRM,,US,3,18.301939836941237,35.57,42.08,2026-07-13,2026-07-22,golden_cross_hist+technical,grade B,T2_LIQUID
JD.L,JD Sports,EU,3,8.75343721356554,87.28,94.92,2026-07-16,2026-07-22,golden_cross_hist+technical,grade B,T2_LIQUID
AMC,,US,3,8.536585365853666,2.46,2.67,2026-07-15,2026-07-22,golden_cross_hist+technical,grade A,T1_MOST_LIQUID
3076,あい　ホールディングス,JP,3,4.588839941262846,2724.0,2849.0,2026-07-15,2026-07-22,golden_cross_hist+technical,grade B,T2_LIQUID
BBOX.L,Tritax Big Box REIT,EU,3,4.39759036144578,166.0,173.3,2026-07-17,2026-07-22,golden_cross_hist+technical,grade B,T3_MID
FORR,,US,3,3.4102306920762215,9.97,10.31,2026-07-14,2026-07-22,golden_cross_hist+technical,grade B,T3_MID
NMIH,,US,3,3.096410978184383,42.63,43.95,2026-07-20,2026-07-22,golden_cross_hist+technical,grade B,T2_LIQUID
5108,ブリヂストン,JP,3,2.6469031233456786,3778.0,3878.0,2026-07-20,2026-07-22,golden_cross_hist+technical,grade A,T1_MOST_LIQUID
HQY,,US,3,2.3867313915857613,98.88,101.24,2026-07-20,2026-07-22,golden_cross_hist+technical,grade B,T1_MOST_LIQUID
MKS.L,Marks & Spencer,EU,3,2.223358037311529,391.3,400.0,2026-07-20,2026-07-22,golden_cross_hist+technical,grade B,T2_LIQUID
8075,神鋼商事,JP,3,2.1565495207667817,2504.0,2558.0,2026-07-20,2026-07-22,golden_cross_hist+technical,grade A,T3_MID
79940,가비아,KR,2,45.552147239263796,32600.0,47450.0,2026-07-21,2026-07-22,technical,grade B,T3_MID
2767,円谷フィールズホールディングス,JP,2,29.704301075268823,1488.0,1930.0,2026-07-21,2026-07-22,technical,grade B,T2_LIQUID
PRPL,,US,2,26.30769230769232,6.5,8.21,2026-07-20,2026-07-22,golden_cross_hist+technical,grade B,T3_MID
