market,h,ret,excess,rsi_evict
IN,21,3.494000645407347,4.86055924790505,47.3
IN,63,10.640420101504988,20.776968135192206,47.3
IN,21,5.123260850218037,6.210565548998426,37.7
IN,63,12.507045596131583,22.18561637770936,37.7
IN,21,-4.618203259908182,-0.6582443398428617,37.0
IN,63,-1.7584130059385972,8.54665549684077,37.0
IN,21,12.909135924733839,14.327997319345432,36.5
IN,63,32.149046793760824,35.502283478902136,36.5
IN,21,-6.008721424121721,-5.162608256485557,47.7
IN,63,0.7871934759216881,4.166785402761331,47.7
IN,21,18.20020806843139,19.619069463042983,29.0
IN,63,24.430701652988084,27.7839383381294,29.0
IN,21,-4.5368705035971235,-3.690757335960959,47.5
IN,63,-7.747302158273395,-4.367710231433753,47.5
IN,21,0.3047183735656711,2.333604291867075,43.2
IN,63,-7.027567490358521,-1.3035437733408646,43.2
IN,21,-25.350738641642657,-23.658999358282717,37.8
IN,63,-28.165938864628824,-18.935620783925856,37.8
IN,21,1.3958936647902709,3.167942629770104,49.9
IN,63,6.429570819640129,11.344767096276975,49.9
IN,21,6.973964726403503,9.414163601673797,46.8
IN,63,13.224368499257055,21.828415793413946,46.8
IN,21,1.3161674016253677,2.73502879623696,40.7
IN,63,9.279064659469128,12.744457734398896,40.7
IN,21,-5.6888967614324155,-4.2971620422246,54.6
IN,63,-9.179877778761858,-4.907683358359593,54.6
IN,21,-7.496625969053072,-3.001951901980471,41.6
IN,63,-18.467719155079887,-11.535440274073995,41.6
IN,21,8.789424860853433,10.434507916595592,47.6
IN,63,-0.004638218923924686,9.503569920848966,47.6
IN,21,15.028192069843582,14.136946448788802,35.7
IN,63,11.754274281556931,16.089490535561666,35.7
IN,21,-1.783668793978066,0.6565300812922281,44.7
IN,63,14.518900343642605,23.272714361577698,44.7
IN,21,-6.674286850213695,-4.518091294574777,37.8
IN,63,52.07235861246397,55.40083194073206,37.8
IN,21,48.27127659574468,49.69013799035627,43.8
IN,63,82.19509878419456,85.54833546933587,43.8
IN,21,-8.043534594454528,-6.651799875246712,47.7
IN,63,-2.2130085514382003,2.0591858689640645,47.7
IN,21,-1.3898169183482523,-0.4323877080776084,41.0
IN,63,-1.2294534277696,6.4465575020434045,41.0
IN,21,21.397875134296296,22.81673652890789,42.0
IN,63,55.12713381878953,58.48037050393084,42.0
