market,symbol,trigger_date,ret_at_trigger,source
US,LBRT,2026-07-31,6.47,live
IN,INFY,2026-07-29,7.08,live
IN,SANDUMA,2026-07-29,5.25,live
US,CHTR,2026-07-29,13.51,live
US,SSTK,2026-07-28,5.56,live
US,INSG,2026-07-28,5.41,live
JP,1605.T,2026-07-22,10.72,backtest
JP,8058.T,2026-07-22,12.45,backtest
JP,7752.T,2026-07-22,10.35,backtest
US,NU,2026-07-22,10.51,backtest
JP,9022.T,2026-07-21,10.32,backtest
JP,7201.T,2026-07-21,10.77,backtest
JP,5411.T,2026-07-21,11.47,backtest
JP,5401.T,2026-07-21,11.66,backtest
JP,4911.T,2026-07-17,10.16,backtest
JP,3697.T,2026-07-17,10.3,backtest
JP,4523.T,2026-07-17,11.7,backtest
US,MA,2026-07-16,11.65,backtest
US,BKNG,2026-07-16,10.54,backtest
JP,3563.T,2026-07-16,11.08,backtest
US,REGN,2026-07-16,10.44,backtest
US,PYPL,2026-07-15,24.48,backtest
JP,9501.T,2026-07-15,10.28,backtest
JP,6988.T,2026-07-14,11.15,backtest
JP,9984.T,2026-07-14,10.25,backtest
JP,7453.T,2026-07-13,19.61,backtest
KR,005830.KS,2026-07-13,11.18,backtest
JP,7936.T,2026-07-13,11.68,backtest
JP,7211.T,2026-07-10,15.92,backtest
JP,3088.T,2026-07-08,10.59,backtest
JP,9697.T,2026-07-07,10.25,backtest
JP,9021.T,2026-07-07,10.79,backtest
KR,010950.KS,2026-07-07,18.62,backtest
JP,6501.T,2026-07-07,10.53,backtest
JP,7202.T,2026-07-06,11.16,backtest
JP,7013.T,2026-07-06,11.01,backtest
US,SPGI,2026-07-06,11.49,backtest
JP,5032.T,2026-07-06,12.1,backtest
JP,4307.T,2026-07-06,10.78,backtest
JP,4661.T,2026-07-03,10.8,backtest
US,SCHW,2026-07-02,10.56,backtest
US,CMG,2026-07-02,10.66,backtest
US,WFC,2026-07-01,10.83,backtest
KR,145020.KQ,2026-06-29,10.46,backtest
JP,7701.T,2026-06-29,10.17,backtest
US,RBLX,2026-06-29,15.25,backtest
US,SHW,2026-06-25,11.6,backtest
US,DASH,2026-06-24,11.7,backtest
US,DE,2026-06-22,10.4,backtest
US,GEV,2026-06-18,14.66,backtest
JP,2503.T,2026-06-18,10.28,backtest
JP,8601.T,2026-06-17,10.1,backtest
