Symbol,downtrend,distress,blowup,untradeable,excluded,Company Name,Industry
ACMESOLAR,False,False,False,False,False,ACME Solar Holdings Ltd.,Power
AADHARHFC,False,False,False,False,False,Aadhar Housing Finance Ltd.,Financial Services
AARTIIND,False,False,False,False,False,Aarti Industries Ltd.,Chemicals
AAVAS,False,False,False,False,False,Aavas Financiers Ltd.,Financial Services
ACE,False,False,False,False,False,Action Construction Equipment Ltd.,Capital Goods
ACUTAAS,False,False,False,False,False,Acutaas Chemicals Ltd.,Healthcare
ABFRL,True,True,False,False,True,Aditya Birla Fashion and Retail Ltd.,Consumer Services
ABLBL,True,False,False,False,True,Aditya Birla Lifestyle Brands Ltd.,Consumer Services
ABREL,True,True,False,False,True,Aditya Birla Real Estate Ltd.,Realty
ABSLAMC,False,False,False,False,False,Aditya Birla Sun Life AMC Ltd.,Financial Services
CPPLUS,False,False,False,False,False,Aditya Infotech Ltd.,Capital Goods
AEGISLOG,False,False,False,False,False,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels
AEGISVOPAK,False,False,True,False,True,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels
AFCONS,True,False,False,False,True,Afcons Infrastructure Ltd.,Construction
AFFLE,True,False,False,False,True,Affle 3i Ltd.,Information Technology
ABDL,False,False,False,False,False,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods
ARE&M,False,False,False,False,False,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components
AMBER,False,False,False,False,False,Amber Enterprises India Ltd.,Consumer Durables
ANANDRATHI,False,False,False,False,False,Anand Rathi Wealth Ltd.,Financial Services
ANANTRAJ,False,False,False,False,False,Anant Raj Ltd.,Realty
ANGELONE,False,False,False,False,False,Angel One Ltd.,Financial Services
ANURAS,False,False,False,False,False,Anupam Rasayan India Ltd.,Chemicals
APTUS,False,False,False,False,False,Aptus Value Housing Finance India Ltd.,Financial Services
ASAHIINDIA,True,False,False,False,True,Asahi India Glass Ltd.,Automobile and Auto Components
ASTERDM,False,False,False,False,False,Aster DM Healthcare Ltd.,Healthcare
ATHERENERG,False,False,False,False,False,Ather Energy Ltd.,Automobile and Auto Components
ATUL,True,False,False,False,True,Atul Ltd.,Chemicals
BEML,True,False,False,False,True,BEML Ltd.,Capital Goods
BLS,True,True,False,False,True,BLS International Services Ltd.,Consumer Services
BALRAMCHIN,False,False,False,False,False,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods
BANDHANBNK,False,False,False,False,False,Bandhan Bank Ltd.,Financial Services
BATAINDIA,True,True,False,False,True,Bata India Ltd.,Consumer Durables
BAYERCROP,True,False,False,False,True,Bayer Cropscience Ltd.,Chemicals
BELRISE,False,False,False,False,False,Belrise Industries Ltd.,Automobile and Auto Components
BIKAJI,True,False,False,False,True,Bikaji Foods International Ltd.,Fast Moving Consumer Goods
BSOFT,True,True,False,False,True,Birlasoft Ltd.,Information Technology
BLUEDART,True,False,False,False,True,Blue Dart Express Ltd.,Services
BLUEJET,False,False,True,False,True,Blue Jet Healthcare Ltd.,Healthcare
BBTC,True,False,False,False,True,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods
FIRSTCRY,True,True,False,False,True,Brainbees Solutions Ltd.,Consumer Services
BRIGADE,True,False,False,False,True,Brigade Enterprises Ltd.,Realty
MAPMYINDIA,True,True,False,False,True,C.E. Info Systems Ltd.,Information Technology
CCL,False,False,False,False,False,CCL Products (I) Ltd.,Fast Moving Consumer Goods
CESC,True,False,False,False,True,CESC Ltd.,Power
CIEINDIA,False,False,False,False,False,CIE Automotive India Ltd.,Automobile and Auto Components
CANFINHOME,True,False,False,False,True,Can Fin Homes Ltd.,Financial Services
CANHLIFE,False,False,False,False,False,Canara HSBC Life Insurance Company Ltd.,Financial Services
CAPLIPOINT,False,False,False,False,False,Caplin Point Laboratories Ltd.,Healthcare
CGCL,False,True,False,False,True,Capri Global Capital Ltd.,Financial Services
CARBORUNIV,False,False,False,False,False,Carborundum Universal Ltd.,Capital Goods
CARTRADE,False,False,True,False,True,Cartrade Tech Ltd.,Consumer Services
CASTROLIND,True,False,False,False,True,Castrol India Ltd.,Oil Gas & Consumable Fuels
CEATLTD,True,False,False,False,True,Ceat Ltd.,Automobile and Auto Components
CEMPRO,False,False,True,False,True,Cemindia Projects Ltd.,Construction
CENTRALBK,True,True,False,False,True,Central Bank of India,Financial Services
CDSL,True,False,False,False,True,Central Depository Services (India) Ltd.,Financial Services
CHALET,True,False,False,False,True,Chalet Hotels Ltd.,Consumer Services
CHAMBLFERT,True,False,False,False,True,Chambal Fertilizers & Chemicals Ltd.,Chemicals
CHENNPETRO,False,False,False,False,False,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
CHOICEIN,False,False,False,False,False,Choice International Ltd.,Financial Services
CHOLAHLDNG,True,False,False,False,True,Cholamandalam Financial Holdings Ltd.,Financial Services
CUB,False,False,False,False,False,City Union Bank Ltd.,Financial Services
CLEAN,True,True,False,False,True,Clean Science and Technology Ltd.,Chemicals
COHANCE,True,True,True,False,True,Cohance Lifesciences Ltd.,Healthcare
CAMS,False,False,False,False,False,Computer Age Management Services Ltd.,Financial Services
CONCORDBIO,False,False,False,False,False,Concord Biotech Ltd.,Healthcare
