year,sector,n,R2
2017,Healthcare,17,0.0
2017,Technology,16,0.0
2018,Healthcare,21,0.39
2018,Technology,15,0.01
2019,Healthcare,23,0.18
2019,Technology,16,0.02
2020,Healthcare,21,0.03
2020,Technology,16,0.0
2021,Healthcare,24,0.02
2021,Technology,18,0.07
2022,Healthcare,21,0.24
2022,Industrials,17,0.22
2022,Technology,19,0.04
2023,Healthcare,24,0.06
2023,Industrials,16,0.14
2023,Technology,21,0.03
2024,Healthcare,23,0.03
2024,Industrials,16,0.03
2024,Technology,21,0.01
2025,Healthcare,26,0.05
2025,Industrials,15,0.05
2025,Technology,20,0.22
