market,symbol,evict_date,rsi_at_evict,drift_at_evict,outcome,days,exit_ret_pct,trigger_date,reentry_ret_21,bench_ret_21,reentry_excess_21,reentry_ret_63,bench_ret_63,reentry_excess_63,reentry_ret_126,bench_ret_126,reentry_excess_126,rsi_at_trigger
US,ADBE,2019-08-30,44.6,-46.9,ageout_validated,90,8.63,,,,,,,,,,,
US,ADBE,2020-10-30,34.3,-43.6,ANOMALY,6,11.04,2020-11-05,-5.32,8.87,-14.18,-3.77,16.96,-20.73,-9.15,23.01,-32.16,56.4
US,ADBE,2021-01-29,40.5,-44.1,ANOMALY,73,10.3,2021-04-12,-0.51,0.86,-1.37,10.06,4.52,5.55,25.87,8.22,17.65,70.2
US,ADBE,2021-09-30,24.2,-82.2,ANOMALY,19,10.48,2021-10-19,5.01,3.33,1.68,-12.35,-1.93,-10.42,-31.08,-12.18,-18.9,63.0
US,ADBE,2021-12-31,38.5,-142.8,validated_decline,42,-16.42,,,,,,,,,,,
US,ADBE,2024-02-29,41.5,-95.4,validated_decline,43,-15.38,,,,,,,,,,,
US,ADBE,2024-04-30,33.6,-97.4,ANOMALY,45,13.5,2024-06-14,10.1,2.46,7.63,5.36,3.17,2.19,-5.79,12.14,-17.93,71.5
US,ADBE,2024-09-30,39.6,-71.9,validated_decline,80,-15.53,,,,,,,,,,,
US,ADBE,2024-12-31,32.1,-141.0,validated_decline,72,-15.03,,,,,,,,,,,
US,ADBE,2025-06-30,43.7,-40.9,ageout_validated,90,-6.85,,,,,,,,,,,
US,ADBE,2025-10-31,44.3,-14.1,ageout_validated,90,-14.3,,,,,,,,,,,
US,ADBE,2026-01-30,32.2,-143.5,validated_decline,24,-15.88,,,,,,,,,,,
US,ADBE,2026-02-27,39.9,-171.7,ageout_validated,90,-7.99,,,,,,,,,,,
US,ADI,2018-02-28,53.0,-10.9,ageout_validated,90,5.25,,,,,,,,,,,
US,ADI,2018-09-28,42.6,-38.4,validated_decline,26,-15.83,,,,,,,,,,,
US,ADI,2019-08-30,49.8,-56.2,ageout_validated,90,3.52,,,,,,,,,,,
US,ADI,2020-01-31,33.0,-34.5,ANOMALY,19,12.88,2020-02-19,-23.38,-19.03,-4.35,-17.12,-12.83,-4.3,-2.52,2.17,-4.69,64.3
US,ADI,2020-07-31,45.0,-39.9,ANOMALY,73,10.37,2020-10-12,-6.05,-5.15,-0.9,13.36,12.97,0.39,28.06,26.33,1.72,67.7
US,ADI,2021-07-30,56.1,-6.4,ageout_validated,90,3.45,,,,,,,,,,,
US,ADI,2021-12-31,48.0,-39.7,validated_decline,66,-16.37,,,,,,,,,,,
US,ADI,2023-04-28,38.8,-31.2,ANOMALY,76,10.75,2023-07-13,-3.42,0.29,-3.71,-8.95,-0.85,-8.1,-8.86,-1.33,-7.53,64.0
US,ADI,2023-08-31,47.6,-61.2,ageout_validated,90,0.99,,,,,,,,,,,
US,ADI,2024-11-29,48.3,-46.3,ANOMALY,82,11.3,2025-02-19,-14.13,-9.56,-4.57,-23.9,-12.1,-11.8,-2.02,2.99,-5.01,73.6
