symbol,market,status,note,date_added,entry_price,basis,why,ltp,pct_since,vs_mkt,as_of,stale_days,held_days
PNDORA.CO,EU,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,796.0,panel-close,golden_cross_hist,776.5999755859375,-2.437188996741524,,2026-07-20,,5.0
LRE.L,EU,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,651.5,panel-close,golden_cross_hist,658.0,0.9976976208748933,,2026-07-20,,5.0
FSG.L,EU,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,469.0,panel-close,golden_cross_hist,481.0,2.558635394456288,,2026-07-20,,5.0
ZAL.F,EU,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,27.670000076293945,panel-close,golden_cross_hist,28.15999984741211,1.7708701473331923,,2026-07-20,,5.0
OTOEL.AT,EU,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,11.0600004196167,panel-close,golden_cross_hist,11.260000228881836,1.8083164708602162,,2026-07-20,,5.0
NCC.L,EU,signal,golden_cross 2026-07-16 (backfilled),2026-07-16,142.8000030517578,panel-close,golden_cross_hist,142.8000030517578,0.0,,2026-07-20,,4.0
JD.L,EU,signal,golden_cross 2026-07-16 (backfilled),2026-07-16,87.37999725341797,panel-close,golden_cross_hist,88.13999938964844,0.869766720209797,,2026-07-20,,4.0
HEN3.F,EU,signal,golden_cross 2026-07-16 (backfilled),2026-07-16,73.69999694824219,panel-close,golden_cross_hist,74.87999725341797,1.6010859620584128,,2026-07-20,,4.0
CLDN.L,EU,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,380.5,panel-close,golden_cross_hist,381.0,0.13140604467805073,,2026-07-20,,3.0
BRSC.L,EU,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,269.0,panel-close,golden_cross_hist,268.5,-0.18587360594795044,,2026-07-20,,3.0
BBOX.L,EU,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,167.1999969482422,panel-close,golden_cross_hist,165.89999389648438,-0.7775138011277827,,2026-07-20,,3.0
MKS.L,EU,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,379.8999938964844,panel-close,golden_cross_hist,379.8999938964844,0.0,,2026-07-20,,0.0
FME.F,EU,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,42.11000061035156,panel-close,golden_cross_hist,42.11000061035156,0.0,,2026-07-20,,0.0
DBK.F,EU,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,30.354999542236328,panel-close,golden_cross_hist,30.354999542236328,0.0,,2026-07-20,,0.0
RED.MC,EU,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,15.449999809265137,panel-close,golden_cross_hist,15.449999809265137,0.0,,2026-07-20,,0.0
UNICHEMLAB,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,596.95,panel-close,golden_cross_hist,595.5999755859375,-0.22615368356856402,,2026-07-20,0.0,
BDH,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,,panel-close,golden_cross_hist,571.4500122070312,,,2026-07-20,0.0,
KRBL,IN,watch,,2026-07-13,364.3,panel-close,golden_cross_hist,355.45001220703125,-2.429313146573908,,2026-07-20,0.0,
INDOSTAR,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,269.35,panel-close,golden_cross_hist,266.6499938964844,-1.002415483020469,,2026-07-20,0.0,
VAIBHAVGBL,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,255.88,panel-close,golden_cross_hist,254.89999389648438,-0.382994412816795,,2026-07-20,0.0,
