symbol,market,status,note,date_added,entry_price,basis,why,ltp,pct_since,vs_mkt
PNDORA.CO,EU,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,,panel-close,golden_cross_hist,,,
OTOEL.AT,EU,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,,panel-close,golden_cross_hist,,,
LRE.L,EU,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,,panel-close,golden_cross_hist,,,
FSG.L,EU,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,,panel-close,golden_cross_hist,,,
ZAL.F,EU,signal,golden_cross 2026-07-15 (backfilled),2026-07-15,,panel-close,golden_cross_hist,,,
JD.L,EU,signal,golden_cross 2026-07-16 (backfilled),2026-07-16,,panel-close,golden_cross_hist,,,
HEN3.F,EU,signal,golden_cross 2026-07-16 (backfilled),2026-07-16,,panel-close,golden_cross_hist,,,
NCC.L,EU,signal,golden_cross 2026-07-16 (backfilled),2026-07-16,,panel-close,golden_cross_hist,,,
CLDN.L,EU,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,,panel-close,golden_cross_hist,,,
BRSC.L,EU,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,,panel-close,golden_cross_hist,,,
BBOX.L,EU,signal,golden_cross 2026-07-17 (backfilled),2026-07-17,,panel-close,golden_cross_hist,,,
MKS.L,EU,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,,panel-close,golden_cross_hist,,,
DBK.F,EU,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,,panel-close,golden_cross_hist,,,
FME.F,EU,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,,panel-close,golden_cross_hist,,,
RED.MC,EU,signal,golden_cross 2026-07-20 (backfilled),2026-07-20,,panel-close,golden_cross_hist,,,
UNICHEMLAB,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,596.95,panel-close,golden_cross_hist,596.95,0.0,
KRBL,IN,watch,,2026-07-13,364.3,panel-close,golden_cross_hist,364.3,0.0,
INDOSTAR,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,269.35,panel-close,golden_cross_hist,269.35,0.0,
VAIBHAVGBL,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,255.88,panel-close,golden_cross_hist,255.88,0.0,
CORDSCABLE,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,239.9,panel-close,golden_cross_hist,239.9,0.0,
SANDUMA,IN,watch,,2026-07-13,203.25,panel-close,golden_cross_hist,203.25,0.0,
GAIL,IN,watch,,2026-07-13,173.12,panel-close,golden_cross_hist,173.12,0.0,
MAHESHWARI,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,68.94,panel-close,golden_cross_hist,68.94,0.0,
KONNDOR,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,,panel-close,golden_cross_hist,,,
NARPROP,IN,signal,golden_cross 2026-07-13 (backfilled),2026-07-13,,panel-close,golden_cross_hist,,,
