symbol,market,purge_note,enrolled,baseline_price,last_price,ret_pct,rsi,rsi_zone,last_checked
AJANTSOY,IN,evicted 2026-07-23 after 47 sessions in sell zone,2026-07-27,21.5,21.5,0.0,44.2,HOLD,2026-07-27
AVANTIFEED,IN,evicted 2026-07-23 after 39 sessions in sell zone,2026-07-27,979.5499877929688,979.5499877929688,0.0,46.3,HOLD,2026-07-27
AXITA,IN,evicted 2026-07-23 after 106 sessions in sell zone,2026-07-27,7.409999847412109,7.409999847412109,0.0,42.7,HOLD,2026-07-27
BANARISUG,IN,evicted 2026-07-23 after 26 sessions in sell zone,2026-07-27,3475.10009765625,3475.10009765625,0.0,43.9,HOLD,2026-07-27
BCCL,IN,evicted 2026-07-23 after 107 sessions in sell zone,2026-07-27,39.560001373291016,39.560001373291016,0.0,32.2,SELL,2026-07-27
BLS,IN,evicted 2026-07-23 after 50 sessions in sell zone,2026-07-27,237.5,237.5,0.0,42.3,HOLD,2026-07-27
CESC,IN,evicted 2026-07-23 after 21 sessions in sell zone,2026-07-27,162.32000732421875,162.32000732421875,0.0,40.8,HOLD,2026-07-27
COALINDIA,IN,evicted 2026-07-23 after 30 sessions in sell zone,2026-07-27,427.5,427.5,0.0,37.7,SELL,2026-07-27
DONEAR,IN,evicted 2026-07-23 after 19 sessions in sell zone,2026-07-27,86.18000030517578,86.18000030517578,0.0,49.0,HOLD,2026-07-27
GSAUTO,IN,evicted 2026-07-23 after 45 sessions in sell zone,2026-07-27,14.649999618530273,14.649999618530273,0.0,43.5,HOLD,2026-07-27
HERANBA,IN,evicted 2026-07-23 after 48 sessions in sell zone,2026-07-27,175.94000244140625,175.94000244140625,0.0,39.5,SELL,2026-07-27
HINDALCO,IN,evicted 2026-07-23 after 30 sessions in sell zone,2026-07-27,945.25,945.25,0.0,39.2,SELL,2026-07-27
INFY,IN,evicted 2026-07-23 after 35 sessions in sell zone,2026-07-27,1079.199951171875,1079.199951171875,0.0,50.1,BUY,2026-07-27
INOXWIND,IN,evicted 2026-07-23 after 21 sessions in sell zone,2026-07-27,78.2300033569336,78.2300033569336,0.0,36.9,SELL,2026-07-27
IRCTC,IN,evicted 2026-07-23 after 51 sessions in sell zone,2026-07-27,494.0,494.0,0.0,38.7,SELL,2026-07-27
ITC,IN,evicted 2026-07-23 after 44 sessions in sell zone,2026-07-27,285.8500061035156,285.8500061035156,0.0,52.7,BUY,2026-07-27
JKLAKSHMI,IN,evicted 2026-07-23 after 47 sessions in sell zone,2026-07-27,574.2000122070312,574.2000122070312,0.0,44.8,HOLD,2026-07-27
KRIDHANINF,IN,evicted 2026-07-23 after 21 sessions in sell zone,2026-07-27,2.4200000762939453,2.4200000762939453,0.0,36.8,SELL,2026-07-27
MHRIL,IN,evicted 2026-07-23 after 16 sessions in sell zone,2026-07-27,223.8300018310547,223.8300018310547,0.0,45.8,HOLD,2026-07-27
NATIONALUM,IN,evicted 2026-07-23 after 33 sessions in sell zone,2026-07-27,339.3500061035156,339.3500061035156,0.0,40.1,HOLD,2026-07-27
NLCINDIA,IN,evicted 2026-07-23 after 16 sessions in sell zone,2026-07-27,298.45001220703125,298.45001220703125,0.0,44.1,HOLD,2026-07-27
NSDL,IN,evicted 2026-07-23 after 18 sessions in sell zone,2026-07-27,817.7999877929688,817.7999877929688,0.0,38.4,SELL,2026-07-27
ONGC,IN,evicted 2026-07-23 after 39 sessions in sell zone,2026-07-27,238.55999755859375,238.55999755859375,0.0,35.6,SELL,2026-07-27
PFC,IN,evicted 2026-07-23 after 18 sessions in sell zone,2026-07-27,420.1000061035156,420.1000061035156,0.0,53.0,BUY,2026-07-27
RHFL,IN,evicted 2026-07-23 after 62 sessions in sell zone,2026-07-27,1.9600000381469727,1.9600000381469727,0.0,27.6,SELL,2026-07-27
RVNL,IN,evicted 2026-07-23 after 50 sessions in sell zone,2026-07-27,223.9499969482422,223.9499969482422,0.0,35.9,SELL,2026-07-27
SANDUMA,IN,evicted 2026-07-23 after 30 sessions in sell zone,2026-07-27,198.14999389648438,198.14999389648438,0.0,42.7,HOLD,2026-07-27
SIMBHALS,IN,evicted 2026-07-23 after 39 sessions in sell zone,2026-07-27,6.880000114440918,6.880000114440918,0.0,45.8,HOLD,2026-07-27
TARAPUR,IN,evicted 2026-07-23 after 65 sessions in sell zone,2026-07-27,17.739999771118164,17.739999771118164,0.0,43.6,HOLD,2026-07-27
TATACONSUM,IN,evicted 2026-07-23 after 37 sessions in sell zone,2026-07-27,1107.4000244140625,1107.4000244140625,0.0,50.7,BUY,2026-07-27
TATAPOWER,IN,evicted 2026-07-23 after 35 sessions in sell zone,2026-07-27,377.3500061035156,377.3500061035156,0.0,42.3,HOLD,2026-07-27
TATASTEEL,IN,evicted 2026-07-23 after 33 sessions in sell zone,2026-07-27,184.25,184.25,0.0,37.4,SELL,2026-07-27
TIRUMALCHM,IN,evicted 2026-07-23 after 37 sessions in sell zone,2026-07-27,172.08999633789062,172.08999633789062,0.0,51.7,BUY,2026-07-27
UGROCAP,IN,evicted 2026-07-23 after 52 sessions in sell zone,2026-07-27,95.6500015258789,95.6500015258789,0.0,48.0,HOLD,2026-07-27
UNITEDTEA,IN,evicted 2026-07-23 after 35 sessions in sell zone,2026-07-27,472.95001220703125,472.95001220703125,0.0,45.3,HOLD,2026-07-27
VEDL,IN,evicted 2026-07-23 after 57 sessions in sell zone,2026-07-27,264.6499938964844,264.6499938964844,0.0,36.7,SELL,2026-07-27
WAAREEENER,IN,evicted 2026-07-23 after 22 sessions in sell zone,2026-07-27,2741.39990234375,2741.39990234375,0.0,36.6,SELL,2026-07-27
WIPRO,IN,evicted 2026-07-23 after 33 sessions in sell zone,2026-07-27,178.52999877929688,178.52999877929688,0.0,51.3,BUY,2026-07-27
ZODIAC,IN,evicted 2026-07-23 after 37 sessions in sell zone,2026-07-27,246.75,246.75,0.0,27.2,SELL,2026-07-27
