yf_symbol,market_name,quality_tier,quality_score,momentum_3m,above_ma200
OTLK,United States,Fair,6.964355435182609,562.1004881253053,1
ATHR,United States,Fair,6.965369382501571,136.31840908144676,1
SMWB,United States,Fair,6.9802238085670885,130.59700277606402,1
WALD,United States,Fair,6.9776260911663766,86.87430122835296,1
GETALONG.BO,India,Fair,6.984728999910418,84.8837082936616,1
SPA.AX,Australia,Fair,6.965864100223945,79.68749472493099,1
HCAT,United States,Fair,6.978500671621969,77.77777777777779,1
AGPU,United States,Fair,6.957808834845477,73.95576474425538,1
JACK,United States,Fair,6.984858933429276,72.17218375385694,1
PME.AX,Australia,Fair,6.987584373707379,71.87242837091415,1
HIVE,United States,Fair,5.9720027842090415,68.7500042685619,0
IONQ,United States,Fair,5.969720036648949,67.64505191438569,0
SLNH,United States,Fair,5.956676500996771,67.60564692742665,0
MXCT,United States,Fair,6.9794419021287615,62.00000445048014,1
RZLT,United States,Fair,5.971516608139073,57.371795753520416,0
AGYS,United States,Fair,6.985395041167031,55.87284184389887,1
FLYU,United States,Fair,6.975044606159816,52.51815443551898,1
OXBR,United States,Fair,6.972570597235577,52.199755075236155,1
6162.HK,Hong Kong,Fair,5.970736339109613,52.17391339558509,0
PRGS,United States,Fair,6.989529075813207,49.14595429960137,1
RH,United States,Fair,6.981463661288863,49.02168446623388,1
HRI,United States,Fair,6.9843334438267535,48.94766669272258,1
MIHIKA.BO,India,Fair,6.985059601290391,48.6788606460872,1
BTDR,United States,Fair,5.970001895108014,48.207597492913266,0
ELANGO.BO,India,Fair,6.983073028781269,47.98154337722142,1
TNET,United States,Fair,6.988871159099224,46.91911808147374,1
SDGR,United States,Fair,6.9809240606738605,45.76856020707415,1
LOBO,United States,Fair,5.954274382304362,45.00000338662756,0
ADHHATA.BO,India,Fair,6.985443151720872,44.95798784009109,1
DGT.AX,Australia,Fair,6.983584999103277,44.30465962408138,1
4443.T,Japan,Fair,6.982924185911257,44.18918232800733,1
CLSK,United States,Fair,5.9697184781575094,43.572240504295166,0
TWFG,United States,Fair,6.986899219691458,42.6202267520141,1
GEN,United States,Fair,6.99050800393524,41.942438783929525,1
PLTK,United States,Fair,6.984611660911249,41.24087124413514,1
MAGN,United States,Fair,6.975612902968111,39.77777693006728,1
2146.HK,Hong Kong,Fair,6.981867200940527,39.62265084586868,1
GLXY,United States,Fair,5.973277393984688,39.39909865880084,0
QUANTDIA.BO,India,Fair,6.9838466636416605,38.54679998219495,1
CARS,United States,Fair,6.986620337547078,36.38553535770427,1
3923.T,Japan,Fair,6.984219458958023,35.76158940397351,1
AASHKA.BO,India,Fair,6.983915210268433,35.41666666666667,1
4935.T,Japan,Fair,6.975117479657009,35.338345864661655,1
WEAV,United States,Fair,6.980680042178477,34.012222570111575,1
4431.T,Japan,Fair,6.983179879102786,33.6326176809198,1
4475.T,Japan,Fair,6.980027103649573,33.04904051172708,1
OPFI,United States,Fair,6.97965975146272,32.4468093538457,1
HAE,United States,Fair,6.987992163268257,32.09571929628605,1
HOVR,United States,Fair,5.957873209234533,31.972790439642228,0
VGN.AX,Australia,Fair,6.987216035254234,31.739131922081903,1
TRIP,United States,Fair,6.984463389617936,31.70506414228644,1
MYPS,United States,Fair,6.980541018741421,30.62499755527819,1
SIBN,United States,Fair,6.983589764188613,30.411591155455675,1
DVL.AX,Australia,Fair,5.971356063435097,29.62962681905403,0
3032.TW,Taiwan,Fair,5.987169158577203,29.296238908189913,0
AMPL,United States,Fair,6.980414234525773,29.239765429585653,1
VAPIENTER.BO,India,Fair,6.9842262939002,28.296703296703296,1
ANIX,United States,Fair,5.978581560715958,28.235295767602658,0
5258.T,Japan,Fair,6.982530396632714,28.104575163398692,1
RGP,United States,Fair,6.98817917416754,27.554473355932085,1
JLHL,United States,Fair,5.9427965354042565,27.478259542713996,0
TEM,United States,Fair,5.970629472765466,27.178732293735074,0
GLL,United States,Fair,6.989024974165241,26.818408321740755,1
3994.T,Japan,Fair,6.982258790012474,26.759776536312852,1
HRB,United States,Fair,6.990059560943289,25.794568956363396,1
GSIT,United States,Fair,5.954516309836295,25.367648895688102,0
NTNX,United States,Fair,6.985094217863931,24.76885810977753,1
CNNE,United States,Fair,6.989522130646603,24.603980729903817,1
STI,United States,Fair,5.915692230062319,24.603169316998155,0
FRSH,United States,Fair,6.982472601834209,24.27885254635637,1
KEY.AX,Australia,Fair,5.943149224349986,23.333337679505444,0
290690.KQ,South Korea,Fair,6.9385946963339045,22.752808988764045,1
HELP,United States,Fair,6.97571355113926,21.874998253770137,1
LSPD,United States,Fair,6.981483571699975,21.48481185207943,1
NOMD,United States,Fair,6.99115224382305,21.383385266623552,1
HSCS,United States,Fair,6.949406524553494,21.304348682410794,1
VRTS,United States,Fair,6.989144112941951,21.181823724514683,1
EQH,United States,Fair,6.990109142435533,20.693303798283576,1
NXRT,United States,Fair,6.990516584300774,20.31234681351741,1
USAR,United States,Fair,5.968699381747582,20.288941750986773,0
USC.AX,Australia,Fair,5.963922273591108,19.99999751647308,0
GYG.AX,Australia,Fair,6.98558766164548,19.866813722325187,1
SDF.AX,Australia,Fair,6.991865371872443,19.858159546105135,1
ADP,United States,Fair,6.993302484268506,19.65496212844571,1
9999.HK,Hong Kong,Fair,6.985834796059972,19.22957382965888,1
CLNN,United States,Fair,5.968888547904055,19.140625800355355,0
SLM,United States,Fair,6.989213142367183,19.015087824990417,1
3652.T,Japan,Fair,5.980732811398163,18.80552813425469,0
456010.KQ,South Korea,Fair,5.969853842778086,18.19484240687679,0
270870.KQ,South Korea,Fair,6.987336040609791,18.026899144823656,1
3529.T,Japan,Fair,6.989573513838272,17.97872340425532,1
MHEL.BO,India,Fair,6.987209412015023,17.860377518754962,1
CRVL,United States,Fair,6.989950962370013,17.774514263507747,1
603893.SS,China,Fair,5.984327956604842,17.66666586882149,0
FEG.AX,Australia,Fair,6.975679887738479,17.647065698344395,1
AQB,United States,Fair,5.970754900757466,17.579907137867245,0
PAYX,United States,Fair,6.992798891588038,17.46770282350435,1
DRVN,United States,Fair,6.9867392095066085,17.260940746376114,1
PII,United States,Fair,5.987087371349903,16.802364660487008,0
PJT,United States,Fair,6.990891138905739,16.615706424462225,1
PLBL,United States,Fair,6.9734955098800215,16.590909164799143,1
PRME,United States,Fair,5.973063560641791,16.566263957092122,0
AJG,United States,Fair,6.99300158650081,16.391830379351255,1
P,United States,Fair,5.984053708686467,16.373238823922964,0
BOX,United States,Fair,6.990032030987711,16.111568934770425,1
419050.KQ,South Korea,Fair,5.97867338079506,15.898463593854377,0
603019.SS,China,Fair,5.985161411851021,15.78670602808447,0
197140.KQ,South Korea,Fair,6.982212714070798,15.77813677975229,1
ADSE,United States,Fair,6.982262503611782,15.706315468721163,1
7733.T,Japan,Fair,6.989275641542989,15.254237288135592,1
IBN,United States,Fair,6.992901603293341,15.150328263554613,1
DV,United States,Fair,6.984371867684331,15.090543896604046,1
688018.SS,China,Fair,5.982422093933564,15.06307762011286,0
2427.TW,Taiwan,Fair,6.987699951142595,14.870684233346998,1
0197.HK,Hong Kong,Fair,5.971773207990374,14.8148111355159,0
2385.HK,Hong Kong,Fair,6.987807871547042,14.766354690379824,1
2533.T,Japan,Fair,6.990578716290277,13.990825688073391,1
CRML,United States,Fair,5.960163504959033,13.809533973400208,0
ALRM,United States,Fair,6.989717355855167,13.785208862327424,1
WAL,United States,Fair,6.981938325543574,13.7774156810318,1
7674.T,Japan,Fair,6.9941499673238425,13.385826771653544,1
TNYA,United States,Fair,5.9674780782973125,13.237411305929204,0
TRU,United States,Fair,6.988339965363016,13.169295477516249,1
QML.AX,Australia,Fair,5.9771372989647595,12.765959976430802,0
000050.SZ,China,Fair,5.98980759558223,12.562191961118554,0
CYQ.AX,Australia,Fair,5.9575141837181995,12.499989813659823,0
RPT,United States,Fair,6.988555641933318,12.410170341434016,1
MSDL,United States,Fair,6.993054661694725,12.216703218474786,1
VRCA,United States,Fair,6.969961072858457,12.15722969281661,1
ELM250.NS,India,Fair,6.994717690669837,12.12120667220076,1
VC,United States,Fair,5.988169455565532,12.11424822450425,0
FWONK,United States,Fair,6.991928199267669,12.110174500038468,1
AUTL,United States,Fair,6.97670216301257,12.05674328498706,1
457370.KQ,South Korea,Fair,5.978043537241388,11.910994764397904,0
GLAD,United States,Fair,6.992885100211306,11.848331711494597,1
CWST,United States,Fair,6.9917500727045265,11.826104063435816,1
IREN,United States,Fair,5.964556654744873,11.647970042393936,0
MCO,United States,Fair,6.992038545459405,11.545277590554626,1
006570.KS,South Korea,Fair,6.989205945021602,11.41439205955335,1
MRKR,United States,Fair,6.966933805121872,11.363634105884756,1
ZDGE,United States,Fair,6.976401192346955,10.845968607527524,1
2421.HK,Hong Kong,Fair,6.988198339247981,10.714286094417377,1
REG.AX,Australia,Fair,6.988802922743226,10.708395389589697,1
0243.HK,Hong Kong,Fair,5.970204703399087,10.526313725600916,0
SNTG,United States,Fair,5.540182767798573,10.48387370711598,0
688006.SS,China,Fair,5.984228727806291,10.411040219986427,0
ALPL30IETF.NS,India,Fair,6.995977025641053,10.380761817190232,1
FDS,United States,Fair,6.9914315445663675,10.378714487414287,1
420570.KQ,South Korea,Fair,6.976674664114931,10.372340425531917,1
BZUN,United States,Fair,5.977653826336203,10.317460017109372,0
061970.KQ,South Korea,Fair,5.9846817664119865,10.178117048346056,0
XPD.AX,Australia,Fair,5.955917948046835,10.000001862645192,0
4DS.AX,Australia,Fair,6.962807955554891,10.000001862645192,1
265520.KQ,South Korea,Fair,5.986572627674745,9.832635983263598,0
036200.KQ,South Korea,Fair,5.983263977636888,9.710982658959535,0
URBN,United States,Fair,6.985786848088118,9.52454941140704,1
MA,United States,Fair,6.992773674222043,9.500032308420206,1
254490.KQ,South Korea,Fair,5.976133146993744,9.386503067484664,0
INKT,United States,Fair,5.8926108279787535,9.167451210278772,0
SHL.AX,Australia,Fair,6.993086354014793,9.08624486322998,1
300748.SZ,China,Fair,5.98467674724988,9.030703210555629,0
2181.T,Japan,Fair,6.990399759991156,9.00514591544393,1
217190.KQ,South Korea,Fair,5.9831581921149795,8.59375,0
EOS,United States,Fair,6.994061788805848,8.464551839883164,1
048770.KQ,South Korea,Fair,5.97841158707857,8.403361344537815,0
7135.T,Japan,Fair,6.991571542334098,8.326619872486072,1
023150.KS,South Korea,Fair,6.9885015730357605,8.31353919239905,1
BRE.AX,Australia,Fair,5.979386035372774,8.293848314476607,0
2537.TW,Taiwan,Fair,6.988876819783648,8.212554555236721,1
MTUS,United States,Fair,5.9854173089592795,8.158217984717634,0
SPGI,United States,Fair,6.99250394181204,8.0912157678035,1
IFED,United States,Fair,6.993974906264427,7.95235418110025,1
243070.KQ,South Korea,Fair,5.98887446605305,7.876914922131986,0
049070.KQ,South Korea,Fair,5.9833452919006405,7.777097366809553,0
SMP,United States,Fair,5.990481154283268,7.616265647757441,0
9935.TW,Taiwan,Fair,6.991352144472794,7.611552866199438,1
2180.HK,Hong Kong,Fair,5.98964887745298,7.45870835019867,0
MP,United States,Fair,5.979106254822071,7.198877667421143,0
6869.T,Japan,Fair,6.989110655736775,7.187938288920057,1
2510.HK,Hong Kong,Fair,5.982217754969966,7.1162629211914,0
USA,United States,Fair,6.993925249813907,7.033134959272615,1
CGNT,United States,Fair,6.982634996327037,7.0238116593048305,1
072020.KQ,South Korea,Fair,6.990734904973988,6.976744186046512,1
688683.SS,China,Fair,5.985844494458439,6.8935601843753584,0
6929.HK,Hong Kong,Fair,5.985242186007028,6.642382080992315,0
300765.SZ,China,Fair,6.982424606435338,6.560227203142646,1
300124.SZ,China,Fair,5.9885225013085055,6.462480957572368,0
NWS.AX,Australia,Fair,6.991684263848151,6.450824230036067,1
2320.SR,Saudi Arabia,Fair,5.989806092515352,6.3826838699885595,0
688101.SS,China,Fair,5.987653237019415,6.252417567761903,0
ARCC,United States,Fair,6.994007954202253,6.184202658326412,1
3494.T,Japan,Fair,5.981673346130905,6.179775280898876,0
688612.SS,China,Fair,5.985217790671749,6.069255449032551,0
AIG,United States,Fair,6.992055598020968,5.963376883402777,1
SKYW,United States,Fair,6.98693070584615,5.868205651654577,1
1970.HK,Hong Kong,Fair,6.987719734112063,5.829019408446429,1
ZM,United States,Fair,5.986639957194031,5.8098542948692415,0
DYAI,United States,Fair,6.977017068889865,5.617978957818797,1
URF.AX,Australia,Fair,6.987922737818766,5.555557303222568,1
5257.T,Japan,Fair,6.9866621902246795,5.553287055941201,1
3558.T,Japan,Fair,5.983128439117539,5.496688741721854,0
001250.KS,South Korea,Fair,5.983532370387448,5.202312138728324,0
605369.SS,China,Fair,5.987213313771895,5.149227313990296,0
CSW,United States,Fair,6.990060306816802,5.0113653311266155,1
005670.KQ,South Korea,Fair,5.987933147924261,5.008635578583765,0
AIV,United States,Fair,6.991392865921027,4.969752311379979,1
BSL,United States,Fair,6.996852749007656,4.313042314206827,1
4543.T,Japan,Fair,6.990893644979604,4.295612009237875,1
7610.T,Japan,Fair,6.985565722055288,4.25531914893617,1
EFR,United States,Fair,6.996080843744054,4.201735158072763,1
BCSF,United States,Fair,6.993885084060343,3.858384941898784,1
PNBK,United States,Fair,6.970796918142475,3.8461594891973454,1
6947.T,Japan,Fair,6.990431859985349,3.744493392070485,1
AGO,United States,Fair,6.991829873855077,3.6864746503694854,1
