symbol,suffix,last_price,Prev_Close,change_pct,darvas_signal,Box_Top,Box_Bottom,Upside_to_Top%,Position_in_Box%,Data_Points,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,market,yf_symbol,exchange,currency,pegu_score,pegu_grade,sarvas_score,sarvas_signal,data_source,scan_date
FAB,.AE,,,,,,,,,,,,,,AE,FAB.AE,ADX/DFM,AED,70,A,5,SELL,local,2026-07-03
ADCB,.AE,,,,,,,,,,,,,,AE,ADCB.AE,ADX/DFM,AED,70,A,5,SELL,local,2026-07-03
ADNOC,.AE,,,,,,,,,,,,,,AE,ADNOC.AE,ADX/DFM,AED,70,A,5,SELL,local,2026-07-03
ADNOCDIST,.AE,,,,,,,,,,,,,,AE,ADNOCDIST.AE,ADX/DFM,AED,70,A,5,SELL,local,2026-07-03
ALDAR,.AE,,,,,,,,,,,,,,AE,ALDAR.AE,ADX/DFM,AED,70,A,5,SELL,local,2026-07-03
EMAAR,.AE,,,,,,,,,,,,,,AE,EMAAR.AE,ADX/DFM,AED,70,A,5,SELL,local,2026-07-03
DIB,.AE,,,,,,,,,,,,,,AE,DIB.AE,ADX/DFM,AED,70,A,5,SELL,local,2026-07-03
ENBD,.AE,,,,,,,,,,,,,,AE,ENBD.AE,ADX/DFM,AED,70,A,5,SELL,local,2026-07-03
TAQA,.AE,,,,,,,,,,,,,,AE,TAQA.AE,ADX/DFM,AED,70,A,5,SELL,local,2026-07-03
IHC,.AE,,,,,,,,,,,,,,AE,IHC.AE,ADX/DFM,AED,70,A,5,SELL,local,2026-07-03
EMIRATES,.AE,,,,,,,,,,,,,,AE,EMIRATES.AE,ADX/DFM,AED,70,A,5,SELL,local,2026-07-03
ETISALAT,.AE,,,,,,,,,,,,,,AE,ETISALAT.AE,ADX/DFM,AED,70,A,5,SELL,local,2026-07-03
DU,.AE,,,,,,,,,,,,,,AE,DU.AE,ADX/DFM,AED,70,A,5,SELL,local,2026-07-03
AMANAT,.AE,,,,,,,,,,,,,,AE,AMANAT.AE,ADX/DFM,AED,70,A,5,SELL,local,2026-07-03
GFH,.AE,,,,,,,,,,,,,,AE,GFH.AE,ADX/DFM,AED,70,A,5,SELL,local,2026-07-03
BHP,.AX,,,,,,,,,,,,,,AU,BHP.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
CBA,.AX,,,,,,,,,,,,,,AU,CBA.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
CSL,.AX,,,,,,,,,,,,,,AU,CSL.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
ANZ,.AX,,,,,,,,,,,,,,AU,ANZ.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
WBC,.AX,,,,,,,,,,,,,,AU,WBC.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
NAB,.AX,,,,,,,,,,,,,,AU,NAB.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
RIO,.AX,,,,,,,,,,,,,,AU,RIO.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
WES,.AX,,,,,,,,,,,,,,AU,WES.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
WOW,.AX,,,,,,,,,,,,,,AU,WOW.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
MQG,.AX,,,,,,,,,,,,,,AU,MQG.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
FMG,.AX,,,,,,,,,,,,,,AU,FMG.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
TLS,.AX,,,,,,,,,,,,,,AU,TLS.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
GMG,.AX,,,,,,,,,,,,,,AU,GMG.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
NCM,.AX,,,,,,,,,,,,,,AU,NCM.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
REA,.AX,,,,,,,,,,,,,,AU,REA.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
ALL,.AX,,,,,,,,,,,,,,AU,ALL.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
COL,.AX,,,,,,,,,,,,,,AU,COL.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
TCL,.AX,,,,,,,,,,,,,,AU,TCL.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
MIN,.AX,,,,,,,,,,,,,,AU,MIN.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
IEL,.AX,,,,,,,,,,,,,,AU,IEL.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
APX,.AX,,,,,,,,,,,,,,AU,APX.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
WDS,.AX,,,,,,,,,,,,,,AU,WDS.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
STO,.AX,,,,,,,,,,,,,,AU,STO.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
ORG,.AX,,,,,,,,,,,,,,AU,ORG.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
AGL,.AX,,,,,,,,,,,,,,AU,AGL.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
QAN,.AX,,,,,,,,,,,,,,AU,QAN.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
CWY,.AX,,,,,,,,,,,,,,AU,CWY.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
APA,.AX,,,,,,,,,,,,,,AU,APA.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
JHX,.AX,,,,,,,,,,,,,,AU,JHX.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
SHL,.AX,,,,,,,,,,,,,,AU,SHL.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
PETR4,.SA,,,,,,,,,,,,,,BR,PETR4.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
VALE3,.SA,,,,,,,,,,,,,,BR,VALE3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
ITUB4,.SA,,,,,,,,,,,,,,BR,ITUB4.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
BBDC4,.SA,,,,,,,,,,,,,,BR,BBDC4.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
BBAS3,.SA,,,,,,,,,,,,,,BR,BBAS3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
ABEV3,.SA,,,,,,,,,,,,,,BR,ABEV3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
WEGE3,.SA,,,,,,,,,,,,,,BR,WEGE3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
RENT3,.SA,,,,,,,,,,,,,,BR,RENT3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
LREN3,.SA,,,,,,,,,,,,,,BR,LREN3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
SUZB3,.SA,,,,,,,,,,,,,,BR,SUZB3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
RAIL3,.SA,,,,,,,,,,,,,,BR,RAIL3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
GGBR4,.SA,,,,,,,,,,,,,,BR,GGBR4.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
UGPA3,.SA,,,,,,,,,,,,,,BR,UGPA3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
CSAN3,.SA,,,,,,,,,,,,,,BR,CSAN3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
B3SA3,.SA,,,,,,,,,,,,,,BR,B3SA3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
RADL3,.SA,,,,,,,,,,,,,,BR,RADL3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
ELET3,.SA,,,,,,,,,,,,,,BR,ELET3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
SBSP3,.SA,,,,,,,,,,,,,,BR,SBSP3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
TOTS3,.SA,,,,,,,,,,,,,,BR,TOTS3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
EMBR3,.SA,,,,,,,,,,,,,,BR,EMBR3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
RY,.TO,,,,,,,,,,,,,,CA,RY.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
TD,.TO,,,,,,,,,,,,,,CA,TD.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
BNS,.TO,,,,,,,,,,,,,,CA,BNS.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
BMO,.TO,,,,,,,,,,,,,,CA,BMO.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
ENB,.TO,,,,,,,,,,,,,,CA,ENB.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
CNR,.TO,,,,,,,,,,,,,,CA,CNR.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
CP,.TO,,,,,,,,,,,,,,CA,CP.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
BCE,.TO,,,,,,,,,,,,,,CA,BCE.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
SU,.TO,,,,,,,,,,,,,,CA,SU.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
ABX,.TO,,,,,,,,,,,,,,CA,ABX.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
MFC,.TO,,,,,,,,,,,,,,CA,MFC.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
