symbol,suffix,last_price,Prev_Close,change_pct,darvas_signal,Box_Top,Box_Bottom,Upside_to_Top%,Position_in_Box%,Data_Points,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,market,yf_symbol,exchange,currency,pegu_score,pegu_grade,sarvas_score,sarvas_signal,data_source,scan_date
BHP,.AX,,,,,,,,,,,,,,AU,BHP.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
CBA,.AX,,,,,,,,,,,,,,AU,CBA.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
CSL,.AX,,,,,,,,,,,,,,AU,CSL.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
ANZ,.AX,,,,,,,,,,,,,,AU,ANZ.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
WBC,.AX,,,,,,,,,,,,,,AU,WBC.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
NAB,.AX,,,,,,,,,,,,,,AU,NAB.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
RIO,.AX,,,,,,,,,,,,,,AU,RIO.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
WES,.AX,,,,,,,,,,,,,,AU,WES.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
WOW,.AX,,,,,,,,,,,,,,AU,WOW.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
MQG,.AX,,,,,,,,,,,,,,AU,MQG.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
FMG,.AX,,,,,,,,,,,,,,AU,FMG.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
TLS,.AX,,,,,,,,,,,,,,AU,TLS.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
GMG,.AX,,,,,,,,,,,,,,AU,GMG.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
NCM,.AX,,,,,,,,,,,,,,AU,NCM.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
REA,.AX,,,,,,,,,,,,,,AU,REA.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
ALL,.AX,,,,,,,,,,,,,,AU,ALL.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
COL,.AX,,,,,,,,,,,,,,AU,COL.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
TCL,.AX,,,,,,,,,,,,,,AU,TCL.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
MIN,.AX,,,,,,,,,,,,,,AU,MIN.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
IEL,.AX,,,,,,,,,,,,,,AU,IEL.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
APX,.AX,,,,,,,,,,,,,,AU,APX.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
WDS,.AX,,,,,,,,,,,,,,AU,WDS.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
STO,.AX,,,,,,,,,,,,,,AU,STO.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
ORG,.AX,,,,,,,,,,,,,,AU,ORG.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
AGL,.AX,,,,,,,,,,,,,,AU,AGL.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
QAN,.AX,,,,,,,,,,,,,,AU,QAN.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
CWY,.AX,,,,,,,,,,,,,,AU,CWY.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
APA,.AX,,,,,,,,,,,,,,AU,APA.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
JHX,.AX,,,,,,,,,,,,,,AU,JHX.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
SHL,.AX,,,,,,,,,,,,,,AU,SHL.AX,ASX,AUD,70,A,5,SELL,local,2026-07-03
