symbol,suffix,last_price,Prev_Close,change_pct,darvas_signal,Box_Top,Box_Bottom,Upside_to_Top%,Position_in_Box%,Data_Points,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,market,yf_symbol,exchange,currency,pegu_score,pegu_grade,sarvas_score,sarvas_signal,data_source,scan_date
PETR4,.SA,,,,,,,,,,,,,,BR,PETR4.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
VALE3,.SA,,,,,,,,,,,,,,BR,VALE3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
ITUB4,.SA,,,,,,,,,,,,,,BR,ITUB4.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
BBDC4,.SA,,,,,,,,,,,,,,BR,BBDC4.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
BBAS3,.SA,,,,,,,,,,,,,,BR,BBAS3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
ABEV3,.SA,,,,,,,,,,,,,,BR,ABEV3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
WEGE3,.SA,,,,,,,,,,,,,,BR,WEGE3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
RENT3,.SA,,,,,,,,,,,,,,BR,RENT3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
LREN3,.SA,,,,,,,,,,,,,,BR,LREN3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
SUZB3,.SA,,,,,,,,,,,,,,BR,SUZB3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
RAIL3,.SA,,,,,,,,,,,,,,BR,RAIL3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
GGBR4,.SA,,,,,,,,,,,,,,BR,GGBR4.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
UGPA3,.SA,,,,,,,,,,,,,,BR,UGPA3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
CSAN3,.SA,,,,,,,,,,,,,,BR,CSAN3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
B3SA3,.SA,,,,,,,,,,,,,,BR,B3SA3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
RADL3,.SA,,,,,,,,,,,,,,BR,RADL3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
ELET3,.SA,,,,,,,,,,,,,,BR,ELET3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
SBSP3,.SA,,,,,,,,,,,,,,BR,SBSP3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
TOTS3,.SA,,,,,,,,,,,,,,BR,TOTS3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
EMBR3,.SA,,,,,,,,,,,,,,BR,EMBR3.SA,B3,BRL,70,A,5,SELL,local,2026-07-03
