symbol,suffix,last_price,Prev_Close,change_pct,darvas_signal,Box_Top,Box_Bottom,Upside_to_Top%,Position_in_Box%,Data_Points,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,market,yf_symbol,exchange,currency,pegu_score,pegu_grade,sarvas_score,sarvas_signal,data_source,scan_date
RY,.TO,,,,,,,,,,,,,,CA,RY.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
TD,.TO,,,,,,,,,,,,,,CA,TD.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
BNS,.TO,,,,,,,,,,,,,,CA,BNS.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
BMO,.TO,,,,,,,,,,,,,,CA,BMO.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
ENB,.TO,,,,,,,,,,,,,,CA,ENB.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
CNR,.TO,,,,,,,,,,,,,,CA,CNR.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
CP,.TO,,,,,,,,,,,,,,CA,CP.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
BCE,.TO,,,,,,,,,,,,,,CA,BCE.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
SU,.TO,,,,,,,,,,,,,,CA,SU.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
ABX,.TO,,,,,,,,,,,,,,CA,ABX.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
MFC,.TO,,,,,,,,,,,,,,CA,MFC.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
SLF,.TO,,,,,,,,,,,,,,CA,SLF.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
TRI,.TO,,,,,,,,,,,,,,CA,TRI.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
ATD,.TO,,,,,,,,,,,,,,CA,ATD.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
CVE,.TO,,,,,,,,,,,,,,CA,CVE.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
MRU,.TO,,,,,,,,,,,,,,CA,MRU.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
WCN,.TO,,,,,,,,,,,,,,CA,WCN.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
AEM,.TO,,,,,,,,,,,,,,CA,AEM.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
SHOP,.TO,,,,,,,,,,,,,,CA,SHOP.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
OTEX,.TO,,,,,,,,,,,,,,CA,OTEX.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
NTR,.TO,,,,,,,,,,,,,,CA,NTR.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
IMO,.TO,,,,,,,,,,,,,,CA,IMO.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
TRP,.TO,,,,,,,,,,,,,,CA,TRP.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
H,.TO,,,,,,,,,,,,,,CA,H.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
CM,.TO,,,,,,,,,,,,,,CA,CM.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
POW,.TO,,,,,,,,,,,,,,CA,POW.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
AQN,.TO,,,,,,,,,,,,,,CA,AQN.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
GWO,.TO,,,,,,,,,,,,,,CA,GWO.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
FFH,.TO,,,,,,,,,,,,,,CA,FFH.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
CNQ,.TO,,,,,,,,,,,,,,CA,CNQ.TO,TSX,CAD,70,A,5,SELL,local,2026-07-03
