symbol,suffix,last_price,Prev_Close,change_pct,darvas_signal,Box_Top,Box_Bottom,Upside_to_Top%,Position_in_Box%,Data_Points,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,market,yf_symbol,exchange,currency,pegu_score,pegu_grade,sarvas_score,sarvas_signal,data_source,scan_date
NESN,.SW,,,,,,,,,,,,,,CH,NESN.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
NOVN,.SW,,,,,,,,,,,,,,CH,NOVN.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
ROG,.SW,,,,,,,,,,,,,,CH,ROG.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
ABB,.SW,,,,,,,,,,,,,,CH,ABB.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
ZURN,.SW,,,,,,,,,,,,,,CH,ZURN.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
UBSG,.SW,,,,,,,,,,,,,,CH,UBSG.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
LONN,.SW,,,,,,,,,,,,,,CH,LONN.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
SIKA,.SW,,,,,,,,,,,,,,CH,SIKA.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
LHN,.SW,,,,,,,,,,,,,,CH,LHN.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
GIVN,.SW,,,,,,,,,,,,,,CH,GIVN.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
SLHN,.SW,,,,,,,,,,,,,,CH,SLHN.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
SCMN,.SW,,,,,,,,,,,,,,CH,SCMN.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
PGHN,.SW,,,,,,,,,,,,,,CH,PGHN.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
CFR,.SW,,,,,,,,,,,,,,CH,CFR.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
CSGN,.SW,,,,,,,,,,,,,,CH,CSGN.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
TEMN,.SW,,,,,,,,,,,,,,CH,TEMN.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
ALC,.SW,,,,,,,,,,,,,,CH,ALC.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
GEBN,.SW,,,,,,,,,,,,,,CH,GEBN.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
ADEN,.SW,,,,,,,,,,,,,,CH,ADEN.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
BARN,.SW,,,,,,,,,,,,,,CH,BARN.SW,SIX,CHF,70,A,5,SELL,local,2026-07-03
