symbol,suffix,last_price,Prev_Close,change_pct,darvas_signal,Box_Top,Box_Bottom,Upside_to_Top%,Position_in_Box%,Data_Points,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,market,yf_symbol,exchange,currency,pegu_score,pegu_grade,sarvas_score,sarvas_signal,data_source,scan_date
600519,.SS,,,,,,,,,,,,,,CN,600519.SS,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
601318,.SS,,,,,,,,,,,,,,CN,601318.SS,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
600036,.SS,,,,,,,,,,,,,,CN,600036.SS,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
600900,.SS,,,,,,,,,,,,,,CN,600900.SS,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
601166,.SS,,,,,,,,,,,,,,CN,601166.SS,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
601398,.SS,,,,,,,,,,,,,,CN,601398.SS,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
601288,.SS,,,,,,,,,,,,,,CN,601288.SS,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
601988,.SS,,,,,,,,,,,,,,CN,601988.SS,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
600028,.SS,,,,,,,,,,,,,,CN,600028.SS,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
600030,.SS,,,,,,,,,,,,,,CN,600030.SS,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
601857,.SS,,,,,,,,,,,,,,CN,601857.SS,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
600016,.SS,,,,,,,,,,,,,,CN,600016.SS,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
601628,.SS,,,,,,,,,,,,,,CN,601628.SS,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
601601,.SS,,,,,,,,,,,,,,CN,601601.SS,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
600050,.SS,,,,,,,,,,,,,,CN,600050.SS,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
000858,.SZ,,,,,,,,,,,,,,CN,000858.SZ,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
000333,.SZ,,,,,,,,,,,,,,CN,000333.SZ,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
002594,.SZ,,,,,,,,,,,,,,CN,002594.SZ,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
000651,.SZ,,,,,,,,,,,,,,CN,000651.SZ,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
300750,.SZ,,,,,,,,,,,,,,CN,300750.SZ,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
002415,.SZ,,,,,,,,,,,,,,CN,002415.SZ,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
000002,.SZ,,,,,,,,,,,,,,CN,000002.SZ,SSE/SZSE,CNY,70,A,5,SELL,local,2026-07-03
