symbol,suffix,last_price,Prev_Close,change_pct,darvas_signal,Box_Top,Box_Bottom,Upside_to_Top%,Position_in_Box%,Data_Points,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,market,yf_symbol,exchange,currency,pegu_score,pegu_grade,sarvas_score,sarvas_signal,data_source,scan_date
SAP,.DE,,,,,,,,,,,,,,DE,SAP.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
SIE,.DE,,,,,,,,,,,,,,DE,SIE.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
ALV,.DE,,,,,,,,,,,,,,DE,ALV.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
DTE,.DE,,,,,,,,,,,,,,DE,DTE.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
BAYN,.DE,,,,,,,,,,,,,,DE,BAYN.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
BMW,.DE,,,,,,,,,,,,,,DE,BMW.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
BAS,.DE,,,,,,,,,,,,,,DE,BAS.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
ADS,.DE,,,,,,,,,,,,,,DE,ADS.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
VOW3,.DE,,,,,,,,,,,,,,DE,VOW3.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
MRK,.DE,,,,,,,,,,,,,,DE,MRK.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
MBG,.DE,,,,,,,,,,,,,,DE,MBG.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
DBK,.DE,,,,,,,,,,,,,,DE,DBK.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
HNR1,.DE,,,,,,,,,,,,,,DE,HNR1.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
EOAN,.DE,,,,,,,,,,,,,,DE,EOAN.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
CON,.DE,,,,,,,,,,,,,,DE,CON.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
RWE,.DE,,,,,,,,,,,,,,DE,RWE.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
HEI,.DE,,,,,,,,,,,,,,DE,HEI.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
FRE,.DE,,,,,,,,,,,,,,DE,FRE.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
MTX,.DE,,,,,,,,,,,,,,DE,MTX.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
ZAL,.DE,,,,,,,,,,,,,,DE,ZAL.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
DHER,.DE,,,,,,,,,,,,,,DE,DHER.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
QIA,.DE,,,,,,,,,,,,,,DE,QIA.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
PAH3,.DE,,,,,,,,,,,,,,DE,PAH3.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
VNA,.DE,,,,,,,,,,,,,,DE,VNA.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
HFG,.DE,,,,,,,,,,,,,,DE,HFG.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
DPW,.DE,,,,,,,,,,,,,,DE,DPW.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
AIXA,.DE,,,,,,,,,,,,,,DE,AIXA.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
NFBK,.DE,,,,,,,,,,,,,,DE,NFBK.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
TUI1,.DE,,,,,,,,,,,,,,DE,TUI1.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
LHA,.DE,,,,,,,,,,,,,,DE,LHA.DE,XETRA,EUR,70,A,5,SELL,local,2026-07-03
