symbol,suffix,last_price,Prev_Close,change_pct,darvas_signal,Box_Top,Box_Bottom,Upside_to_Top%,Position_in_Box%,Data_Points,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,market,yf_symbol,exchange,currency,pegu_score,pegu_grade,sarvas_score,sarvas_signal,data_source,scan_date
MC,.PA,,,,,,,,,,,,,,FR,MC.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
TTE,.PA,,,,,,,,,,,,,,FR,TTE.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
SAN,.PA,,,,,,,,,,,,,,FR,SAN.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
AI,.PA,,,,,,,,,,,,,,FR,AI.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
BNP,.PA,,,,,,,,,,,,,,FR,BNP.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
OR,.PA,,,,,,,,,,,,,,FR,OR.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
CS,.PA,,,,,,,,,,,,,,FR,CS.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
EL,.PA,,,,,,,,,,,,,,FR,EL.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
DG,.PA,,,,,,,,,,,,,,FR,DG.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
CAP,.PA,,,,,,,,,,,,,,FR,CAP.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
RI,.PA,,,,,,,,,,,,,,FR,RI.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
SGO,.PA,,,,,,,,,,,,,,FR,SGO.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
ATO,.PA,,,,,,,,,,,,,,FR,ATO.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
VIE,.PA,,,,,,,,,,,,,,FR,VIE.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
BN,.PA,,,,,,,,,,,,,,FR,BN.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
KER,.PA,,,,,,,,,,,,,,FR,KER.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
ACA,.PA,,,,,,,,,,,,,,FR,ACA.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
GLE,.PA,,,,,,,,,,,,,,FR,GLE.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
SU,.PA,,,,,,,,,,,,,,FR,SU.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
DSY,.PA,,,,,,,,,,,,,,FR,DSY.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
RNO,.PA,,,,,,,,,,,,,,FR,RNO.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
STM,.PA,,,,,,,,,,,,,,FR,STM.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
HO,.PA,,,,,,,,,,,,,,FR,HO.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
LR,.PA,,,,,,,,,,,,,,FR,LR.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
ML,.PA,,,,,,,,,,,,,,FR,ML.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
PUB,.PA,,,,,,,,,,,,,,FR,PUB.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
FP,.PA,,,,,,,,,,,,,,FR,FP.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
EN,.PA,,,,,,,,,,,,,,FR,EN.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
TEP,.PA,,,,,,,,,,,,,,FR,TEP.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
AF,.PA,,,,,,,,,,,,,,FR,AF.PA,Euronext Paris,EUR,70,A,5,SELL,local,2026-07-03
