symbol,suffix,last_price,Prev_Close,change_pct,darvas_signal,Box_Top,Box_Bottom,Upside_to_Top%,Position_in_Box%,Data_Points,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,market,yf_symbol,exchange,currency,pegu_score,pegu_grade,sarvas_score,sarvas_signal,data_source,scan_date
0700,.HK,,,,,,,,,,,,,,HK,0700.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
9988,.HK,,,,,,,,,,,,,,HK,9988.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
0005,.HK,,,,,,,,,,,,,,HK,0005.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
0941,.HK,,,,,,,,,,,,,,HK,0941.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
2318,.HK,,,,,,,,,,,,,,HK,2318.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
1299,.HK,,,,,,,,,,,,,,HK,1299.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
0939,.HK,,,,,,,,,,,,,,HK,0939.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
3690,.HK,,,,,,,,,,,,,,HK,3690.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
0388,.HK,,,,,,,,,,,,,,HK,0388.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
0883,.HK,,,,,,,,,,,,,,HK,0883.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
2020,.HK,,,,,,,,,,,,,,HK,2020.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
1211,.HK,,,,,,,,,,,,,,HK,1211.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
9618,.HK,,,,,,,,,,,,,,HK,9618.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
0016,.HK,,,,,,,,,,,,,,HK,0016.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
0001,.HK,,,,,,,,,,,,,,HK,0001.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
0011,.HK,,,,,,,,,,,,,,HK,0011.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
0003,.HK,,,,,,,,,,,,,,HK,0003.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
0823,.HK,,,,,,,,,,,,,,HK,0823.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
2382,.HK,,,,,,,,,,,,,,HK,2382.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
1810,.HK,,,,,,,,,,,,,,HK,1810.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
0688,.HK,,,,,,,,,,,,,,HK,0688.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
9999,.HK,,,,,,,,,,,,,,HK,9999.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
2269,.HK,,,,,,,,,,,,,,HK,2269.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
0002,.HK,,,,,,,,,,,,,,HK,0002.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
0006,.HK,,,,,,,,,,,,,,HK,0006.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
1038,.HK,,,,,,,,,,,,,,HK,1038.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
2007,.HK,,,,,,,,,,,,,,HK,2007.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
0960,.HK,,,,,,,,,,,,,,HK,0960.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
0012,.HK,,,,,,,,,,,,,,HK,0012.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
0175,.HK,,,,,,,,,,,,,,HK,0175.HK,HKEX,HKD,70,A,5,SELL,local,2026-07-03
