symbol,suffix,last_price,Prev_Close,change_pct,darvas_signal,Box_Top,Box_Bottom,Upside_to_Top%,Position_in_Box%,Data_Points,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,market,yf_symbol,exchange,currency,pegu_score,pegu_grade,sarvas_score,sarvas_signal,data_source,scan_date
7203,.T,,,,,,,,,,,,,,JP,7203.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
6758,.T,,,,,,,,,,,,,,JP,6758.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
6861,.T,,,,,,,,,,,,,,JP,6861.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
8306,.T,,,,,,,,,,,,,,JP,8306.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
9984,.T,,,,,,,,,,,,,,JP,9984.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
7267,.T,,,,,,,,,,,,,,JP,7267.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
4502,.T,,,,,,,,,,,,,,JP,4502.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
6954,.T,,,,,,,,,,,,,,JP,6954.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
9432,.T,,,,,,,,,,,,,,JP,9432.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
8316,.T,,,,,,,,,,,,,,JP,8316.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
9433,.T,,,,,,,,,,,,,,JP,9433.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
7741,.T,,,,,,,,,,,,,,JP,7741.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
2914,.T,,,,,,,,,,,,,,JP,2914.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
6501,.T,,,,,,,,,,,,,,JP,6501.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
6326,.T,,,,,,,,,,,,,,JP,6326.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
8035,.T,,,,,,,,,,,,,,JP,8035.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
4063,.T,,,,,,,,,,,,,,JP,4063.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
6367,.T,,,,,,,,,,,,,,JP,6367.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
9020,.T,,,,,,,,,,,,,,JP,9020.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
7751,.T,,,,,,,,,,,,,,JP,7751.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
4661,.T,,,,,,,,,,,,,,JP,4661.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
8411,.T,,,,,,,,,,,,,,JP,8411.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
3382,.T,,,,,,,,,,,,,,JP,3382.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
8766,.T,,,,,,,,,,,,,,JP,8766.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
4543,.T,,,,,,,,,,,,,,JP,4543.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
6902,.T,,,,,,,,,,,,,,JP,6902.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
7270,.T,,,,,,,,,,,,,,JP,7270.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
2802,.T,,,,,,,,,,,,,,JP,2802.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
4568,.T,,,,,,,,,,,,,,JP,4568.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
8001,.T,,,,,,,,,,,,,,JP,8001.T,TSE,JPY,70,A,5,SELL,local,2026-07-03
