symbol,suffix,last_price,Prev_Close,change_pct,darvas_signal,Box_Top,Box_Bottom,Upside_to_Top%,Position_in_Box%,Data_Points,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,market,yf_symbol,exchange,currency,pegu_score,pegu_grade,sarvas_score,sarvas_signal,data_source,scan_date
2222,.SR,,,,,,,,,,,,,,SA,2222.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
1120,.SR,,,,,,,,,,,,,,SA,1120.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
2010,.SR,,,,,,,,,,,,,,SA,2010.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
1180,.SR,,,,,,,,,,,,,,SA,1180.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
2350,.SR,,,,,,,,,,,,,,SA,2350.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
4030,.SR,,,,,,,,,,,,,,SA,4030.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
1050,.SR,,,,,,,,,,,,,,SA,1050.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
2380,.SR,,,,,,,,,,,,,,SA,2380.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
2330,.SR,,,,,,,,,,,,,,SA,2330.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
1010,.SR,,,,,,,,,,,,,,SA,1010.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
1211,.SR,,,,,,,,,,,,,,SA,1211.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
2020,.SR,,,,,,,,,,,,,,SA,2020.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
2080,.SR,,,,,,,,,,,,,,SA,2080.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
4280,.SR,,,,,,,,,,,,,,SA,4280.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
8010,.SR,,,,,,,,,,,,,,SA,8010.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
4200,.SR,,,,,,,,,,,,,,SA,4200.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
4070,.SR,,,,,,,,,,,,,,SA,4070.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
3020,.SR,,,,,,,,,,,,,,SA,3020.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
2170,.SR,,,,,,,,,,,,,,SA,2170.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
1030,.SR,,,,,,,,,,,,,,SA,1030.SR,Tadawul,SAR,70,A,5,SELL,local,2026-07-03
