symbol,suffix,last_price,Prev_Close,change_pct,darvas_signal,Box_Top,Box_Bottom,Upside_to_Top%,Position_in_Box%,Data_Points,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,market,yf_symbol,exchange,currency,pegu_score,pegu_grade,sarvas_score,sarvas_signal,data_source,scan_date
D05,.SI,,,,,,,,,,,,,,SG,D05.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
O39,.SI,,,,,,,,,,,,,,SG,O39.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
U11,.SI,,,,,,,,,,,,,,SG,U11.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
Z74,.SI,,,,,,,,,,,,,,SG,Z74.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
C6L,.SI,,,,,,,,,,,,,,SG,C6L.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
BN4,.SI,,,,,,,,,,,,,,SG,BN4.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
G13,.SI,,,,,,,,,,,,,,SG,G13.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
C31,.SI,,,,,,,,,,,,,,SG,C31.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
A17U,.SI,,,,,,,,,,,,,,SG,A17U.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
H78,.SI,,,,,,,,,,,,,,SG,H78.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
9CI,.SI,,,,,,,,,,,,,,SG,9CI.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
F34,.SI,,,,,,,,,,,,,,SG,F34.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
U96,.SI,,,,,,,,,,,,,,SG,U96.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
S68,.SI,,,,,,,,,,,,,,SG,S68.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
V03,.SI,,,,,,,,,,,,,,SG,V03.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
BS6,.SI,,,,,,,,,,,,,,SG,BS6.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
N2IU,.SI,,,,,,,,,,,,,,SG,N2IU.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
BUOU,.SI,,,,,,,,,,,,,,SG,BUOU.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
ME8U,.SI,,,,,,,,,,,,,,SG,ME8U.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
AJBU,.SI,,,,,,,,,,,,,,SG,AJBU.SI,SGX,SGD,70,A,5,SELL,local,2026-07-03
