symbol,suffix,last_price,Prev_Close,change_pct,darvas_signal,Box_Top,Box_Bottom,Upside_to_Top%,Position_in_Box%,Data_Points,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,market,yf_symbol,exchange,currency,pegu_score,pegu_grade,sarvas_score,sarvas_signal,data_source,scan_date
2330,.TW,,,,,,,,,,,,,,TW,2330.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
2317,.TW,,,,,,,,,,,,,,TW,2317.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
2454,.TW,,,,,,,,,,,,,,TW,2454.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
2308,.TW,,,,,,,,,,,,,,TW,2308.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
2882,.TW,,,,,,,,,,,,,,TW,2882.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
2881,.TW,,,,,,,,,,,,,,TW,2881.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
2412,.TW,,,,,,,,,,,,,,TW,2412.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
2303,.TW,,,,,,,,,,,,,,TW,2303.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
1301,.TW,,,,,,,,,,,,,,TW,1301.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
2886,.TW,,,,,,,,,,,,,,TW,2886.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
2891,.TW,,,,,,,,,,,,,,TW,2891.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
3711,.TW,,,,,,,,,,,,,,TW,3711.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
2002,.TW,,,,,,,,,,,,,,TW,2002.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
1303,.TW,,,,,,,,,,,,,,TW,1303.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
2357,.TW,,,,,,,,,,,,,,TW,2357.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
5871,.TW,,,,,,,,,,,,,,TW,5871.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
2382,.TW,,,,,,,,,,,,,,TW,2382.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
1216,.TW,,,,,,,,,,,,,,TW,1216.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
2395,.TW,,,,,,,,,,,,,,TW,2395.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
3008,.TW,,,,,,,,,,,,,,TW,3008.TW,TWSE,TWD,70,A,5,SELL,local,2026-07-03
