symbol,suffix,last_price,Prev_Close,change_pct,darvas_signal,Box_Top,Box_Bottom,Upside_to_Top%,Position_in_Box%,Data_Points,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,market,yf_symbol,exchange,currency,pegu_score,pegu_grade,sarvas_score,sarvas_signal,data_source,scan_date
SHEL,.L,,,,,,,,,,,,,,UK,SHEL.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
AZN,.L,,,,,,,,,,,,,,UK,AZN.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
HSBA,.L,,,,,,,,,,,,,,UK,HSBA.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
ULVR,.L,,,,,,,,,,,,,,UK,ULVR.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
BP,.L,,,,,,,,,,,,,,UK,BP.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
RIO,.L,,,,,,,,,,,,,,UK,RIO.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
GSK,.L,,,,,,,,,,,,,,UK,GSK.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
LSEG,.L,,,,,,,,,,,,,,UK,LSEG.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
BARC,.L,,,,,,,,,,,,,,UK,BARC.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
LLOY,.L,,,,,,,,,,,,,,UK,LLOY.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
BT-A,.L,,,,,,,,,,,,,,UK,BT-A.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
VOD,.L,,,,,,,,,,,,,,UK,VOD.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
REL,.L,,,,,,,,,,,,,,UK,REL.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
PRU,.L,,,,,,,,,,,,,,UK,PRU.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
NG,.L,,,,,,,,,,,,,,UK,NG.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
DGE,.L,,,,,,,,,,,,,,UK,DGE.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
RKT,.L,,,,,,,,,,,,,,UK,RKT.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
EXPN,.L,,,,,,,,,,,,,,UK,EXPN.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
STAN,.L,,,,,,,,,,,,,,UK,STAN.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
GLEN,.L,,,,,,,,,,,,,,UK,GLEN.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
IMB,.L,,,,,,,,,,,,,,UK,IMB.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
BA,.L,,,,,,,,,,,,,,UK,BA.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
CNA,.L,,,,,,,,,,,,,,UK,CNA.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
SDR,.L,,,,,,,,,,,,,,UK,SDR.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
HIK,.L,,,,,,,,,,,,,,UK,HIK.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
TSCO,.L,,,,,,,,,,,,,,UK,TSCO.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
CPG,.L,,,,,,,,,,,,,,UK,CPG.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
INF,.L,,,,,,,,,,,,,,UK,INF.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
WPP,.L,,,,,,,,,,,,,,UK,WPP.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
IAG,.L,,,,,,,,,,,,,,UK,IAG.L,LSE,GBP,70,A,5,SELL,local,2026-07-03
