symbol,suffix,last_price,Prev_Close,change_pct,darvas_signal,Box_Top,Box_Bottom,Upside_to_Top%,Position_in_Box%,Data_Points,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,market,yf_symbol,exchange,currency,pegu_score,pegu_grade,sarvas_score,sarvas_signal,data_source,scan_date
AAPL,,,,,,,,,,,,,,,US,AAPL,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
MSFT,,,,,,,,,,,,,,,US,MSFT,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
NVDA,,,,,,,,,,,,,,,US,NVDA,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
AMZN,,,,,,,,,,,,,,,US,AMZN,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
GOOGL,,,,,,,,,,,,,,,US,GOOGL,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
META,,,,,,,,,,,,,,,US,META,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
TSLA,,,,,,,,,,,,,,,US,TSLA,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
BRK-B,,,,,,,,,,,,,,,US,BRK-B,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
LLY,,,,,,,,,,,,,,,US,LLY,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
AVGO,,,,,,,,,,,,,,,US,AVGO,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
JPM,,,,,,,,,,,,,,,US,JPM,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
BAC,,,,,,,,,,,,,,,US,BAC,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
WFC,,,,,,,,,,,,,,,US,WFC,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
GS,,,,,,,,,,,,,,,US,GS,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
MS,,,,,,,,,,,,,,,US,MS,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
AXP,,,,,,,,,,,,,,,US,AXP,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
BLK,,,,,,,,,,,,,,,US,BLK,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
SCHW,,,,,,,,,,,,,,,US,SCHW,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
USB,,,,,,,,,,,,,,,US,USB,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
PNC,,,,,,,,,,,,,,,US,PNC,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
UNH,,,,,,,,,,,,,,,US,UNH,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
JNJ,,,,,,,,,,,,,,,US,JNJ,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
ABBV,,,,,,,,,,,,,,,US,ABBV,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
MRK,,,,,,,,,,,,,,,US,MRK,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
PFE,,,,,,,,,,,,,,,US,PFE,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
TMO,,,,,,,,,,,,,,,US,TMO,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
ABT,,,,,,,,,,,,,,,US,ABT,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
DHR,,,,,,,,,,,,,,,US,DHR,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
ISRG,,,,,,,,,,,,,,,US,ISRG,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
REGN,,,,,,,,,,,,,,,US,REGN,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
WMT,,,,,,,,,,,,,,,US,WMT,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
PG,,,,,,,,,,,,,,,US,PG,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
KO,,,,,,,,,,,,,,,US,KO,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
PEP,,,,,,,,,,,,,,,US,PEP,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
COST,,,,,,,,,,,,,,,US,COST,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
HD,,,,,,,,,,,,,,,US,HD,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
MCD,,,,,,,,,,,,,,,US,MCD,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
NKE,,,,,,,,,,,,,,,US,NKE,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
SBUX,,,,,,,,,,,,,,,US,SBUX,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
TGT,,,,,,,,,,,,,,,US,TGT,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
XOM,,,,,,,,,,,,,,,US,XOM,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
CVX,,,,,,,,,,,,,,,US,CVX,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
COP,,,,,,,,,,,,,,,US,COP,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
EOG,,,,,,,,,,,,,,,US,EOG,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
SLB,,,,,,,,,,,,,,,US,SLB,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
MPC,,,,,,,,,,,,,,,US,MPC,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
VLO,,,,,,,,,,,,,,,US,VLO,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
PSX,,,,,,,,,,,,,,,US,PSX,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
OXY,,,,,,,,,,,,,,,US,OXY,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
HES,,,,,,,,,,,,,,,US,HES,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
V,,,,,,,,,,,,,,,US,V,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
MA,,,,,,,,,,,,,,,US,MA,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
ORCL,,,,,,,,,,,,,,,US,ORCL,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
CRM,,,,,,,,,,,,,,,US,CRM,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
ADBE,,,,,,,,,,,,,,,US,ADBE,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
QCOM,,,,,,,,,,,,,,,US,QCOM,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
AMD,,,,,,,,,,,,,,,US,AMD,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
INTC,,,,,,,,,,,,,,,US,INTC,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
NOW,,,,,,,,,,,,,,,US,NOW,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
PANW,,,,,,,,,,,,,,,US,PANW,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
CAT,,,,,,,,,,,,,,,US,CAT,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
DE,,,,,,,,,,,,,,,US,DE,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
HON,,,,,,,,,,,,,,,US,HON,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
GE,,,,,,,,,,,,,,,US,GE,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
RTX,,,,,,,,,,,,,,,US,RTX,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
LMT,,,,,,,,,,,,,,,US,LMT,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
BA,,,,,,,,,,,,,,,US,BA,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
UNP,,,,,,,,,,,,,,,US,UNP,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
UPS,,,,,,,,,,,,,,,US,UPS,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
FDX,,,,,,,,,,,,,,,US,FDX,NASDAQ/NYSE,USD,70,A,5,SELL,local,2026-07-03
