ticker,quantity,purchase_price,purchase_date,market,sector
HDFCBANK,10,1500,2023-01-15,india,banking
RELIANCE,5,2800,2023-02-20,india,energy
INFY,20,1600,2023-03-10,india,it
TCS,15,3200,2023-04-05,india,it
ICICIBANK,8,900,2023-05-12,india,banking
SBIN,12,500,2023-06-18,india,banking
MARUTI,1,1700,2023-07-22,india,auto
HDFC,25,2400,2023-08-14,india,banking
WIPRO,30,700,2023-09-09,india,it
BAJAJFINSV,6,550,2023-10-25,india,finance
AAPL,5,180,2023-11-10,us,tech
MSFT,4,320,2023-12-01,us,tech
GOOGL,3,140,2024-01-15,us,tech
AMAZON,2,170,2024-02-20,us,consumer
TESLA,1,250,2024-03-10,us,auto
ADS.DE,8,180,2024-04-05,europe,auto
SAP.DE,6,120,2024-05-12,europe,software
SIEMENS.DE,10,140,2024-06-18,europe,industrials
BMW.DE,15,100,2024-07-22,europe,auto
RIO.L,20,60,2024-08-14,europe,materials
